runs,strike_rate
14,93.33
104,85.25
74,101.37
41,75.93
4,57.14
30,62.5
22,91.67
60,75
105,99.06
8,72.73
4,44.44
36,240
118,93.65
108,92.31
17,121.43
0,0
33,194.12
68,87.18
5,38.46
0,0
1,9.09
11,64.71
56,73.68
28,63.64
1,25
0,0
0,0
49,90.74
55,107.84
71,87.65
27,65.85
18,69.23
17,56.67
6,100
1,50
61,72.62
19,79.17
75,78.95
20,41.67
5,100
32,139.13
19,135.71
1,50
0,0
2,100
40,108.11
60,133.33
10,100
27,71.05
21,110.53
111,94.07
42,70
35,100
28,133.33
69,71.13
78,118.18
6,46.15
12,75
16,51.61
7,87.5
15,71.43
8,50
9,100
7,87.5
0,0
72,91.14
108,105.88
16,59.26
11,68.75
18,72
42,66.67
54,84.38
17,77.27
55,90.16
2,33.33
1,33.33
14,51.85
16,133.33
1,100
54,73.97
71,139.22
52,75.36
43,122.86
42,102.44
37,123.33
38,82.61
24,150
73,89.02
53,79.1
7,50
16,53.33
0,0
17,44.74
11,57.89
0,0
31,68.89
55,62.5
10,71.43
20,125
7,63.64
2,40
70,64.22
5,55.56
48,77.42
5,45.45
36,94.74
0,0
7,233.33
2,66.67
9,100
0,0
45,72.58
2,16.67
4,36.36
7,30.43
15,57.69
10,35.71
43,70.49
22,73.33
5,41.67
6,54.55
12,52.17
44,84.62
40,67.8
59,81.94
41,71.93
33,94.29
35,152.17
12,63.16
13,86.67
39,58.21
110,95.65
6,66.67
71,114.52
12,120
1,25
26,123.81
6,75
4,100
0,0
3,16.67
7,116.67
49,106.52
19,70.37
4,50
77,91.67
0,0
10,47.62
0,0
56,116.67
4,200
86,76.79
47,82.46
5,33.33
45,86.54
17,154.55
28,52.83
1,25
0,0
0,0
33,45.83
9,56.25
5,45.45
7,77.78
3,42.86
2,22.22
2,40
101,70.63
11,47.83
20,46.51
48,104.35
39,75
30,107.14
75,71.43
44,86.27
17,100
4,57.14
6,75
36,163.64
2,50
8,133.33
19,61.29
50,84.75
92,105.75
100,123.46
11,100
21,131.25
2,66.67
18,180
7,233.33
33,76.74
41,74.55
49,80.33
2,20
1,25
57,73.08
18,90
8,133.33
24,171.43
4,40
0,0
67,113.56
44,146.67
27,112.5
6,33.33
4,100
73,71.57
23,92
34,70.83
133,94.33
144,109.92
3,60
9,128.57
11,157.14
0,0
4,200
8,114.29
3,42.86
3,20
111,86.72
66,73.33
41,117.14
5,62.5
3,60
1,16.67
6,150
7,233.33
0,0
102,83.61
108,93.91
30,96.77
73,78.49
54,68.35
1,33.33
23,60.53
13,52
14,77.78
2,10
33,67.35
48,71.64
103,117.05
21,61.76
1,20
32,106.67
22,244.44
1,50
2,50
5,45.45
4,40
19,39.58
