runs,strike_rate,performance
14,93.33,1306.62
104,85.25,8866
74,101.37,7501.38
41,75.93,3113.13
4,57.14,228.56
30,62.5,1875
22,91.67,2016.74
60,75,4500
105,99.06,10401.3
8,72.73,581.84
4,44.44,177.76
36,240,8640
118,93.65,11050.7
108,92.31,9969.48
17,121.43,2064.31
0,0,0
33,194.12,6405.96
68,87.18,5928.24
5,38.46,192.3
0,0,0
1,9.09,9.09
11,64.71,711.81
56,73.68,4126.08
28,63.64,1781.92
1,25,25
0,0,0
0,0,0
49,90.74,4446.26
55,107.84,5931.2
71,87.65,6223.15
27,65.85,1777.95
18,69.23,1246.14
17,56.67,963.39
6,100,600
1,50,50
61,72.62,4429.82
19,79.17,1504.23
75,78.95,5921.25
20,41.67,833.4
5,100,500
32,139.13,4452.16
19,135.71,2578.49
1,50,50
0,0,0
2,100,200
40,108.11,4324.4
60,133.33,7999.8
10,100,1000
27,71.05,1918.35
21,110.53,2321.13
111,94.07,10441.77
42,70,2940
35,100,3500
28,133.33,3733.24
69,71.13,4907.97
78,118.18,9218.04
6,46.15,276.9
12,75,900
16,51.61,825.76
7,87.5,612.5
15,71.43,1071.45
8,50,400
9,100,900
7,87.5,612.5
0,0,0
72,91.14,6562.08
108,105.88,11435.04
16,59.26,948.16
11,68.75,756.25
18,72,1296
42,66.67,2800.14
54,84.38,4556.52
17,77.27,1313.59
55,90.16,4958.8
2,33.33,66.66
1,33.33,33.33
14,51.85,725.9
16,133.33,2133.28
1,100,100
54,73.97,3994.38
71,139.22,9884.62
52,75.36,3918.72
43,122.86,5282.98
42,102.44,4302.48
37,123.33,4563.21
38,82.61,3139.18
24,150,3600
73,89.02,6498.46
53,79.1,4192.3
7,50,350
16,53.33,853.28
0,0,0
17,44.74,760.58
11,57.89,636.79
0,0,0
31,68.89,2135.59
55,62.5,3437.5
10,71.43,714.3
20,125,2500
7,63.64,445.48
2,40,80
70,64.22,4495.4
5,55.56,277.8
48,77.42,3716.16
5,45.45,227.25
36,94.74,3410.64
0,0,0
7,233.33,1633.31
2,66.67,133.34
9,100,900
0,0,0
45,72.58,3266.1
2,16.67,33.34
4,36.36,145.44
7,30.43,213.01
15,57.69,865.35
10,35.71,357.1
43,70.49,3031.07
22,73.33,1613.26
5,41.67,208.35
6,54.55,327.3
12,52.17,626.04
44,84.62,3723.28
40,67.8,2712
59,81.94,4834.46
41,71.93,2949.13
33,94.29,3111.57
35,152.17,5325.95
12,63.16,757.92
13,86.67,1126.71
39,58.21,2270.19
110,95.65,10521.5
6,66.67,400.02
71,114.52,8130.92
12,120,1440
1,25,25
26,123.81,3219.06
6,75,450
4,100,400
0,0,0
3,16.67,50.01
7,116.67,816.69
49,106.52,5219.48
19,70.37,1337.03
4,50,200
77,91.67,7058.59
0,0,0
10,47.62,476.2
0,0,0
56,116.67,6533.52
4,200,800
86,76.79,6603.94
47,82.46,3875.62
5,33.33,166.65
45,86.54,3894.3
17,154.55,2627.35
28,52.83,1479.24
1,25,25
0,0,0
0,0,0
33,45.83,1512.39
9,56.25,506.25
5,45.45,227.25
7,77.78,544.46
3,42.86,128.58
2,22.22,44.44
2,40,80
101,70.63,7133.63
11,47.83,526.13
20,46.51,930.2
48,104.35,5008.8
39,75,2925
30,107.14,3214.2
75,71.43,5357.25
44,86.27,3795.88
17,100,1700
4,57.14,228.56
6,75,450
36,163.64,5891.04
2,50,100
8,133.33,1066.64
19,61.29,1164.51
50,84.75,4237.5
92,105.75,9729
100,123.46,12346
11,100,1100
21,131.25,2756.25
2,66.67,133.34
18,180,3240
7,233.33,1633.31
33,76.74,2532.42
41,74.55,3056.55
49,80.33,3936.17
2,20,40
1,25,25
57,73.08,4165.56
18,90,1620
8,133.33,1066.64
24,171.43,4114.32
4,40,160
0,0,0
67,113.56,7608.52
44,146.67,6453.48
27,112.5,3037.5
6,33.33,199.98
4,100,400
73,71.57,5224.61
23,92,2116
34,70.83,2408.22
133,94.33,12545.89
144,109.92,15828.48
3,60,180
9,128.57,1157.13
11,157.14,1728.54
0,0,0
4,200,800
8,114.29,914.32
3,42.86,128.58
3,20,60
111,86.72,9625.92
66,73.33,4839.78
41,117.14,4802.74
5,62.5,312.5
3,60,180
1,16.67,16.67
6,150,900
7,233.33,1633.31
0,0,0
102,83.61,8528.22
108,93.91,10142.28
30,96.77,2903.1
73,78.49,5729.77
54,68.35,3690.9
1,33.33,33.33
23,60.53,1392.19
13,52,676
14,77.78,1088.92
2,10,20
33,67.35,2222.55
