wickets,econ
1,4.6
0,4.88
1,5.33
2,7
2,5.1
0,4.2
0,4.2
5,6.6
0,6
2,6.2
0,3.6
0,5.5
0,6
2,4.5
2,4.8
1,7.44
2,4
2,3.2
0,4.4
0,17
0,9
0,7.5
1,5.5
0,3.17
1,6.4
4,4.8
3,5.3
0,4.33
1,5.22
1,5.88
1,3.6
1,3.78
0,6.82
1,6.4
1,5.67
0,5
0,3
2,5.38
2,3.5
0,16
3,4.6
2,3
1,5.22
3,6.33
1,8.25
0,5.4
0,4.83
2,3.8
1,2.5
1,5.08
0,4.11
0,12
0,4.22
0,5.25
1,4.38
0,4
1,2.43
3,4
2,4.4
0,3.5
0,4.5
2,4
0,7
0,2.78
5,3.4
2,3.8
0,6.63
1,7.1
1,6.5
2,4.2
3,3.7
2,4.75
2,3.88
0,5.6
5,4.2
1,6.17
2,4.43
0,4.44
0,4.67
1,4.89
2,5.7
0,6.83
0,5.33
0,3.4
2,5.29
0,6
3,3.5
1,4.29
3,3.6
1,4.2
2,3.5
0,4.86
0,4.6
2,4.57
2,4.13
0,5.07
2,2.33
2,3.44
1,2.5
5,3.65
2,5.44
0,5.22
1,4.8
3,4
3,4.07
1,3.9
1,6
5,5.75
0,4
1,3.89
0,4.25
1,4.43
2,6
2,4.88
2,4.29
2,7.57
0,5.17
2,5.88
0,4.07
0,10
0,5.5
3,5.1
1,3.5
0,5
0,4.2
0,5.56
0,5.5
0,9.5
3,3
2,4.2
0,5
2,4.2
0,3.86
1,3.67
2,4.5
3,4
0,5.5
4,4.6
0,7
0,8.33
1,5.4
3,2.67
3,3.43
1,2.3
2,4.22
0,2.8
1,2
0,6.4
2,6.89
1,5.6
1,3.5
2,4.6
0,10
6,4.96
1,2
1,2.86
0,2.56
1,3
0,4
0,6.38
0,4.13
1,5.5
3,3.78
2,5.8
4,1.33
1,7.6
1,2.71
1,6.33
2,4
1,4
4,3.13
1,4.6
1,4.17
1,4
0,4.7
1,3.4
2,6
3,6.11
1,3.44
0,4.5
3,3.56
2,4.2
1,4.4
2,4.67
0,7.68
1,6.11
0,4.78
1,5.4
0,4.88
3,5.71
0,5.17
2,7.43
1,7.67
1,8.5
1,9
0,7.25
1,4.33
1,5.13
3,5.49
3,4.78
2,5.17
0,6.5
0,4
2,5.4
0,4
2,6.2
2,4
0,4.13
0,9
0,9.39
0,5.6
0,6
0,7.33
0,6.4
0,7
0,10
1,4.9
0,6.38
0,6
2,4.33
5,4.2
0,5.5
5,3.1
3,2.43
1,3.33
1,3
0,3
0,4.2
0,7.8
1,5.33
2,5.39
0,4.11
0,3.6
1,5.63
1,5.43
0,6
0,6.84
0,3.83
0,4
0,5.33
5,3.36
1,5
2,5.43
0,3.9
0,5
1,4.75
2,2.57
0,4.43
0,8.5
0,6.5
0,4
3,5.33
3,4.38
2,5.63
1,3.7
1,2
0,4.38
3,5.35
0,7
2,4
0,6
0,5.75
0,5.67
3,4
2,3.33
2,6
0,4
0,3
0,4.78
2,5.7
1,4.5
0,5.9
1,4.75
2,4.33
0,5
1,4
1,3.6
3,2.6
2,4.44
2,5.5
0,3
1,3.11
0,4.57
0,6
2,5.04
1,2.2
3,5.14
0,6
5,5.4
1,5
0,7.22
0,4.6
0,6
0,8.5
1,6.75
1,3.8
0,5.88
0,6.5
3,4.6
0,5.08
0,6
0,4.44
2,4
0,5.17
0,7.6
0,4
1,4.4
0,7
0,5.25
1,5.7
1,5
0,5.3
2,8.5
0,6
0,7.5
2,5
0,4.6
2,7.9
0,5.33
0,9.14
1,5.56
0,6
0,4.78
1,5.44
0,4.75
1,4.7
2,3.21
1,7.4
0,5.4
2,4.8
2,3.9
2,4.11
2,6
2,4.5
0,1
2,5.3
1,3.9
0,7
2,5
0,3.3
0,5
1,4.75
0,3.63
2,2.25
1,6.5
2,4.14
1,2.4
2,6.88
3,4.44
1,5.2
0,3
4,5.16
0,5
1,5.6
1,5.9
1,4
1,5
2,6.14
0,8.75
1,12.52
0,8.88
1,7
0,8.43
0,6.29
0,5
4,4.9
2,4.15
0,2
1,5
0,9.6
1,6
1,4.3
0,8
1,9.25
1,6
1,7.11
0,3.89
2,7.29
1,5.14
1,4
0,5.7
3,4
0,7.1
0,5.8
1,4.1
2,4.21
0,6.9
3,4
3,3.6
0,6.7
1,6.7
0,5.4
0,5
2,5.7
0,7
0,5.5
0,3.14
2,4.63
1,6.26
1,3.29
0,6.5
0,3.63
2,5
1,6.14
2,4.75
0,7.67
0,6
1,3.43
1,3.22
0,3
0,5.03
1,3
2,3.96
2,5
0,4.8
6,4.4
0,3.7
1,3
1,1
0,0
2,4.29
1,4
1,3.67
1,4.9
4,4.2
1,5.2
2,5.3
0,4.1
0,4
1,6.75
2,3.33
1,4
0,8.3
1,5.8
3,7
0,5.6
0,5.2
2,4.8
0,7
3,2.38
3,2
1,4.2
2,6
1,6.33
0,7
0,5.65
1,4
0,4.67
0,4.75
1,5.13
0,8.5
1,3
1,6.5
0,6.29
1,6.17
0,7.5
3,6.4
1,5.3
0,5.8
2,6.3
1,5
0,5
2,3.9
1,5
1,5.43
1,7.43
1,2.8
0,5.67
1,5.71
1,6.43
1,3
0,5.5
2,6.8
0,4.5
0,6.67
0,6.33
2,3.4
0,3.17
1,3.2
1,3.83
3,3.75
1,5.3
1,6.1
1,5.75
1,6.2
0,4.25
0,7
0,8.25
1,2.67
2,2.4
2,4.44
3,3.56
1,5.23
0,3.5
1,2.5
5,2.2
3,2
0,4.67
1,4.5
0,5
3,3
2,3.3
2,6.4
2,3.7
1,3.14
1,5.7
0,6.29
1,4.9
0,3.4
1,6.5
2,5.1
1,7.44
1,5.63
2,4
1,4.6
0,3
0,7.25
2,4.83
2,7.8
2,4.33
0,8.8
4,3.4
2,5.63
1,3.6
1,1.85
0,2
1,4.2
2,5.8
2,8
0,4.67
2,4.6
0,7.25
1,5
3,4.67
1,6.67
2,4.8
1,7
1,3.14
0,4.5
0,6.75
0,4.17
1,2.5
0,3.5
1,9.33
0,4.86
1,4.88
1,5.3
0,5.6
1,6.17
0,3.82
1,4.11
1,2.88
2,4.6
3,3.7
2,5.11
0,4.36
3,5.75
0,3.84
4,3.63
0,4.56
2,5.25
0,4
0,4.5
0,5
1,1
0,2.33
2,5.33
0,4
2,5.17
1,3.3
1,3.8
1,5.8
4,2
1,5.25
1,5.4
3,4.43
3,2.83
2,2.2
0,7
1,5.67
0,5.25
1,5.75
2,4
1,4
0,5
