performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
poor,1,Upul Tharanga,20,11,0,50,6,1009,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,2,Tillakaratne Dilshan,20,11,0,50,6,1009,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,3,Kumar Sangakkara,20,11,0,50,6,1009,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,4,Thilan Samaraweera,20,11,0,50,6,1009,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,5,Chamara Silva,20,11,0,50,6,1009,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,1,Upul Tharanga,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,2,Lahiru Thirimanne,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,3,Kumar Sangakkara,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,4,Thilan Samaraweera,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,5,Thilina Kandamby,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,6,Suraj Randiv,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,7,Thisara Perera,22,11,0,51,0,1010,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,1,Upul Tharanga,24,5,0,50,0,1012,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,2,Mahela Jayawardene,24,5,0,50,0,1012,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,3,Kumar Sangakkara,24,5,0,50,0,1012,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,1,Upul Tharanga,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,2,Tillakaratne Dilshan,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,3,Kumar Sangakkara,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,4,Mahela Jayawardene,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,5,Thilan Samaraweera,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,6,Thilina Kandamby,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,7,Thisara Perera,30,5,0,35,0,1012,Excellent,inning1,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
