performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
poor,1,Upul Tharanga,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,2,Tillakaratne Dilshan,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,3,Kumar Sangakkara,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,4,Thilan Samaraweera,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,5,Chamara Silva,0.019791913,0.010885552,0,0.049479783,0.005937574,0.998502019,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,1,Upul Tharanga,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,2,Lahiru Thirimanne,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,3,Kumar Sangakkara,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,4,Thilan Samaraweera,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,5,Thilina Kandamby,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,6,Suraj Randiv,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,7,Thisara Perera,0.02174803,0.010874015,0,0.050415887,0,0.99843228,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,1,Upul Tharanga,0.023679592,0.004933248,0,0.049332484,0,0.998489482,Excellent,inning2,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
