"balls","maidens","runs","wickets","dots","fours","sixes","econ","wides","no_balls","player_name","temp","feels","gust","wind","rain","humidity","cloud","pressure","viscosity","inning","result","bowling_session","toss","venue_name","opposition_name","season_id"
"60","1","46","1","28","2","0","4.6","1","0","Nuwan Kulasekara","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"48","0","39","0","27","5","0","4.88","1","0","Chanaka Welegedara","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"18","0","16","1","11","1","0","5.33","1","0","Tillakaratne Dilshan","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"54","1","63","2","32","8","2","7","5","0","Suranga Lakmal","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"60","0","51","2","28","3","1","5.1","2","0","Suraj Randiv","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"30","0","21","0","15","1","0","4.2","0","0","Thilina Kandamby","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"30","0","21","0","12","0","0","4.2","1","0","Muthumudalige Pushpakumara","26","26","10","9","0","39","4","1009","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"60","1","66","5","33","7","0","6.6","4","4","Chanaka Welegedara","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"48","1","48","0","23","7","0","6","1","0","Suranga Lakmal","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"60","0","62","2","29","7","1","6.2","1","0","Thilan Thushara","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"60","0","36","0","35","2","0","3.6","0","0","Suraj Randiv","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"24","1","22","0","14","0","2","5.5","1","0","Thilina Kandamby","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"12","0","12","0","4","1","0","6","0","0","Thilan Samaraweera","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"36","0","27","2","21","3","0","4.5","1","0","Thisara Perera","28","27","11","9","0","36","0","1010","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"60","1","48","2","39","7","0","4.8","2","0","Nuwan Kulasekara","30","29","8","7","0","30","0","1013","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"54","0","67","1","26","5","2","7.44","5","0","Thilan Thushara","30","29","8","7","0","30","0","1013","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"60","1","40","2","33","4","0","4","0","0","Suraj Randiv","30","29","8","7","0","30","0","1013","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"60","0","32","2","34","0","0","3.2","1","0","Thisara Perera","30","29","8","7","0","30","0","1013","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"60","0","44","0","27","1","0","4.4","1","0","Malinga Bandara","30","29","8","7","0","30","0","1013","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"6","0","17","0","0","0","2","17","0","0","Thilan Samaraweera","30","29","8","7","0","30","0","1013","Excellent","inning2","won","day","won","Shere Bangla National Stadium, Mirpur, Dhaka","Bangladesh","1"
"34","0","51","0","17","8","0","9","0","2","Chanaka Welegedara","24","25","6","3","0","57","0","1012","Excellent","inning1","lost","night","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"60","0","75","0","29","12","0","7.5","1","3","Suranga Lakmal","24","25","6","3","0","57","0","1012","Excellent","inning1","lost","night","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"36","0","33","1","18","4","0","5.5","1","0","Thilan Thushara","24","25","6","3","0","57","0","1012","Excellent","inning1","lost","night","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
"36","0","19","0","23","0","0","3.17","0","0","Suraj Randiv","24","25","6","3","0","57","0","1012","Excellent","inning1","lost","night","won","Shere Bangla National Stadium, Mirpur, Dhaka","India","1"
