,runs,strike_rate,performance,batting_performance,
0,14,93.33,1306.62,0,poor
1,104,85.25,8866,2,best
2,74,101.37,7501.38,2,best
3,41,75.93,3113.13,1,good
4,4,57.14,228.56,0,poor
5,30,62.5,1875,0,poor
6,22,91.67,2016.74,0,poor
7,60,75,4500,1,good
8,105,99.06,10401.3,2,best
9,8,72.73,581.84,0,poor
10,4,44.44,177.76,0,poor
11,36,240,8640,2,best
12,118,93.65,11050.7,2,best
13,108,92.31,9969.48,2,best
14,17,121.43,2064.31,0,poor
15,0,0,0,0,poor
16,33,194.12,6405.96,1,good
17,68,87.18,5928.24,1,good
18,5,38.46,192.3,0,poor
19,0,0,0,0,poor
20,1,9.09,9.09,0,poor
21,11,64.71,711.81,0,poor
22,56,73.68,4126.08,1,good
23,28,63.64,1781.92,0,poor
24,1,25,25,0,poor
25,0,0,0,0,poor
26,0,0,0,0,poor
27,49,90.74,4446.26,1,good
28,55,107.84,5931.2,1,good
29,71,87.65,6223.15,1,good
30,27,65.85,1777.95,0,poor
31,18,69.23,1246.14,0,poor
32,17,56.67,963.39,0,poor
33,6,100,600,0,poor
34,1,50,50,0,poor
35,61,72.62,4429.82,1,good
36,19,79.17,1504.23,0,poor
37,75,78.95,5921.25,1,good
38,20,41.67,833.4,0,poor
39,5,100,500,0,poor
40,32,139.13,4452.16,1,good
41,19,135.71,2578.49,1,good
42,1,50,50,0,poor
43,0,0,0,0,poor
44,2,100,200,0,poor
45,40,108.11,4324.4,1,good
46,60,133.33,7999.8,2,best
47,10,100,1000,0,poor
48,27,71.05,1918.35,0,poor
49,21,110.53,2321.13,0,poor
50,111,94.07,10441.77,2,best
51,42,70,2940,1,good
52,35,100,3500,1,good
53,28,133.33,3733.24,1,good
54,69,71.13,4907.97,1,good
55,78,118.18,9218.04,2,best
56,6,46.15,276.9,0,poor
57,12,75,900,0,poor
58,16,51.61,825.76,0,poor
59,7,87.5,612.5,0,poor
60,15,71.43,1071.45,0,poor
61,8,50,400,0,poor
62,9,100,900,0,poor
63,7,87.5,612.5,0,poor
64,0,0,0,0,poor
65,72,91.14,6562.08,1,good
66,108,105.88,11435.04,2,best
67,16,59.26,948.16,0,poor
68,11,68.75,756.25,0,poor
69,18,72,1296,0,poor
70,42,66.67,2800.14,1,good
71,54,84.38,4556.52,1,good
72,17,77.27,1313.59,0,poor
73,55,90.16,4958.8,1,good
74,2,33.33,66.66,0,poor
75,1,33.33,33.33,0,poor
76,14,51.85,725.9,0,poor
77,16,133.33,2133.28,0,poor
78,1,100,100,0,poor
79,54,73.97,3994.38,1,good
80,71,139.22,9884.62,2,best
81,52,75.36,3918.72,1,good
82,43,122.86,5282.98,1,good
83,42,102.44,4302.48,1,good
84,37,123.33,4563.21,1,good
85,38,82.61,3139.18,1,good
86,24,150,3600,1,good
87,73,89.02,6498.46,1,good
88,53,79.1,4192.3,1,good
89,7,50,350,0,poor
90,16,53.33,853.28,0,poor
91,0,0,0,0,poor
92,17,44.74,760.58,0,poor
93,11,57.89,636.79,0,poor
94,0,0,0,0,poor
95,31,68.89,2135.59,0,poor
96,55,62.5,3437.5,1,good
97,10,71.43,714.3,0,poor
98,20,125,2500,0,poor
99,7,63.64,445.48,0,poor
100,2,40,80,0,poor
101,70,64.22,4495.4,1,good
102,5,55.56,277.8,0,poor
103,48,77.42,3716.16,1,good
104,5,45.45,227.25,0,poor
105,36,94.74,3410.64,1,good
106,0,0,0,0,poor
107,7,233.33,1633.31,0,poor
108,2,66.67,133.34,0,poor
109,9,100,900,0,poor
110,0,0,0,0,poor
111,45,72.58,3266.1,1,good
112,2,16.67,33.34,0,poor
113,4,36.36,145.44,0,poor
114,7,30.43,213.01,0,poor
115,15,57.69,865.35,0,poor
116,10,35.71,357.1,0,poor
117,43,70.49,3031.07,1,good
118,22,73.33,1613.26,0,poor
119,5,41.67,208.35,0,poor
120,6,54.55,327.3,0,poor
121,12,52.17,626.04,0,poor
122,44,84.62,3723.28,1,good
123,40,67.8,2712,1,good
124,59,81.94,4834.46,1,good
125,41,71.93,2949.13,1,good
126,33,94.29,3111.57,1,good
127,35,152.17,5325.95,1,good
128,12,63.16,757.92,0,poor
129,13,86.67,1126.71,0,poor
130,39,58.21,2270.19,0,poor
131,110,95.65,10521.5,2,best
132,6,66.67,400.02,0,poor
133,71,114.52,8130.92,2,best
134,12,120,1440,0,poor
135,1,25,25,0,poor
136,26,123.81,3219.06,1,good
137,6,75,450,0,poor
138,4,100,400,0,poor
139,0,0,0,0,poor
140,3,16.67,50.01,0,poor
141,7,116.67,816.69,0,poor
142,49,106.52,5219.48,1,good
143,19,70.37,1337.03,0,poor
144,4,50,200,0,poor
145,77,91.67,7058.59,1,good
146,0,0,0,0,poor
147,10,47.62,476.2,0,poor
148,0,0,0,0,poor
149,56,116.67,6533.52,1,good
150,4,200,800,0,poor
151,86,76.79,6603.94,1,good
152,47,82.46,3875.62,1,good
153,5,33.33,166.65,0,poor
154,45,86.54,3894.3,1,good
155,17,154.55,2627.35,1,good
156,28,52.83,1479.24,0,poor
157,1,25,25,0,poor
158,0,0,0,0,poor
159,0,0,0,0,poor
160,33,45.83,1512.39,0,poor
161,9,56.25,506.25,0,poor
162,5,45.45,227.25,0,poor
163,7,77.78,544.46,0,poor
164,3,42.86,128.58,0,poor
165,2,22.22,44.44,0,poor
166,2,40,80,0,poor
167,101,70.63,7133.63,1,good
168,11,47.83,526.13,0,poor
169,20,46.51,930.2,0,poor
170,48,104.35,5008.8,1,good
171,39,75,2925,1,good
172,30,107.14,3214.2,1,good
173,75,71.43,5357.25,1,good
174,44,86.27,3795.88,1,good
175,17,100,1700,0,poor
176,4,57.14,228.56,0,poor
177,6,75,450,0,poor
178,36,163.64,5891.04,1,good
179,2,50,100,0,poor
180,8,133.33,1066.64,0,poor
181,19,61.29,1164.51,0,poor
182,50,84.75,4237.5,1,good
183,92,105.75,9729,2,best
184,100,123.46,12346,2,best
185,11,100,1100,0,poor
186,21,131.25,2756.25,1,good
187,2,66.67,133.34,0,poor
188,18,180,3240,1,good
189,7,233.33,1633.31,0,poor
190,33,76.74,2532.42,1,good
191,41,74.55,3056.55,1,good
192,49,80.33,3936.17,1,good
193,2,20,40,0,poor
194,1,25,25,0,poor
195,57,73.08,4165.56,1,good
196,18,90,1620,0,poor
197,8,133.33,1066.64,0,poor
198,24,171.43,4114.32,1,good
199,4,40,160,0,poor
200,0,0,0,0,poor
201,67,113.56,7608.52,2,best
202,44,146.67,6453.48,1,good
203,27,112.5,3037.5,1,good
204,6,33.33,199.98,0,poor
205,4,100,400,0,poor
206,73,71.57,5224.61,1,good
207,23,92,2116,0,poor
208,34,70.83,2408.22,0,poor
209,133,94.33,12545.89,2,best
210,144,109.92,15828.48,2,best
211,3,60,180,0,poor
212,9,128.57,1157.13,0,poor
213,11,157.14,1728.54,0,poor
214,0,0,0,0,poor
215,4,200,800,0,poor
216,8,114.29,914.32,0,poor
217,3,42.86,128.58,0,poor
218,3,20,60,0,poor
219,111,86.72,9625.92,2,best
220,66,73.33,4839.78,1,good
221,41,117.14,4802.74,1,good
222,5,62.5,312.5,0,poor
223,3,60,180,0,poor
224,1,16.67,16.67,0,poor
225,6,150,900,0,poor
226,7,233.33,1633.31,0,poor
227,0,0,0,0,poor
228,102,83.61,8528.22,2,best
229,108,93.91,10142.28,2,best
230,30,96.77,2903.1,1,good
231,73,78.49,5729.77,1,good
232,54,68.35,3690.9,1,good
233,1,33.33,33.33,0,poor
234,23,60.53,1392.19,0,poor
235,13,52,676,0,poor
236,14,77.78,1088.92,0,poor
237,2,10,20,0,poor
238,33,67.35,2222.55,0,poor
239,48,71.64,3438.72,1,good
240,103,117.05,12056.15,2,best
241,21,61.76,1296.96,0,poor
242,1,20,20,0,poor
243,32,106.67,3413.44,1,good
244,22,244.44,5377.68,1,good
245,1,50,50,0,poor
246,2,50,100,0,poor
247,5,45.45,227.25,0,poor
248,4,40,160,0,poor
249,19,39.58,752.02,0,poor
250,16,100,1600,0,poor
251,9,60,540,0,poor
252,5,35.71,178.55,0,poor
253,24,88.89,2133.36,0,poor
254,26,173.33,4506.58,1,good
255,0,0,0,0,poor
256,144,96,13824,2,best
257,9,100,900,0,poor
258,5,71.43,357.15,0,poor
259,69,81.18,5601.42,1,good
260,46,153.33,7053.18,1,good
261,13,86.67,1126.71,0,poor
262,7,175,1225,0,poor
263,79,102.6,8105.4,2,best
264,3,50,150,0,poor
265,105,83.33,8749.65,2,best
266,25,53.19,1329.75,0,poor
267,11,84.62,930.82,0,poor
268,1,4.76,4.76,0,poor
269,9,75,675,0,poor
270,0,0,0,0,poor
271,0,0,0,0,poor
272,75,70.09,5256.75,1,good
273,6,40,240,0,poor
274,18,66.67,1200.06,0,poor
275,39,79.59,3104.01,1,good
276,11,37.93,417.23,0,poor
277,5,71.43,357.15,0,poor
278,0,0,0,0,poor
279,1,33.33,33.33,0,poor
280,4,57.14,228.56,0,poor
281,4,66.67,266.68,0,poor
282,48,64,3072,1,good
283,9,60,540,0,poor
284,54,84.38,4556.52,1,good
285,62,96.88,6006.56,1,good
286,48,90.57,4347.36,1,good
287,4,100,400,0,poor
288,0,0,0,0,poor
289,6,300,1800,0,poor
290,0,0,0,0,poor
291,64,100,6400,1,good
292,60,73.17,4390.2,1,good
293,6,66.67,400.02,0,poor
294,20,66.67,1333.4,0,poor
295,24,80,1920,0,poor
296,23,85.19,1959.37,0,poor
297,34,130.77,4446.18,1,good
298,9,52.94,476.46,0,poor
299,32,213.33,6826.56,1,good
300,34,121.43,4128.62,1,good
301,29,70.73,2051.17,0,poor
302,16,84.21,1347.36,0,poor
303,3,37.5,112.5,0,poor
304,12,92.31,1107.72,0,poor
305,15,83.33,1249.95,0,poor
306,2,33.33,66.66,0,poor
307,41,82,3362,1,good
308,34,59.65,2028.1,0,poor
309,0,0,0,0,poor
310,0,0,0,0,poor
311,13,43.33,563.29,0,poor
312,24,104.35,2504.4,0,poor
313,52,61.18,3181.36,1,good
314,17,56.67,963.39,0,poor
315,1,25,25,0,poor
316,35,56.45,1975.75,0,poor
317,5,55.56,277.8,0,poor
318,34,109.68,3729.12,1,good
319,0,0,0,0,poor
320,9,69.23,623.07,0,poor
321,7,77.78,544.46,0,poor
322,111,79.86,8864.46,2,best
323,55,93.22,5127.1,1,good
324,49,132.43,6489.07,1,good
325,4,200,800,0,poor
326,36,109.09,3927.24,1,good
327,9,52.94,476.46,0,poor
328,1,33.33,33.33,0,poor
329,4,66.67,266.68,0,poor
330,2,66.67,133.34,0,poor
331,1,100,100,0,poor
332,8,36.36,290.88,0,poor
333,12,80,960,0,poor
334,31,55.36,1716.16,0,poor
335,53,51.96,2753.88,1,good
336,0,0,0,0,poor
337,6,100,600,0,poor
338,7,36.84,257.88,0,poor
339,1,16.67,16.67,0,poor
340,0,0,0,0,poor
341,0,0,0,0,poor
342,0,0,0,0,poor
343,0,0,0,0,poor
344,17,106.25,1806.25,0,poor
345,7,100,700,0,poor
346,71,59.66,4235.86,1,good
347,63,88.73,5589.99,1,good
348,26,53.06,1379.56,0,poor
349,7,50,350,0,poor
350,0,0,0,0,poor
351,25,44.64,1116,0,poor
352,4,50,200,0,poor
353,5,20.83,104.15,0,poor
