,wickets,econ,bowling_performance,bowling_performance
0,1,4.6,1,good
1,0,4.88,0,best
2,1,5.33,0,best
3,2,7,0,best
4,2,5.1,1,good
5,0,4.2,1,good
6,0,4.2,1,good
7,5,6.6,0,best
8,0,6,0,best
9,2,6.2,0,best
10,0,3.6,1,good
11,0,5.5,0,best
12,0,6,0,best
13,2,4.5,1,good
14,2,4.8,1,good
15,1,7.44,0,best
16,2,4,1,good
17,2,3.2,1,good
18,0,4.4,0,best
19,0,17,2,poor
20,0,9,2,poor
21,0,7.5,2,poor
22,1,5.5,0,best
23,0,3.17,1,good
24,1,6.4,0,best
25,4,4.8,1,good
26,3,5.3,1,good
27,0,4.33,1,good
28,1,5.22,0,best
29,1,5.88,0,best
30,1,3.6,1,good
31,1,3.78,1,good
32,0,6.82,0,best
33,1,6.4,0,best
34,1,5.67,0,best
35,0,5,0,best
36,0,3,1,good
37,2,5.38,0,best
38,2,3.5,1,good
39,0,16,2,poor
40,3,4.6,1,good
41,2,3,1,good
42,1,5.22,0,best
43,3,6.33,0,best
44,1,8.25,2,poor
45,0,5.4,0,best
46,0,4.83,0,best
47,2,3.8,1,good
48,1,2.5,1,good
49,1,5.08,0,best
50,0,4.11,1,good
51,0,12,2,poor
52,0,4.22,1,good
53,0,5.25,0,best
54,1,4.38,1,good
55,0,4,1,good
56,1,2.43,1,good
57,3,4,1,good
58,2,4.4,1,good
59,0,3.5,1,good
60,0,4.5,0,best
61,2,4,1,good
62,0,7,0,best
63,0,2.78,1,good
64,5,3.4,1,good
65,2,3.8,1,good
66,0,6.63,0,best
67,1,7.1,0,best
68,1,6.5,0,best
69,2,4.2,1,good
70,3,3.7,1,good
71,2,4.75,1,good
72,2,3.88,1,good
73,0,5.6,0,best
74,5,4.2,1,good
75,1,6.17,0,best
76,2,4.43,1,good
77,0,4.44,0,best
78,0,4.67,0,best
79,1,4.89,0,best
80,2,5.7,0,best
81,0,6.83,0,best
82,0,5.33,0,best
83,0,3.4,1,good
84,2,5.29,0,best
85,0,6,0,best
86,3,3.5,1,good
87,1,4.29,1,good
88,3,3.6,1,good
89,1,4.2,1,good
90,2,3.5,1,good
91,0,4.86,0,best
92,0,4.6,0,best
93,2,4.57,1,good
94,2,4.13,1,good
95,0,5.07,0,best
96,2,2.33,1,good
97,2,3.44,1,good
98,1,2.5,1,good
99,5,3.65,1,good
100,2,5.44,0,best
101,0,5.22,0,best
102,1,4.8,0,best
103,3,4,1,good
104,3,4.07,1,good
105,1,3.9,1,good
106,1,6,0,best
107,5,5.75,1,good
108,0,4,1,good
109,1,3.89,1,good
110,0,4.25,1,good
111,1,4.43,1,good
112,2,6,0,best
113,2,4.88,1,good
114,2,4.29,1,good
115,2,7.57,0,best
116,0,5.17,0,best
117,2,5.88,0,best
118,0,4.07,1,good
119,0,10,2,poor
120,0,5.5,0,best
121,3,5.1,1,good
122,1,3.5,1,good
123,0,5,0,best
124,0,4.2,1,good
125,0,5.56,0,best
126,0,5.5,0,best
127,0,9.5,2,poor
128,3,3,1,good
129,2,4.2,1,good
130,0,5,0,best
131,2,4.2,1,good
132,0,3.86,1,good
133,1,3.67,1,good
134,2,4.5,1,good
135,3,4,1,good
136,0,5.5,0,best
137,4,4.6,1,good
138,0,7,0,best
139,0,8.33,2,poor
140,1,5.4,0,best
141,3,2.67,1,good
142,3,3.43,1,good
143,1,2.3,1,good
144,2,4.22,1,good
145,0,2.8,1,good
146,1,2,1,good
147,0,6.4,0,best
148,2,6.89,0,best
149,1,5.6,0,best
150,1,3.5,1,good
151,2,4.6,1,good
152,0,10,2,poor
153,6,4.96,1,good
154,1,2,1,good
155,1,2.86,1,good
156,0,2.56,1,good
157,1,3,1,good
158,0,4,1,good
159,0,6.38,0,best
160,0,4.13,1,good
161,1,5.5,0,best
162,3,3.78,1,good
163,2,5.8,0,best
164,4,1.33,1,good
165,1,7.6,2,poor
166,1,2.71,1,good
167,1,6.33,0,best
168,2,4,1,good
169,1,4,1,good
170,4,3.13,1,good
171,1,4.6,1,good
172,1,4.17,1,good
173,1,4,1,good
174,0,4.7,0,best
175,1,3.4,1,good
176,2,6,0,best
177,3,6.11,0,best
178,1,3.44,1,good
179,0,4.5,0,best
180,3,3.56,1,good
181,2,4.2,1,good
182,1,4.4,1,good
183,2,4.67,1,good
184,0,7.68,2,poor
185,1,6.11,0,best
186,0,4.78,0,best
187,1,5.4,0,best
188,0,4.88,0,best
189,3,5.71,0,best
190,0,5.17,0,best
191,2,7.43,0,best
192,1,7.67,2,poor
193,1,8.5,2,poor
194,1,9,2,poor
195,0,7.25,0,best
196,1,4.33,1,good
197,1,5.13,0,best
198,3,5.49,1,good
199,3,4.78,1,good
200,2,5.17,1,good
201,0,6.5,0,best
202,0,4,1,good
203,2,5.4,0,best
204,0,4,1,good
205,2,6.2,0,best
206,2,4,1,good
207,0,4.13,1,good
208,0,9,2,poor
209,0,9.39,2,poor
210,0,5.6,0,best
211,0,6,0,best
212,0,7.33,0,best
213,0,6.4,0,best
214,0,7,0,best
215,0,10,2,poor
216,1,4.9,0,best
217,0,6.38,0,best
218,0,6,0,best
219,2,4.33,1,good
220,5,4.2,1,good
221,0,5.5,0,best
222,5,3.1,1,good
223,3,2.43,1,good
224,1,3.33,1,good
225,1,3,1,good
226,0,3,1,good
227,0,4.2,1,good
228,0,7.8,2,poor
229,1,5.33,0,best
230,2,5.39,0,best
231,0,4.11,1,good
232,0,3.6,1,good
233,1,5.63,0,best
234,1,5.43,0,best
235,0,6,0,best
236,0,6.84,0,best
237,0,3.83,1,good
238,0,4,1,good
239,0,5.33,0,best
240,5,3.36,1,good
241,1,5,0,best
242,2,5.43,0,best
243,0,3.9,1,good
244,0,5,0,best
245,1,4.75,1,good
246,2,2.57,1,good
247,0,4.43,0,best
248,0,8.5,2,poor
249,0,6.5,0,best
250,0,4,1,good
251,3,5.33,1,good
252,3,4.38,1,good
253,2,5.63,0,best
254,1,3.7,1,good
