,runs,balls,minutes,fours,sixes,strike_rate,batting_position,temp,feels,gust,wind,rain,humidity,cloud,pressure,season_id
runs,1.0,0.9375727999455534,0.9347310504128911,0.904511939135342,0.4677804109187115,0.3576473837125748,-0.3868838110310008,-0.007625246787696907,-0.000589349719817032,0.011869494512839156,0.010384452802468691,-0.00587885188703073,0.01375088643444173,0.012687046647073643,0.011588758247494217,-0.04156437512567469
balls,0.9375727999455534,1.0,0.981167413202336,0.8112766300056607,0.30454774049153277,0.16889874966619067,-0.4176061710009208,0.0051972890795644495,0.010633289087999612,0.008794665684481087,0.008846015734287315,-0.009947248224495038,-0.00043508559105296003,0.00528342453238367,0.004845114600374167,-0.0598177070394942
minutes,0.9347310504128911,0.981167413202336,1.0,0.8089419354540919,0.3060072064775913,0.1849141722481686,-0.4219468575370467,0.03300138229029367,0.04290400297526065,0.0032526138555734633,0.002427007528919811,-0.0006685670712779663,0.002982356081956051,-0.0007657520195777684,-0.010594545201415704,-0.04709962649557657
fours,0.904511939135342,0.8112766300056607,0.8089419354540919,1.0,0.2873597062915828,0.3719071241180226,-0.4145211258805679,0.0024238810794625218,0.01066434290784211,-0.010847936124038011,-0.017246435828045185,0.0029717709105737374,0.0223349759320042,0.00851807201530174,-0.0091304977469406,-0.042116901508821684
sixes,0.4677804109187115,0.30454774049153277,0.3060072064775913,0.2873597062915828,1.0,0.37689964967508993,-0.05375941571024449,-0.04234055708687582,-0.04444699599736946,0.010594891844073381,0.013696016617658053,-0.02110635897180692,-0.015372068930718887,-0.014332867943327051,0.04507877039073005,0.06400624098251016
strike_rate,0.3576473837125748,0.16889874966619067,0.1849141722481686,0.3719071241180226,0.37689964967508993,1.0,-0.042522286831481744,-0.02246999319555468,-0.010968821297959286,-0.011395104162538154,-0.01228011101499348,0.03708866732176174,0.06770324555153509,0.039791045949070646,0.018530397775744476,-0.000373111006161087
batting_position,-0.3868838110310008,-0.4176061710009208,-0.4219468575370467,-0.4145211258805679,-0.05375941571024449,-0.042522286831481744,1.0,0.0006732677251109587,-0.00727215749888135,0.007864559220145364,0.013129176632681823,-0.03130186934422684,-0.0304067431882817,-0.02493640759802185,0.0036533054182507005,0.056921472424802805
temp,-0.007625246787696907,0.0051972890795644495,0.03300138229029367,0.0024238810794625218,-0.04234055708687582,-0.02246999319555468,0.0006732677251109587,1.0,0.9728060442935488,-0.12062873638329703,-0.12609909490875768,0.1265202491207469,-0.26757401038129,-0.33725478040353163,-0.5252610097450578,0.033563241690619965
feels,-0.000589349719817032,0.010633289087999612,0.04290400297526065,0.01066434290784211,-0.04444699599736946,-0.010968821297959286,-0.00727215749888135,0.9728060442935488,1.0,-0.09304312490492082,-0.10824862535256029,0.19987027881682817,-0.09429305026791693,-0.25992091070142664,-0.5548621249264758,0.03945800863351835
gust,0.011869494512839156,0.008794665684481087,0.0032526138555734633,-0.010847936124038011,0.010594891844073381,-0.011395104162538154,0.007864559220145364,-0.12062873638329703,-0.09304312490492082,1.0,0.961229747107638,-0.24189652207146006,0.07495968941337476,-0.011387935680504101,-0.0008882896051230839,0.06164054906005416
wind,0.010384452802468691,0.008846015734287315,0.002427007528919811,-0.017246435828045185,0.013696016617658053,-0.01228011101499348,0.013129176632681823,-0.12609909490875768,-0.10824862535256029,0.961229747107638,1.0,-0.2654883532559734,0.01601349646654729,-0.008767954734961128,0.025429262803741963,0.12571001339602558
rain,-0.00587885188703073,-0.009947248224495038,-0.0006685670712779663,0.0029717709105737374,-0.02110635897180692,0.03708866732176174,-0.03130186934422684,0.1265202491207469,0.19987027881682817,-0.24189652207146006,-0.2654883532559734,1.0,0.39566044116246724,0.2556782925369863,-0.23657472593221626,-0.11943562952249841
humidity,0.01375088643444173,-0.00043508559105296003,0.002982356081956051,0.0223349759320042,-0.015372068930718887,0.06770324555153509,-0.0304067431882817,-0.26757401038129,-0.09429305026791693,0.07495968941337476,0.01601349646654729,0.39566044116246724,1.0,0.4855157095452932,-0.11470897091783958,-0.07678905302428367
cloud,0.012687046647073643,0.00528342453238367,-0.0007657520195777684,0.00851807201530174,-0.014332867943327051,0.039791045949070646,-0.02493640759802185,-0.33725478040353163,-0.25992091070142664,-0.011387935680504101,-0.008767954734961128,0.2556782925369863,0.4855157095452932,1.0,0.04876145445573121,0.015681534978263627
pressure,0.011588758247494217,0.004845114600374167,-0.010594545201415704,-0.0091304977469406,0.04507877039073005,0.018530397775744476,0.0036533054182507005,-0.5252610097450578,-0.5548621249264758,-0.0008882896051230839,0.025429262803741963,-0.23657472593221626,-0.11470897091783958,0.04876145445573121,1.0,-0.02964005657079004
season_id,-0.04156437512567469,-0.0598177070394942,-0.04709962649557657,-0.042116901508821684,0.06400624098251016,-0.000373111006161087,0.056921472424802805,0.033563241690619965,0.03945800863351835,0.06164054906005416,0.12571001339602558,-0.11943562952249841,-0.07678905302428367,0.015681534978263627,-0.02964005657079004,1.0
