,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,temp,feels,gust,wind,rain,humidity,cloud,pressure,season_id
balls,1.0,0.2079756718047229,0.7607135449240673,0.43388208872025574,0.8553995993326412,0.4100910382715109,0.2227476242735684,-0.23568031131041026,0.29532961972627153,0.11289267844386695,0.07086085919342955,0.05555507146669573,-0.010974715852286862,0.013529990053234145,-0.11246382354128993,-0.12380361579453375,-0.07610290096397376,0.014514650813851322,-0.08302715101026316
maidens,0.2079756718047229,1.0,-0.08027700484028168,0.22846240560198916,0.44834007021153527,0.0047692013648991324,-0.06851945733017689,-0.3312378191195888,0.06417969674721996,0.029525672425363313,0.04059810951353164,0.03937416248470578,-0.016533263415373967,-0.02433254155627934,-0.03032068854394388,-0.05705785823023528,0.0011869883626380955,-0.002461250119006126,-0.10486451146422561
runs,0.7607135449240673,-0.08027700484028168,1.0,0.2016378445045708,0.4106551809280283,0.724768606102341,0.5058292908426996,0.3494539957836779,0.3122300482044615,0.1629497653192301,0.016965923172326484,-0.003759875383765811,0.026682600263385304,0.052109972023170706,-0.09491213484786422,-0.10427006982667171,-0.06601738366329511,0.03716422438600255,0.06277649639575891
wickets,0.43388208872025574,0.22846240560198916,0.2016378445045708,1.0,0.5171838850210692,0.12092947626761323,0.01350773868955917,-0.25737899688487353,0.18741883433460568,0.1015534543397537,0.028041330229261634,0.03562853561885163,-0.03559548892924215,-0.027065556638400937,-0.012787776092264511,0.020728340856653454,0.016042355726959768,-0.018585085542148997,-0.06407143573402245
dots,0.8553995993326412,0.44834007021153527,0.4106551809280283,0.5171838850210692,1.0,0.257269768425072,0.05447321716611545,-0.497216668384962,0.29685102331287305,0.11113051740474034,0.08009491935162531,0.07368237033222948,-0.04238729625541035,-0.03590996859642094,-0.06624404306448037,-0.08153246969540985,-0.04406629443871126,-0.010820210349247931,-0.14501421384644086
fours,0.4100910382715109,0.0047692013648991324,0.724768606102341,0.12092947626761323,0.257269768425072,1.0,0.16013922736412206,0.41890308462750214,0.22777590403481685,0.15718677570004125,0.014599563188531253,-0.003987171583252722,0.011501018635469602,0.01632556517652436,-0.03947332185424729,-0.04299839135961729,-0.00793596012483787,0.004324540703242521,0.1008672848034818
sixes,0.2227476242735684,-0.06851945733017689,0.5058292908426996,0.01350773868955917,0.05447321716611545,0.16013922736412206,1.0,0.38593854754336376,0.034070673129936065,0.007768818101042328,-0.006658411696200416,-0.017491242901962897,-0.003114868938887385,0.013507076986282769,-0.01153282071375188,-0.08223709768524828,-0.07812480057643575,0.042702164480566,0.11999623072582494
econ,-0.23568031131041026,-0.3312378191195888,0.3494539957836779,-0.25737899688487353,-0.497216668384962,0.41890308462750214,0.38593854754336376,1.0,0.056584885944342724,0.05831786457868436,-0.08328693463106274,-0.09287525205752596,0.05378170551470988,0.05583026558608727,0.022743573710617138,0.013692581493090746,0.014568862564937647,0.04914704580003495,0.17188748895607428
wides,0.29532961972627153,0.06417969674721996,0.3122300482044615,0.18741883433460568,0.29685102331287305,0.22777590403481685,0.034070673129936065,0.056584885944342724,1.0,0.16258252381529792,-0.025038074612567265,-0.03205983741542305,-0.03290355504848598,-0.02089134436330061,0.008749331958456133,-0.005502603838066581,-0.01725840670931076,0.024062200742613813,0.017953109203102235
no_balls,0.11289267844386695,0.029525672425363313,0.1629497653192301,0.1015534543397537,0.11113051740474034,0.15718677570004125,0.007768818101042328,0.05831786457868436,0.16258252381529792,1.0,-0.011676556530792744,-0.00899621898087646,0.014045731370296098,0.003924950456950871,-0.0013607026760094527,0.03996916422180237,0.01493097637884788,0.036115655078689815,-0.06121178949302149
temp,0.07086085919342955,0.04059810951353164,0.016965923172326484,0.028041330229261634,0.08009491935162531,0.014599563188531253,-0.006658411696200416,-0.08328693463106274,-0.025038074612567265,-0.011676556530792744,1.0,0.9639979009007635,-0.11709822256054984,-0.12494848608248355,0.028000420327375437,-0.32854242826867286,-0.36271133039079806,-0.5174121665481705,0.015125301452725639
feels,0.05555507146669573,0.03937416248470578,-0.003759875383765811,0.03562853561885163,0.07368237033222948,-0.003987171583252722,-0.017491242901962897,-0.09287525205752596,-0.03205983741542305,-0.00899621898087646,0.9639979009007635,1.0,-0.08216681413858565,-0.10194377620955519,0.09210457140270532,-0.13234128466858583,-0.2883653122679221,-0.5498666009160685,0.027606259225999973
gust,-0.010974715852286862,-0.016533263415373967,0.026682600263385304,-0.03559548892924215,-0.04238729625541035,0.011501018635469602,-0.003114868938887385,0.05378170551470988,-0.03290355504848598,0.014045731370296098,-0.11709822256054984,-0.08216681413858565,1.0,0.9581462777896184,-0.24055198792908444,0.08194632920002155,0.03175929968650621,-0.027025436400844715,0.08516179547721234
wind,0.013529990053234145,-0.02433254155627934,0.052109972023170706,-0.027065556638400937,-0.03590996859642094,0.01632556517652436,0.013507076986282769,0.05583026558608727,-0.02089134436330061,0.003924950456950871,-0.12494848608248355,-0.10194377620955519,0.9581462777896184,1.0,-0.2660809416167644,0.0016880643999732043,1.8469703984786138e-05,0.006766178657299146,0.13901227267798388
rain,-0.11246382354128993,-0.03032068854394388,-0.09491213484786422,-0.012787776092264511,-0.06624404306448037,-0.03947332185424729,-0.01153282071375188,0.022743573710617138,0.008749331958456133,-0.0013607026760094527,0.028000420327375437,0.09210457140270532,-0.24055198792908444,-0.2660809416167644,1.0,0.35126332461487714,0.24550388790981925,-0.1608929228405131,-0.02742560516764764
humidity,-0.12380361579453375,-0.05705785823023528,-0.10427006982667171,0.020728340856653454,-0.08153246969540985,-0.04299839135961729,-0.08223709768524828,0.013692581493090746,-0.005502603838066581,0.03996916422180237,-0.32854242826867286,-0.13234128466858583,0.08194632920002155,0.0016880643999732043,0.35126332461487714,1.0,0.5378309837762685,-0.09003881074379277,-0.023500684504257834
cloud,-0.07610290096397376,0.0011869883626380955,-0.06601738366329511,0.016042355726959768,-0.04406629443871126,-0.00793596012483787,-0.07812480057643575,0.014568862564937647,-0.01725840670931076,0.01493097637884788,-0.36271133039079806,-0.2883653122679221,0.03175929968650621,1.8469703984786138e-05,0.24550388790981925,0.5378309837762685,1.0,0.013153301567782242,0.009417646171873543
