Date,Match_Id,URL_Text,Bowling_Session,Venue,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,URL
4-Jan-10,434258,ODI # 2937,14.30-18.00,"Shere Bangla National Stadium, Mirpur, Dhaka",26 °c,26 °c,9 km/h from W,10 km/h,0.0 mm,39%,4%,1009 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
5-Jan-10,434259,ODI # 2938,14.30-18.00,"Shere Bangla National Stadium, Mirpur, Dhaka",28 °c,27 °c,9 km/h from NNW,11 km/h,0.0 mm,36%,0%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
8-Jan-10,434261,ODI # 2940,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",30 °c,29 °c,7 km/h from WNW,8 km/h,0.0 mm,30%,0%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
10-Jan-10,434262,ODI # 2941,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",24 °c,25 °c,3 km/h from NW,6 km/h,0.0 mm,57%,0%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
13-Jan-10,434264,ODI # 2943,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",26 °c,25 °c,5 km/h from NNW,6 km/h,0.0 mm,33%,17%,1014 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
30-May-10,452147,ODI # 2983,13.15-16.45,"Queens Sports Club, Bulawayo",13 °c,11 °c,18 km/h from ESE,26 km/h,3.0 mm,91%,69%,1023 mb,Excellent,https://www.worldweatheronline.com/cricket/queens-sports-club-bulawayo-weather-history/zw.aspx
1-Jun-10,452148,ODI # 2985,09.00-12.30,"Queens Sports Club, Bulawayo",12 °c,10 °c,18 km/h from SE,22 km/h,0.2 mm,85%,70%,1026 mb,Good,https://www.worldweatheronline.com/cricket/queens-sports-club-bulawayo-weather-history/zw.aspx
5-Jun-10,452150,ODI # 2988,09.00-12.30,Harare Sports Club,20 °c,20 °c,5 km/h from SSW,6 km/h,0.0 mm,47%,7%,1023 mb,Excellent,https://www.worldweatheronline.com/cricket/harare-sports-club-weather-history/zw.aspx
7-Jun-10,452151,ODI # 2989,13.15-16.45,Harare Sports Club,20 °c,20 °c,12 km/h from NE,14 km/h,0.0 mm,40%,4%,1020 mb,Excellent,https://www.worldweatheronline.com/cricket/harare-sports-club-weather-history/zw.aspx
9-Jun-10,452152,ODI # 2990,09.00-12.30,Harare Sports Club,23 °c,24 °c,3 km/h from WNW,3 km/h,0.0 mm,46%,9%,1020 mb,Excellent,https://www.worldweatheronline.com/cricket/harare-sports-club-weather-history/zw.aspx
15-Jun-10,455231,ODI # 2991,18.45-22.15,Rangiri Dambulla International Stadium,24 °c,27 °c,3 km/h from S,6 km/h,5.8 mm,99%,34%,1011 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
18-Jun-10,455233,ODI # 2995,18.45-22.15,Rangiri Dambulla International Stadium,24 °c,27 °c,3 km/h from SSW,5 km/h,7.8 mm,99%,57%,1010 mb,Average,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
