Score;Wickets;Overs;RPO;Target;Inning;Result;Opposition;Ground;Date;Match_Id;URL_Text;Batting_Session;Bowling_Session;Venue;Toss_Won;Toss;Series;Season;Player Of The Match;Match number;Hours of play (local time);Match days;ODI debut;Umpires;TV Umpire;Reserve Umpire;Match Referee;Points;Player Of The Series;Series result;LIST-A debut
261;3;44.5;5.82;261;2;won;Bangladesh;Dhaka;4 Jan 2010;434258;ODI # 2937;18.45-22.15;14.30-18.00;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to field first;Tri-Nation Tournament in Bangladesh;2009/10;Tillakaratne Dilshan;ODI No. 2937;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;4 January 2010 - daynight match (50-over match);Shafiul Islam;Enamul HaqueIan Gould;Nadir Shah;Anisur Rahman;Andy Pycroft;Sri Lanka 4, Bangladesh 0;;;
283;5;48.0;5.89;280;2;won;India;Dhaka;5 Jan 2010;434259;ODI # 2938;18.45-22.15;14.30-18.00;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to field first;Tri-Nation Tournament in BangladeshIndia tour of Bangladesh;2009/10;Thilan Samaraweera;ODI No. 2938;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;5 January 2010 - daynight match (50-over match);Lahiru Thirimanne;Nadir ShahSimon Taufel;Sharfuddoula;Anisur Rahman;Andy Pycroft;Sri Lanka 4, India 0;;;
252;1;42.5;5.88;250;2;won;Bangladesh;Dhaka;8 Jan 2010;434261;ODI # 2940;18.15-21.45;14.00-17.30;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to field first;Tri-Nation Tournament in Bangladesh;2009/10;Upul Tharanga;ODI No. 2940;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;8 January 2010 - daynight match (50-over match);;SharfuddoulaSimon Taufel;Enamul Haque;AFM Akhtaruddin;Andy Pycroft;Sri Lanka 4, Bangladesh 0;;;
213;10;46.1;4.61;;1;lost;India;Dhaka;10 Jan 2010;434262;ODI # 2941;14.00-17.30;18.15-21.45;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to bat first;Tri-Nation Tournament in BangladeshIndia tour of Bangladesh;2009/10;Zaheer Khan;ODI No. 2941;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;10 January 2010 - daynight match (50-over match);;Enamul HaqueIan Gould;Sharfuddoula;Tanvir Ahmed;Andy Pycroft;India 5, Sri Lanka 0;;;
249;6;48.3;5.13;246;2;won;India;Dhaka;13 Jan 2010;434264;ODI # 2943;18.15-21.45;14.00-17.30;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to field first;Tri-Nation Tournament in BangladeshIndia tour of Bangladesh;2009/10;Nuwan Kulasekara;ODI No. 2943;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;13 January 2010 - daynight match (50-over match);;Enamul HaqueIan Gould;;AFM Akhtaruddin;Andy Pycroft;;Kumar Sangakkara;Sri Lanka won the 2009/10 Tri-Nation Tournament in Bangladesh ;
242;10;49.5;4.85;;1;lost;India;Bulawayo;30 May 2010;452147;ODI # 2983;09.00-12.30;13.15-16.45;Queens Sports Club, Bulawayo;False;India, elected to field first;Zimbabwe Triangular SeriesIndia tour of Zimbabwe;2010;Rohit Sharma;ODI No. 2983;09.00 start, First Session 09.00-12.30, Interval 12.30-13.15, Second Session 13.15-16.45;30 May 2010 - day match (50-over match);;Brian JerlingRussell Tiffin;Owen Chirombe;Christopher Phiri;Jeff Crowe;India 4, Sri Lanka 0;;;
119;1;15.2;7.76;119;2;won;Zimbabwe;Bulawayo;1 Jun 2010;452148;ODI # 2985;13.15-16.45;09.00-12.30;Queens Sports Club, Bulawayo;True;Sri Lanka, elected to field first;Zimbabwe Triangular Series;2010;Suraj Randiv;ODI No. 2985;09.00 start, First Session 09.00-12.30, Interval 12.30-13.15, Second Session 13.15-16.45;1 June 2010 - day match (50-over match);Dinesh ChandimalJeevan Mendis;Owen ChirombeRudi Koertzen;Russell Tiffin;Lucky Ngwenya;Jeff Crowe;Sri Lanka 5, Zimbabwe 0;;;
270;4;48.2;5.58;269;2;won;India;Harare;5 Jun 2010;452150;ODI # 2988;13.15-16.45;09.00-12.30;Harare Sports Club;True;Sri Lanka, elected to field first;Zimbabwe Triangular SeriesIndia tour of Zimbabwe;2010;Dinesh Chandimal;ODI No. 2988;09.00 start, First Session 09.00-12.30, Interval 12.30-13.15, Second Session 13.15-16.45;5 June 2010 - day match (50-over match);Naman OjhaPankaj SinghRavichandran Ashwin;Rudi KoertzenRussell Tiffin;Owen Chirombe;Justice Tapfumaneyi;Jeff Crowe;Sri Lanka 4, India 0;;;
236;10;47.5;4.93;;1;lost;Zimbabwe;Harare;7 Jun 2010;452151;ODI # 2989;09.00-12.30;13.15-16.45;Harare Sports Club;False;Zimbabwe, elected to field first;Zimbabwe Triangular Series;2010;Brendan Taylor;ODI No. 2989;09.00 start, First Session 09.00-12.30, Interval 12.30-13.15, Second Session 13.15-16.45;7 June 2010 - day match (50-over match);;Rudi KoertzenRussell Tiffin;Owen Chirombe;;Jeff Crowe;Zimbabwe 4, Sri Lanka 0;;;
203;1;34.4;5.85;200;2;won;Zimbabwe;Harare;9 Jun 2010;452152;ODI # 2990;13.15-16.45;09.00-12.30;Harare Sports Club;True;Sri Lanka, elected to field first;Zimbabwe Triangular Series;2010;Tillakaratne Dilshan;ODI No. 2990;09.00 start, First Session 09.00-12.30, Interval 12.30-13.15, Second Session 13.15-16.45;9 June 2010 - day match (50-over match);;Rudi KoertzenRussell Tiffin;Owen Chirombe;Jeremiah Matibiri;Jeff Crowe;;Brendan Taylor;Sri Lanka won the 2010 Zimbabwe Triangular Series ;
