batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity
20,11,0,50,6,1009,3
20,11,0,50,6,1009,3
20,11,0,50,6,1009,3
20,11,0,50,6,1009,3
20,11,0,50,6,1009,3
22,11,0,51,0,1010,3
22,11,0,51,0,1010,3
22,11,0,51,0,1010,3
22,11,0,51,0,1010,3
22,11,0,51,0,1010,3
22,11,0,51,0,1010,3
22,11,0,51,0,1010,3
24,5,0,50,0,1012,3
24,5,0,50,0,1012,3
24,5,0,50,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
30,5,0,35,0,1012,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
20,9,0,42,52,1015,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,21,1,90,63,1025,3
14,15,0,75,74,1024,3
14,15,0,75,74,1024,3
14,15,0,75,74,1024,3
22,8,0,38,3,1021,3
22,8,0,38,3,1021,3
22,8,0,38,3,1021,3
22,8,0,38,3,1021,3
22,8,0,38,3,1021,3
22,8,0,38,3,1021,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
18,12,0,45,5,1023,3
24,4,0,39,4,1018,3
24,4,0,39,4,1018,3
24,4,0,39,4,1018,3
27,3,5,88,48,1010,2
27,3,5,88,48,1010,2
27,3,5,88,48,1010,2
