wickets,econ,performance
1,4.6,0.434782609
0,4.88,0.204918033
1,5.33,0.375234522
2,7,0.428571429
2,5.1,0.588235294
0,4.2,0.238095238
0,4.2,0.238095238
5,6.6,0.909090909
0,6,0.166666667
2,6.2,0.483870968
0,3.6,0.277777778
0,5.5,0.181818182
0,6,0.166666667
2,4.5,0.666666667
2,4.8,0.625
1,7.44,0.268817204
2,4,0.75
2,3.2,0.9375
0,4.4,0.227272727
0,17,0.058823529
0,9,0.111111111
0,7.5,0.133333333
1,5.5,0.363636364
0,3.17,0.315457413
1,6.4,0.3125
4,4.8,1.041666667
3,5.3,0.754716981
0,4.33,0.230946882
1,5.22,0.383141762
1,5.88,0.340136054
1,3.6,0.555555556
1,3.78,0.529100529
0,6.82,0.146627566
1,6.4,0.3125
1,5.67,0.352733686
0,5,0.2
0,3,0.333333333
2,5.38,0.557620818
2,3.5,0.857142857
0,16,0.0625
3,4.6,0.869565217
2,3,1
1,5.22,0.383141762
3,6.33,0.631911532
1,8.25,0.242424242
0,5.4,0.185185185
0,4.83,0.207039337
2,3.8,0.789473684
1,2.5,0.8
1,5.08,0.393700787
0,4.11,0.243309002
0,12,0.083333333
0,4.22,0.236966825
0,5.25,0.19047619
1,4.38,0.456621005
0,4,0.25
1,2.43,0.823045267
3,4,1
2,4.4,0.681818182
0,3.5,0.285714286
0,4.5,0.222222222
2,4,0.75
0,7,0.142857143
0,2.78,0.35971223
5,3.4,1.764705882
2,3.8,0.789473684
0,6.63,0.150829563
1,7.1,0.281690141
1,6.5,0.307692308
2,4.2,0.714285714
3,3.7,1.081081081
2,4.75,0.631578947
2,3.88,0.773195876
0,5.6,0.178571429
5,4.2,1.428571429
1,6.17,0.324149109
2,4.43,0.677200903
0,4.44,0.225225225
0,4.67,0.214132762
1,4.89,0.408997955
2,5.7,0.526315789
0,6.83,0.146412884
0,5.33,0.187617261
0,3.4,0.294117647
2,5.29,0.56710775
0,6,0.166666667
3,3.5,1.142857143
1,4.29,0.466200466
3,3.6,1.111111111
1,4.2,0.476190476
2,3.5,0.857142857
0,4.86,0.205761317
0,4.6,0.217391304
2,4.57,0.656455142
2,4.13,0.726392252
0,5.07,0.197238659
2,2.33,1.287553648
2,3.44,0.872093023
1,2.5,0.8
5,3.65,1.643835616
2,5.44,0.551470588
0,5.22,0.191570881
1,4.8,0.416666667
3,4,1
3,4.07,0.982800983
1,3.9,0.512820513
1,6,0.333333333
5,5.75,1.043478261
0,4,0.25
1,3.89,0.514138817
0,4.25,0.235294118
1,4.43,0.451467269
2,6,0.5
2,4.88,0.614754098
2,4.29,0.699300699
2,7.57,0.396301189
0,5.17,0.193423598
2,5.88,0.510204082
0,4.07,0.245700246
0,10,0.1
0,5.5,0.181818182
3,5.1,0.784313725
1,3.5,0.571428571
0,5,0.2
0,4.2,0.238095238
0,5.56,0.179856115
0,5.5,0.181818182
0,9.5,0.105263158
3,3,1.333333333
2,4.2,0.714285714
0,5,0.2
2,4.2,0.714285714
0,3.86,0.259067358
1,3.67,0.544959128
2,4.5,0.666666667
3,4,1
0,5.5,0.181818182
4,4.6,1.086956522
0,7,0.142857143
0,8.33,0.120048019
1,5.4,0.37037037
3,2.67,1.498127341
3,3.43,1.166180758
1,2.3,0.869565217
2,4.22,0.710900474
0,2.8,0.357142857
1,2,1
0,6.4,0.15625
2,6.89,0.435413643
1,5.6,0.357142857
1,3.5,0.571428571
2,4.6,0.652173913
0,10,0.1
6,4.96,1.411290323
1,2,1
1,2.86,0.699300699
0,2.56,0.390625
1,3,0.666666667
0,4,0.25
0,6.38,0.156739812
0,4.13,0.242130751
1,5.5,0.363636364
3,3.78,1.058201058
2,5.8,0.517241379
4,1.33,3.759398496
1,7.6,0.263157895
1,2.71,0.73800738
1,6.33,0.315955766
2,4,0.75
1,4,0.5
4,3.13,1.597444089
1,4.6,0.434782609
1,4.17,0.479616307
1,4,0.5
0,4.7,0.212765957
1,3.4,0.588235294
2,6,0.5
3,6.11,0.654664484
1,3.44,0.581395349
0,4.5,0.222222222
3,3.56,1.123595506
