bowling_performance,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,bowling_session,toss,venue_name,opposition_name
good,Nuwan Kulasekara,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,Chanaka Welegedara,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,Tillakaratne Dilshan,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,Suranga Lakmal,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,Suraj Randiv,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,Thilina Kandamby,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,Muthumudalige Pushpakumara,26,9,0,39,4,1009,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,Chanaka Welegedara,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Suranga Lakmal,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Thilan Thushara,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Suraj Randiv,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Thilina Kandamby,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Thilan Samaraweera,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Thisara Perera,28,9,0,36,0,1010,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Nuwan Kulasekara,30,7,0,30,0,1013,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,Thilan Thushara,30,7,0,30,0,1013,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,Suraj Randiv,30,7,0,30,0,1013,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
good,Thisara Perera,30,7,0,30,0,1013,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
best,Malinga Bandara,30,7,0,30,0,1013,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,Thilan Samaraweera,30,7,0,30,0,1013,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",Bangladesh
poor,Chanaka Welegedara,24,3,0,57,0,1012,Excellent,inning1,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
poor,Suranga Lakmal,24,3,0,57,0,1012,Excellent,inning1,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Thilan Thushara,24,3,0,57,0,1012,Excellent,inning1,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Suraj Randiv,24,3,0,57,0,1012,Excellent,inning1,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Thisara Perera,24,3,0,57,0,1012,Excellent,inning1,night,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Nuwan Kulasekara,26,5,0,33,17,1014,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Chanaka Welegedara,26,5,0,33,17,1014,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
good,Thilan Thushara,26,5,0,33,17,1014,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
best,Suraj Randiv,26,5,0,33,17,1014,Excellent,inning2,day,won,"Shere Bangla National Stadium, Mirpur, Dhaka",India
