,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,weather
0,20,11,0,50,6,1009,3,3
1,20,11,0,50,6,1009,3,3
2,20,11,0,50,6,1009,3,3
3,20,11,0,50,6,1009,3,3
4,20,11,0,50,6,1009,3,3
5,22,11,0,51,0,1010,3,3
6,22,11,0,51,0,1010,3,3
7,22,11,0,51,0,1010,3,3
8,22,11,0,51,0,1010,3,3
9,22,11,0,51,0,1010,3,3
10,22,11,0,51,0,1010,3,3
11,22,11,0,51,0,1010,3,3
12,24,5,0,50,0,1012,3,3
13,24,5,0,50,0,1012,3,3
14,24,5,0,50,0,1012,3,3
15,30,5,0,35,0,1012,3,3
16,30,5,0,35,0,1012,3,3
17,30,5,0,35,0,1012,3,3
18,30,5,0,35,0,1012,3,3
19,30,5,0,35,0,1012,3,3
20,30,5,0,35,0,1012,3,3
21,30,5,0,35,0,1012,3,3
22,30,5,0,35,0,1012,3,3
23,30,5,0,35,0,1012,3,3
24,30,5,0,35,0,1012,3,3
25,30,5,0,35,0,1012,3,3
26,20,9,0,42,52,1015,3,0
27,20,9,0,42,52,1015,3,0
28,20,9,0,42,52,1015,3,0
29,20,9,0,42,52,1015,3,0
30,20,9,0,42,52,1015,3,0
31,20,9,0,42,52,1015,3,0
32,20,9,0,42,52,1015,3,0
33,20,9,0,42,52,1015,3,0
34,14,21,1,90,63,1025,3,0
35,14,21,1,90,63,1025,3,0
36,14,21,1,90,63,1025,3,0
37,14,21,1,90,63,1025,3,0
38,14,21,1,90,63,1025,3,0
39,14,21,1,90,63,1025,3,0
40,14,21,1,90,63,1025,3,0
41,14,21,1,90,63,1025,3,0
42,14,21,1,90,63,1025,3,0
43,14,21,1,90,63,1025,3,0
44,14,21,1,90,63,1025,3,0
45,14,15,0,75,74,1024,3,2
46,14,15,0,75,74,1024,3,2
47,14,15,0,75,74,1024,3,2
48,22,8,0,38,3,1021,3,3
49,22,8,0,38,3,1021,3,3
50,22,8,0,38,3,1021,3,3
51,22,8,0,38,3,1021,3,3
52,22,8,0,38,3,1021,3,3
53,22,8,0,38,3,1021,3,3
54,18,12,0,45,5,1023,3,3
55,18,12,0,45,5,1023,3,3
56,18,12,0,45,5,1023,3,3
57,18,12,0,45,5,1023,3,3
58,18,12,0,45,5,1023,3,3
59,18,12,0,45,5,1023,3,3
60,18,12,0,45,5,1023,3,3
61,18,12,0,45,5,1023,3,3
62,18,12,0,45,5,1023,3,3
63,18,12,0,45,5,1023,3,3
64,18,12,0,45,5,1023,3,3
65,24,4,0,39,4,1018,3,3
66,24,4,0,39,4,1018,3,3
67,24,4,0,39,4,1018,3,3
68,27,3,5,88,48,1010,2,0
69,27,3,5,88,48,1010,2,0
70,27,3,5,88,48,1010,2,0
71,27,3,5,88,48,1010,2,0
72,27,3,5,88,48,1010,2,0
73,27,3,5,88,48,1010,2,0
74,27,3,5,88,48,1010,2,0
75,27,3,5,88,48,1010,2,0
76,27,3,5,88,48,1010,2,0
77,27,3,5,88,48,1010,2,0
78,27,3,5,88,48,1010,2,0
79,27,2,7,91,56,1009,2,0
80,27,2,7,91,56,1009,2,0
81,27,2,7,91,56,1009,2,0
82,27,2,7,91,56,1009,2,0
83,27,2,7,91,56,1009,2,0
84,27,2,7,91,56,1009,2,0
85,25,4,6,99,54,1010,2,0
86,25,4,6,99,54,1010,2,0
87,25,4,6,99,54,1010,2,0
88,25,4,6,99,54,1010,2,0
89,25,4,6,99,54,1010,2,0
90,25,4,11,100,57,1008,1,0
91,25,4,11,100,57,1008,1,0
92,25,4,11,100,57,1008,1,0
93,25,4,11,100,57,1008,1,0
