,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
0,60,1,46,1,28,2,0,4.6,1,0,0.378378434,0.016422491,0.023798192,0.008237836,0.0,0.035697288,0.00366126,0.923552902,0.002745945,1,2,0,1,0.028921302,0.029055121,1,0
1,48,0,39,0,27,5,0,4.88,1,0,0.029312177,0.019902157,0.02571287,0.008900609,0.0,0.038569305,0.003955826,0.997857151,0.00296687,1,2,0,1,0.019423997,0.019902256,1,0
2,18,0,16,1,11,1,0,5.33,1,0,0.253181899,0.009328485,0.024885658,0.008614266,0.0,0.037328487,0.003828563,0.96575496,0.002871422,1,2,0,1,0.026807501,0.017343581,1,4
3,54,1,63,2,32,8,2,7.0,5,0,0.273918301,0.034293691,0.024673905,0.008540967,0.0,0.037010857,0.003795985,0.957537299,0.002846989,1,2,0,1,0.055577116,0.041858615,1,2
4,60,0,51,2,28,3,1,5.1,2,0,0.103401856,0.030433331,0.025574311,0.008852646,0.0,0.038361466,0.003934509,0.992479975,0.002950882,1,2,0,1,0.029760825,0.015857351,1,0
5,30,0,21,0,15,1,0,4.2,0,0,0.0,0.018653201,0.025728416,0.00890599,0.0,0.038592624,0.003958218,0.998460462,0.002968663,1,2,0,1,0.018968275,0.010669079,1,1
6,30,0,21,0,12,0,0,4.2,1,0,0.0,0.00998822,0.025734926,0.008908244,0.0,0.038602389,0.003959219,0.998713077,0.002969415,1,2,0,1,0.010112242,0.010671779,1,1
7,60,1,66,5,33,7,0,6.6,4,4,0.029284908,0.019883642,0.027665022,0.008892329,0.0,0.035569314,0.0,0.997916872,0.00296411,1,2,0,1,0.019405926,0.020346339,1,2
8,48,1,48,0,23,7,0,6.0,1,0,0.273673836,0.034263084,0.026548183,0.008533344,0.0,0.034133378,0.0,0.95763087,0.002844448,1,2,0,1,0.055527515,0.042868204,1,3
9,60,0,62,2,29,7,1,6.2,1,0,0.031570401,0.025371309,0.027655559,0.008889287,0.0,0.035557148,0.0,0.997575527,0.002963096,1,2,0,1,0.02522987,0.021194035,1,2
10,60,0,36,0,35,2,0,3.6,0,0,0.103176255,0.030366932,0.027481475,0.008833331,0.0,0.035333326,0.0,0.991296078,0.002944444,1,2,0,1,0.029695893,0.052842951,1,0
11,24,1,22,0,14,0,2,5.5,1,0,0.0,0.018633817,0.027678733,0.008896736,0.0,0.035586943,0.0,0.998411443,0.002965579,1,2,0,1,0.018948564,0.018650326,1,1
12,12,0,12,0,4,1,0,6.0,0,0,0.0,0.008344379,0.027690977,0.008900671,0.0,0.035602684,0.0,0.998853093,0.00296689,1,2,0,1,0.008703571,0.004975178,1,4
13,36,0,27,2,21,3,0,4.5,1,0,0.398887076,0.017198366,0.025269551,0.008122356,0.0,0.032489422,0.0,0.911508788,0.002707452,1,2,0,1,0.044216208,0.077605136,1,1
14,60,1,48,2,39,7,0,4.8,2,0,0.377172782,0.016370163,0.027371956,0.00638679,0.0,0.027371956,0.0,0.92425972,0.002737196,1,2,0,1,0.028829148,0.028962541,1,0
15,54,0,67,1,26,5,2,7.44,5,0,0.031480767,0.025299275,0.029546829,0.00689426,0.0,0.029546829,0.0,0.997697922,0.002954683,1,2,0,1,0.025158238,0.023076763,1,2
16,60,1,40,2,33,4,0,4.0,0,0,0.103021646,0.030321428,0.029400316,0.006860074,0.0,0.029400316,0.0,0.992750661,0.002940032,1,2,0,1,0.029651394,0.015799044,1,0
17,60,0,32,2,34,0,0,3.2,1,0,0.398718099,0.01719108,0.027063049,0.006314711,0.0,0.027063049,0.0,0.91382896,0.002706305,1,2,0,1,0.044197477,0.046685564,1,0
18,60,0,44,0,27,1,0,4.4,1,0,0.0,0.019850749,0.029569727,0.006899603,0.0,0.029569727,0.0,0.998471108,0.002956973,1,2,0,1,0.020139645,0.021229782,1,0
