Name,Desc,Runs,Balls,Minutes,Fours,Sixes,Strike_Rate,Batting_Position,Match_Id
Upul Tharanga,c †Mushfiqur Rahim b Rubel Hossain,14,15,17,3,0,93.33,1,434258
Tillakaratne Dilshan,c Naeem Islam b Mahmudullah,104,122,183,12,0,85.25,2,434258
Kumar Sangakkara,c †Mushfiqur Rahim b Shafiul Islam,74,73,105,10,0,101.37,3,434258
Thilan Samaraweera,not out,41,54,66,5,0,75.93,4,434258
Chamara Silva,not out,4,7,11,0,0,57.14,5,434258
Upul Tharanga,c & b Harbhajan Singh,30,48,78,4,0,62.5,1,434259
Lahiru Thirimanne,c Gambhir b Sreesanth,22,24,38,4,0,91.67,2,434259
Kumar Sangakkara,c Raina b Harbhajan Singh,60,80,127,4,0,75,3,434259
Thilan Samaraweera,not out,105,106,146,11,0,99.06,4,434259
Thilina Kandamby,c Sreesanth b Harbhajan Singh,8,11,16,1,0,72.73,5,434259
Suraj Randiv,run out (†Dhoni/Nehra),4,9,12,0,0,44.44,6,434259
Thisara Perera,not out,36,15,18,6,1,240,7,434259
Upul Tharanga,not out,118,126,179,18,0,93.65,1,434261
Mahela Jayawardene,c †Mushfiqur Rahim b Naeem Islam,108,117,159,13,0,92.31,2,434261
Kumar Sangakkara,not out,17,14,19,2,0,121.43,3,434261
Upul Tharanga,c Karthik b Tyagi,0,4,3,0,0,0,1,434262
Tillakaratne Dilshan,c Gambhir b Khan,33,17,26,8,0,194.12,2,434262
Kumar Sangakkara,c Raina b Yuvraj Singh,68,78,127,9,0,87.18,3,434262
Mahela Jayawardene,c Kohli b Khan,5,13,16,1,0,38.46,4,434262
Thilan Samaraweera,lbw b Sreesanth,0,6,6,0,0,0,5,434262
Thilina Kandamby,run out (Khan/Karthik),1,11,16,0,0,9.09,6,434262
Thisara Perera,c Yuvraj Singh b Mishra,11,17,22,2,0,64.71,7,434262
Suraj Randiv,b Mishra,56,76,103,5,0,73.68,8,434262
Thilan Thushara,c Yuvraj Singh b Khan,28,44,56,3,0,63.64,9,434262
Chanaka Welegedara,st †Dhoni b Mishra,1,4,9,0,0,25,10,434262
Suranga Lakmal,not out,0,8,8,0,0,0,11,434262
Upul Tharanga,c Kohli b Nehra,0,3,2,0,0,0,1,434264
Tillakaratne Dilshan,c †Dhoni b Yuvraj Singh,49,54,82,8,0,90.74,2,434264
Kumar Sangakkara,c Sehwag b Harbhajan Singh,55,51,91,8,0,107.84,3,434264
Mahela Jayawardene,not out,71,81,136,5,0,87.65,4,434264
Thilan Samaraweera,b Jadeja,27,41,55,2,0,65.85,5,434264
Thilina Kandamby,lbw b Harbhajan Singh,18,26,23,0,0,69.23,6,434264
Suraj Randiv,run out (Jadeja),17,30,34,1,0,56.67,7,434264
Thisara Perera,not out,6,6,10,1,0,100,8,434264
Upul Tharanga,run out (Kohli/†Karthik),1,2,8,0,0,50,1,452147
Tillakaratne Dilshan,run out (Sharma/Mishra),61,84,94,4,1,72.62,2,452147
Thilan Samaraweera,st †Karthik b Ojha,19,24,36,2,0,79.17,3,452147
Angelo Mathews,b Yadav,75,95,152,2,2,78.95,4,452147
Chamara Kapugedera,c Vijay b Jadeja,20,48,54,0,0,41.67,5,452147
Chamara Silva,lbw b Jadeja,5,5,6,1,0,100,6,452147
Thisara Perera,c Raina b Ojha,32,23,29,2,1,139.13,7,452147
Nuwan Kulasekara,b Dinda,19,14,21,1,1,135.71,8,452147
Suraj Randiv,run out (Dinda),1,2,6,0,0,50,9,452147
Dilhara Fernando,not out,0,0,2,0,0,0,10,452147
Ajantha Mendis,b Dinda,2,2,1,0,0,100,11,452147
Upul Tharanga,run out (†Taylor/Utseya),40,37,42,6,0,108.11,1,452148
Tillakaratne Dilshan,not out,60,45,64,7,1,133.33,2,452148
Dinesh Chandimal,not out,10,10,21,2,0,100,3,452148
Upul Tharanga,c Kohli b Ashwin,27,38,59,4,1,71.05,1,452150
Tillakaratne Dilshan,c Pathan b Dinda,21,19,24,4,0,110.53,2,452150
Dinesh Chandimal,st †NV Ojha b Ashwin,111,118,130,6,5,94.07,3,452150
Chamara Kapugedera,c Pankaj Singh b PP Ojha,42,60,77,2,1,70,4,452150
Jeevan Mendis,not out,35,35,86,4,0,100,5,452150
Thilan Samaraweera,not out,28,21,38,3,0,133.33,6,452150
Upul Tharanga,c Coventry b Cremer,69,97,138,5,0,71.13,1,452151
Tillakaratne Dilshan,st †Taibu b Utseya,78,66,84,9,2,118.18,2,452151
Dinesh Chandimal,c Masakadza b Utseya,6,13,11,0,0,46.15,3,452151
Chamara Kapugedera,c & b Masakadza,12,16,16,0,0,75,4,452151
Thilan Samaraweera,run out (Chigumbura/†Taibu),16,31,46,1,0,51.61,5,452151
Jeevan Mendis,c Taylor b Cremer,7,8,10,1,0,87.5,6,452151
Lahiru Thirimanne,c Taylor b Mpofu,15,21,32,0,0,71.43,7,452151
Thisara Perera,b Mpofu,8,16,18,0,0,50,8,452151
Suraj Randiv,not out,9,9,20,1,0,100,9,452151
Thilan Thushara,c Taylor b Price,7,8,14,0,1,87.5,10,452151
Dilhara Fernando,run out (†Taibu),0,2,2,0,0,0,11,452151
Upul Tharanga,run out (Cremer/†Taibu),72,79,110,8,1,91.14,1,452152
Tillakaratne Dilshan,not out,108,102,141,14,0,105.88,2,452152
Dinesh Chandimal,not out,16,27,30,1,0,59.26,3,452152
Upul Tharanga,c Salman Butt b Shoaib Akhtar,11,16,32,2,0,68.75,1,455231
Tillakaratne Dilshan,c Umar Amin b Mohammad Asif,18,25,42,3,0,72,2,455231
Kumar Sangakkara,c Umar Akmal b Shahid Afridi,42,63,85,4,0,66.67,3,455231
Mahela Jayawardene,lbw b Shoaib Malik,54,64,101,3,0,84.38,4,455231
Thilan Samaraweera,c Umar Akmal b Abdul Razzaq,17,22,29,0,0,77.27,5,455231
Angelo Mathews,not out,55,61,83,4,0,90.16,6,455231
Chamara Kapugedera,c Umar Akmal b Shoaib Akhtar,2,6,12,0,0,33.33,7,455231
Farveez Maharoof,c †Kamran Akmal b Shoaib Akhtar,1,3,6,0,0,33.33,8,455231
Nuwan Kulasekara,b Mohammad Amir,14,27,37,0,0,51.85,9,455231
Lasith Malinga,b Mohammad Amir,16,12,19,1,1,133.33,10,455231
Muttiah Muralitharan,not out,1,1,1,0,0,100,11,455231
Upul Tharanga,c †Mushfiqur Rahim b Mahmudullah,54,73,110,5,1,73.97,1,455233
Tillakaratne Dilshan,c & b Shakib Al Hasan,71,51,63,11,1,139.22,2,455233
Kumar Sangakkara,c Shakib Al Hasan b Shafiul Islam,52,69,99,4,0,75.36,3,455233
Mahela Jayawardene,c Shakib Al Hasan b Shafiul Islam,43,35,46,6,0,122.86,4,455233
Angelo Mathews,not out,42,41,53,1,1,102.44,5,455233
Chamara Kapugedera,not out,37,30,44,1,2,123.33,6,455233
Upul Tharanga,c †Dhoni b Khan,38,46,57,6,0,82.61,1,455236
Tillakaratne Dilshan,c Jadeja b Khan,24,16,21,4,1,150,2,455236
Kumar Sangakkara,c Khan b Kumar,73,82,102,10,0,89.02,3,455236
Mahela Jayawardene,not out,53,67,82,5,1,79.1,4,455236
Thilina Kandamby,not out,7,14,16,0,0,50,5,455236
Upul Tharanga,b Khan,16,30,34,1,0,53.33,1,455237
Tillakaratne Dilshan,c Harbhajan Singh b Kumar,0,2,3,0,0,0,2,455237
Kumar Sangakkara,c Khan b Nehra,17,38,71,2,0,44.74,3,455237
Mahela Jayawardene,c †Dhoni b Nehra,11,19,25,1,0,57.89,4,455237
Angelo Mathews,c †Dhoni b Nehra,0,2,3,0,0,0,5,455237
Thilina Kandamby,run out (Kohli/Jadeja),31,45,63,2,0,68.89,6,455237
Chamara Kapugedera,not out,55,88,115,4,1,62.5,7,455237
Farveez Maharoof,c †Dhoni b Khan,10,14,20,1,0,71.43,8,455237
Nuwan Kulasekara,st †Dhoni b Jadeja,20,16,24,4,0,125,9,455237
Lasith Malinga,c Jadeja b Nehra,7,11,10,1,0,63.64,10,455237
Muttiah Muralitharan,c †Dhoni b Jadeja,2,5,5,0,0,40,11,455237
Upul Tharanga,c Watling b Mills,70,109,162,9,0,64.22,1,456664
Tillakaratne Dilshan,c & b Mills,5,9,11,1,0,55.56,2,456664
Kumar Sangakkara,c Guptill b Styris,48,62,82,5,0,77.42,3,456664
Mahela Jayawardene,c Taylor b McCullum,5,11,23,0,0,45.45,4,456664
Thilan Samaraweera,not out,36,38,76,4,0,94.74,5,456664
Angelo Mathews,c Taylor b Mills,0,1,6,0,0,0,6,456664
Nuwan Kulasekara,c †Hopkins b Southee,7,3,7,0,1,233.33,7,456664
Rangana Herath,c Taylor b Mills,2,3,5,0,0,66.67,8,456664
Chamara Kapugedera,not out,9,9,12,1,0,100,9,456664
Upul Tharanga,b Kumar,0,1,1,0,0,0,1,456663
Tillakaratne Dilshan,c RG Sharma b Ojha,45,62,105,5,0,72.58,2,456663
Kumar Sangakkara,c Ojha b Nehra,2,12,16,0,0,16.67,3,456663
Mahela Jayawardene,lbw b Kumar,4,11,13,0,0,36.36,4,456663
Thilan Samaraweera,c Jadeja b I Sharma,7,23,30,1,0,30.43,5,456663
Angelo Mathews,lbw b Jadeja,15,26,44,2,0,57.69,6,456663
Chamara Kapugedera,b Jadeja,10,28,29,0,0,35.71,7,456663
Suraj Randiv,c Raina b Ojha,43,61,89,4,0,70.49,8,456663
Nuwan Kulasekara,c †Dhoni b I Sharma,22,30,33,3,0,73.33,9,456663
Lasith Malinga,st †Dhoni b Ojha,5,12,16,1,0,41.67,10,456663
Dilhara Fernando,not out,6,11,12,0,0,54.55,11,456663
Upul Tharanga,c Mills b Tuffey,12,23,45,2,0,52.17,1,473315
Tillakaratne Dilshan,b Styris,44,52,68,8,0,84.62,2,473315
Kumar Sangakkara,c McCullum b Styris,40,59,79,4,0,67.8,3,473315
Mahela Jayawardene,not out,59,72,118,4,1,81.94,4,473315
Chamara Silva,not out,41,57,62,4,1,71.93,5,473315
Mahela Jayawardene,c Jadeja b I Sharma,33,35,-,6,0,94.29,1,456666
Tillakaratne Dilshan,c Nehra b I Sharma,35,23,-,8,0,152.17,2,456666
Upul Tharanga,not out,12,19,-,2,0,63.16,3,456666
Kumar Sangakkara,not out,13,15,-,2,0,86.67,4,456666
Mahela Jayawardene,c Karthik b I Sharma,39,67,97,5,0,58.21,1,456668
Tillakaratne Dilshan,c I Sharma b Kumar,110,115,182,12,1,95.65,2,456668
Upul Tharanga,c †Dhoni b Yuvraj Singh,6,9,16,1,0,66.67,3,456668
Kumar Sangakkara,c RG Sharma b Patel,71,62,96,7,1,114.52,4,456668
Chamara Kapugedera,c Karthik b Nehra,12,10,14,2,0,120,5,456668
Angelo Mathews,c RG Sharma b I Sharma,1,4,9,0,0,25,6,456668
Chamara Silva,not out,26,21,29,2,0,123.81,7,456668
