Name,Catches,Run Outs,Dropped Catches,Missed Runouts,Match_Id,Success Rate,,,,,,,,,,,,,,
Suranga Lakmal,1,0,0,0,434258,1,,,,,,,,,,,,,,
Thilan Samaraweera,2,0,0,0,434258,1,,,,,,,,,,,,,,
Nuwan Kulasekara,0,0,1,0,434258,0,,,,,,,,,,,,,,
Kumar Sangakkara,0,1,1,1,434258,0.333333333,,,,,,,,,,,,,,
Chanaka Welegedara,1,0,0,0,434258,1,,,,,,,,,,,,,,
Lahiru Thirimanne,1,0,0,0,434259,1,,,,,,,,,,,,,,
Upul Tharanga,0,0,1,0,434259,0,,,,,,,,,,,,,,
Kumar Sangakkara,2,0,0,0,434259,1,,,,,,,,,,,,,,
Suraj Randiv,0,0,1,0,434259,0,,,,,,,,,,,,,,
Suranga Lakmal,1,0,0,0,434259,1,,,,,,,,,,,,,,
Thilina Kandamby,1,0,0,0,434259,1,,,,,,,,,,,,,,
Thisara Perera,1,0,0,0,434259,1,,,,,,,,,,,,,,
Thilan Thushara,0,1,0,0,434261,1,,,,,,,,,,,,,,
Mahela Jayawardene,0,0,2,0,434261,0,,,,,,,,,,,,,,
Suraj Randiv,1,0,0,0,434261,1,,,,,,,,,,,,,,
Upul Tharanga,1,0,0,0,434261,1,,,,,,,,,,,,,,
Malinga Bandara,1,0,0,0,434261,1,,,,,,,,,,,,,,
Nuwan Kulasekara,0,1,0,1,434261,0.5,,,,,,,,,,,,,,
Kumar Sangakkara,1,1,1,0,434261,0.666666667,,,,,,,,,,,,,,
Tillakaratne Dilshan,0,0,1,0,434262,0,,,,,,,,,,,,,,
Upul Tharanga,0,0,1,0,434262,0,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,0,434262,1,,,,,,,,,,,,,,
Chanaka Welegedara,1,0,0,0,434262,1,,,,,,,,,,,,,,
Kumar Sangakkara,3,0,0,0,434264,1,,,,,,,,,,,,,,
Suraj Randiv,0,0,0,1,434264,0,,,,,,,,,,,,,,
Thilan Samaraweera,2,0,0,0,434264,1,,,,,,,,,,,,,,
Jeevan Mendis,1,0,0,0,452147,1,,,,,,,,,,,,,,
Dilhara Fernando,1,0,0,0,452147,1,,,,,,,,,,,,,,
Nuwan Kulasekara,1,0,0,0,452148,1,,,,,,,,,,,,,,
Dinesh Chandimal,2,1,0,0,452148,1,,,,,,,,,,,,,,
Jeevan Mendis,1,0,0,0,452148,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,452148,1,,,,,,,,,,,,,,
Thisara Perera,1,1,0,0,452148,1,,,,,,,,,,,,,,
Dilhara Fernando,0,1,0,0,452148,1,,,,,,,,,,,,,,
Thisara Perera,2,0,0,0,452150,1,,,,,,,,,,,,,,
Thilan Samaraweera,0,0,0,1,452150,0,,,,,,,,,,,,,,
Jeevan Mendis,1,0,0,0,452150,1,,,,,,,,,,,,,,
Chamara Kapugedera,2,0,0,0,452150,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,0,1,0,0,452150,1,,,,,,,,,,,,,,
Thilan Thushara,1,0,0,0,452150,1,,,,,,,,,,,,,,
Chamara Kapugedera,0,0,0,1,452151,0,,,,,,,,,,,,,,
Tillakaratne Dilshan,0,0,0,1,452151,0,,,,,,,,,,,,,,
Dinesh Chandimal,1,0,0,1,452151,0.5,,,,,,,,,,,,,,
Dinesh Chandimal,1,1,0,0,452152,1,,,,,,,,,,,,,,
Thilan Samaraweera,1,0,0,0,452152,1,,,,,,,,,,,,,,
Chamara Kapugedera,1,1,0,0,452152,1,,,,,,,,,,,,,,
Angelo Mathews,0,1,0,0,452152,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,2,1,0,0,452152,1,,,,,,,,,,,,,,
Upul Tharanga,1,0,0,0,452152,1,,,,,,,,,,,,,,
Lasith Malinga,1,0,0,1,455231,0.5,,,,,,,,,,,,,,
Farveez Maharoof,0,0,0,1,455231,0,,,,,,,,,,,,,,
Kumar Sangakkara,3,1,0,1,455231,0.8,,,,,,,,,,,,,,
Tillakaratne Dilshan,0,1,0,0,455231,1,,,,,,,,,,,,,,
Muttiah Muralitharan,0,1,0,0,455231,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,455231,1,,,,,,,,,,,,,,
Kumar Sangakkara,2,2,0,0,455233,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,455233,1,,,,,,,,,,,,,,
Nuwan Kulasekara,1,0,0,0,455233,1,,,,,,,,,,,,,,
Suraj Randiv,1,0,0,0,455236,1,,,,,,,,,,,,,,
Kumar Sangakkara,3,1,0,0,455236,1,,,,,,,,,,,,,,
Mahela Jayawardene,0,1,0,0,455236,1,,,,,,,,,,,,,,
Chamara Kapugedera,0,1,0,0,455236,1,,,,,,,,,,,,,,
Upul Tharanga,0,1,0,0,455237,1,,,,,,,,,,,,,,
Nuwan Kulasekara,1,1,0,0,455237,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,455237,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,1,455237,0.5,,,,,,,,,,,,,,
Thilina Kandamby,0,0,1,0,455237,0,,,,,,,,,,,,,,
Farveez Maharoof,1,0,1,0,455237,0.5,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,0,456664,1,,,,,,,,,,,,,,
Chamara Kapugedera,2,0,0,0,456664,1,,,,,,,,,,,,,,
Thilan Samaraweera,1,0,0,0,456664,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,456664,1,,,,,,,,,,,,,,
Rangana Herath,1,0,0,0,456664,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,456664,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,456664,1,,,,,,,,,,,,,,
Nuwan Kulasekara,1,0,0,0,456663,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,0,456663,1,,,,,,,,,,,,,,
Upul Tharanga,1,0,0,0,456663,1,,,,,,,,,,,,,,
Kumar Sangakkara,4,0,0,0,456666,1,,,,,,,,,,,,,,
Chamara Silva,1,0,0,0,456666,1,,,,,,,,,,,,,,
Upul Tharanga,1,0,0,0,456666,1,,,,,,,,,,,,,,
Chamara Kapugedera,0,1,0,0,456668,1,,,,,,,,,,,,,,
Kumar Sangakkara,2,1,0,1,456668,0.75,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,456668,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,456668,1,,,,,,,,,,,,,,
Thisara Perera,1,0,0,0,456668,1,,,,,,,,,,,,,,
Chamara Silva,1,0,0,0,446957,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,446957,1,,,,,,,,,,,,,,
Mahela Jayawardene,0,0,2,0,446957,0,,,,,,,,,,,,,,
Kumar Sangakkara,3,0,1,1,446957,0.6,,,,,,,,,,,,,,
Chamara Silva,1,0,0,0,446958,1,,,,,,,,,,,,,,
Muttiah Muralitharan,1,0,0,0,446958,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,1,0,446958,0.5,,,,,,,,,,,,,,
Kumar Sangakkara,0,1,0,0,446958,1,,,,,,,,,,,,,,
Mahela Jayawardene,0,1,0,0,446958,1,,,,,,,,,,,,,,
Suraj Randiv,0,1,0,0,446958,1,,,,,,,,,,,,,,
Thisara Perera,1,0,0,0,446958,1,,,,,,,,,,,,,,
Jeevan Mendis,0,0,1,0,446959,0,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,446959,1,,,,,,,,,,,,,,
Dilhara Fernando,1,0,0,0,446959,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,1,464990,0.5,,,,,,,,,,,,,,
Mahela Jayawardene,0,0,1,0,464990,0,,,,,,,,,,,,,,
Chamara Kapugedera,2,1,0,0,464990,1,,,,,,,,,,,,,,
Muttiah Muralitharan,0,1,0,0,464990,1,,,,,,,,,,,,,,
Thilan Samaraweera,1,0,0,0,464991,1,,,,,,,,,,,,,,
Rangana Herath,0,1,0,0,464991,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,1,0,1,464991,0.666666667,,,,,,,,,,,,,,
Kumar Sangakkara,0,1,0,0,464991,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,0,464992,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,464992,1,,,,,,,,,,,,,,
Thisara Perera,1,0,0,0,464992,1,,,,,,,,,,,,,,
Ajantha Mendis,1,0,0,0,464992,1,,,,,,,,,,,,,,
Thilan Samaraweera,2,0,0,0,464992,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,464992,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,433560,1,,,,,,,,,,,,,,
Chamara Kapugedera,0,0,1,0,433560,0,,,,,,,,,,,,,,
Muttiah Muralitharan,0,0,1,0,433560,0,,,,,,,,,,,,,,
Kumar Sangakkara,3,1,0,0,433560,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,433560,1,,,,,,,,,,,,,,
Upul Tharanga,1,0,0,0,433560,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,2,0,0,433567,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,1,0,0,433567,1,,,,,,,,,,,,,,
Rangana Herath,0,1,0,0,433567,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,2,0,0,0,433567,1,,,,,,,,,,,,,,
Chamara Kapugedera,1,0,0,0,433567,1,,,,,,,,,,,,,,
Kumar Sangakkara,0,0,0,1,433571,0,,,,,,,,,,,,,,
Thilan Samaraweera,1,0,0,0,433571,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,433571,1,,,,,,,,,,,,,,
Chamara Silva,0,1,0,0,433571,1,,,,,,,,,,,,,,
Mahela Jayawardene,2,0,0,0,433583,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,1,0,0,433583,1,,,,,,,,,,,,,,
Thisara Perera,1,0,0,0,433583,1,,,,,,,,,,,,,,
Thilan Samaraweera,1,0,0,0,433583,1,,,,,,,,,,,,,,
Upul Tharanga,0,0,1,0,433594,0,,,,,,,,,,,,,,
Mahela Jayawardene,2,0,0,0,433594,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,1,0,0,433594,1,,,,,,,,,,,,,,
Muttiah Muralitharan,1,0,0,0,433594,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,433594,1,,,,,,,,,,,,,,
Thilan Samaraweera,1,0,1,0,433603,0.5,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,433603,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,433603,1,,,,,,,,,,,,,,
Kumar Sangakkara,3,0,0,0,433604,1,,,,,,,,,,,,,,
Upul Tharanga,1,0,0,0,433604,1,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,433604,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,0,433606,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,433606,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,0,0,474467,1,,,,,,,,,,,,,,
Suranga Lakmal,1,0,0,0,474467,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,474467,1,,,,,,,,,,,,,,
Thilina Kandamby,2,0,0,0,474467,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,474468,1,,,,,,,,,,,,,,
Nuwan Kulasekara,2,0,0,0,474468,1,,,,,,,,,,,,,,
Lasith Malinga,1,0,0,0,474468,1,,,,,,,,,,,,,,
Kumar Sangakkara,0,2,0,0,474468,1,,,,,,,,,,,,,,
Suranga Lakmal,1,0,0,0,474468,1,,,,,,,,,,,,,,
Dinesh Chandimal,1,0,0,0,474468,1,,,,,,,,,,,,,,
Thilina Kandamby,0,0,1,0,474469,0,,,,,,,,,,,,,,
Mahela Jayawardene,0,0,1,0,474469,0,,,,,,,,,,,,,,
Kumar Sangakkara,0,1,0,0,474469,1,,,,,,,,,,,,,,
Suranga Lakmal,1,0,0,0,474469,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,1,0,0,0,474469,1,,,,,,,,,,,,,,
Suraj Randiv,1,0,0,0,474469,1,,,,,,,,,,,,,,
Nuwan Kulasekara,1,0,0,0,474469,1,,,,,,,,,,,,,,
Kumar Sangakkara,2,2,1,0,474471,0.8,,,,,,,,,,,,,,
Nuwan Kulasekara,1,1,0,0,474471,1,,,,,,,,,,,,,,
Angelo Mathews,1,0,0,0,474471,1,,,,,,,,,,,,,,
Tillakaratne Dilshan,0,1,1,0,474471,0.5,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,506208,1,,,,,,,,,,,,,,
Dinesh Chandimal,2,0,0,0,506208,1,,,,,,,,,,,,,,
Jeevan Mendis,1,0,0,0,506208,1,,,,,,,,,,,,,,
Suranga Lakmal,0,0,1,0,516206,0,,,,,,,,,,,,,,
Mahela Jayawardene,1,0,0,0,516206,1,,,,,,,,,,,,,,
Kumar Sangakkara,1,0,1,0,516207,0.5,,,,,,,,,,,,,,
Mahela Jayawardene,2,0,0,0,516208,1,,,,,,,,,,,,,,
Shaminda Eranga,1,0,1,0,516208,0.5,,,,,,,,,,,,,,
Tillakaratne Dilshan,0,0,1,0,516208,0,,,,,,,,,,,,,,
Suraj Randiv,1,0,0,0,516208,1,,,,,,,,,,,,,,
Nuwan Kulasekara,0,1,0,0,516208,1,,,,,,,,,,,,,,
Dinesh Chandimal,1,0,0,0,516208,1,,,,,,,,,,,,,,
Mahela Jayawardene,0,0,1,0,516209,0,,,,,,,,,,,,,,
Chamara Silva,0,0,1,0,516209,0,,,,,,,,,,,,,,
Ajantha Mendis,1,0,0,0,516209,1,,,,,,,,,,,,,,
Kumar Sangakkara,2,0,0,0,516209,1,,,,,,,,,,,,,,
Seekkuge Prasanna,1,0,0,0,516209,1,,,,,,,,,,,,,,
