Date,Match_Id,URL_Text,Batting_Session,Venue,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,URL
4-Jan-10,434258,ODI # 2937,18.45-22.15,"Shere Bangla National Stadium, Mirpur, Dhaka",20,20,11 km/h from W,23 km/h,0.0 mm,50%,6%,1009 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
5-Jan-10,434259,ODI # 2938,18.45-22.15,"Shere Bangla National Stadium, Mirpur, Dhaka",22,25,11 km/h from NW,21 km/h,0.0 mm,51%,0%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
8-Jan-10,434261,ODI # 2940,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",24,25,5 km/h from W,11 km/h,0.0 mm,50%,0%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
10-Jan-10,434262,ODI # 2941,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",30,29,5 km/h from NW,5 km/h,0.0 mm,35%,0%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
13-Jan-10,434264,ODI # 2943,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",20,20,9 km/h from WNW,20 km/h,0.0 mm,42%,52%,1015 mb,Excellent,https://www.worldweatheronline.com/cricket/shere-bangla-national-stadium-mirpur-dhaka-weather-history/bd.aspx
30-May-10,452147,ODI # 2983,09.00-12.30,"Queens Sports Club, Bulawayo",14,12,21 km/h from ESE,31 km/h,1.2 mm,90%,63%,1025 mb,Excellent,https://www.worldweatheronline.com/cricket/queens-sports-club-bulawayo-weather-history/zw.aspx
1-Jun-10,452148,ODI # 2985,13.15-16.45,"Queens Sports Club, Bulawayo",14,13,15 km/h from SE,17 km/h,0.0 mm,75%,74%,1024 mb,Excellent,https://www.worldweatheronline.com/cricket/queens-sports-club-bulawayo-weather-history/zw.aspx
5-Jun-10,452150,ODI # 2988,13.15-16.45,Harare Sports Club,22,22,8 km/h from SW,9 km/h,0.0 mm,38%,3%,1021 mb,Excellent,https://www.worldweatheronline.com/cricket/harare-sports-club-weather-history/zw.aspx
7-Jun-10,452151,ODI # 2989,09.00-12.30,Harare Sports Club,18,18,12 km/h from ENE,13 km/h,0.0 mm,45%,5%,1023 mb,Excellent,https://www.worldweatheronline.com/cricket/harare-sports-club-weather-history/zw.aspx
9-Jun-10,452152,ODI # 2990,13.15-16.45,Harare Sports Club,24,25,4 km/h from WNW,5 km/h,0.0 mm,39%,4%,1018 mb,Excellent,https://www.worldweatheronline.com/cricket/harare-sports-club-weather-history/zw.aspx
15-Jun-10,455231,ODI # 2991,14.30-18.00,Rangiri Dambulla International Stadium,27,32,3 km/h from SSW,6 km/h,5.1 mm,88%,48%,1010 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
18-Jun-10,455233,ODI # 2995,14.30-18.00,Rangiri Dambulla International Stadium,27,31,2 km/h from NW,4 km/h,6.5 mm,91%,56%,1009 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
22-Jun-10,455236,ODI # 2999,18.45-22.15,Rangiri Dambulla International Stadium,25,28,4 km/h from WSW,8 km/h,5.7 mm,99%,54%,1010 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
