Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Nuwan Kulasekara;10;1;46;1;4.60;28;2;0;1;0;434258
Chanaka Welegedara;8;0;39;0;4.88;27;5;0;1;0;434258
Tillakaratne Dilshan;3;0;16;1;5.33;11;1;0;1;0;434258
Suranga Lakmal;9;1;63;2;7.00;32;8;2;5;0;434258
Suraj Randiv;10;0;51;2;5.10;28;3;1;2;0;434258
Thilina Kandamby;5;0;21;0;4.20;15;1;0;0;0;434258
Muthumudalige Pushpakumara;5;0;21;0;4.20;12;0;0;1;0;434258
Chanaka Welegedara;10;1;66;5;6.60;33;7;0;4;4;434259
Suranga Lakmal;8;1;48;0;6.00;23;7;0;1;0;434259
Thilan Thushara;10;0;62;2;6.20;29;7;1;1;0;434259
Suraj Randiv;10;0;36;0;3.60;35;2;0;0;0;434259
Thilina Kandamby;4;1;22;0;5.50;14;0;2;1;0;434259
Thilan Samaraweera;2;0;12;0;6.00;4;1;0;0;0;434259
Thisara Perera;6;0;27;2;4.50;21;3;0;1;0;434259
Nuwan Kulasekara;10;1;48;2;4.80;39;7;0;2;0;434261
Thilan Thushara;9;0;67;1;7.44;26;5;2;5;0;434261
Suraj Randiv;10;1;40;2;4.00;33;4;0;0;0;434261
Thisara Perera;10;0;32;2;3.20;34;0;0;1;0;434261
Malinga Bandara;10;0;44;0;4.40;27;1;0;1;0;434261
Thilan Samaraweera;1;0;17;0;17.00;0;0;2;0;0;434261
Chanaka Welegedara;5.4;0;51;0;9.00;17;8;0;0;2;434262
Suranga Lakmal;10;0;75;0;7.50;29;12;0;1;3;434262
Thilan Thushara;6;0;33;1;5.50;18;4;0;1;0;434262
Suraj Randiv;6;0;19;0;3.17;23;0;0;0;0;434262
Thisara Perera;5;1;32;1;6.40;15;4;0;0;0;434262
Nuwan Kulasekara;10;0;48;4;4.80;39;6;1;1;0;434264
Chanaka Welegedara;10;1;53;3;5.30;31;6;0;0;0;434264
Thilan Thushara;6;1;26;0;4.33;22;2;0;2;0;434264
Suraj Randiv;9;0;47;1;5.22;29;4;1;1;0;434264
Thisara Perera;8.2;0;49;1;5.88;20;4;0;1;0;434264
Tillakaratne Dilshan;5;0;18;1;3.60;14;0;0;1;0;434264
Nuwan Kulasekara;9;1;34;1;3.78;33;3;0;1;0;452147
Dilhara Fernando;8.3;0;58;0;6.82;20;3;1;2;0;452147
Ajantha Mendis;10;0;64;1;6.40;20;6;0;0;0;452147
Suraj Randiv;9;0;51;1;5.67;20;3;1;0;0;452147
Thisara Perera;7;0;35;0;5.00;17;2;0;0;0;452147
Nuwan Kulasekara;4;0;12;0;3.00;15;0;0;0;0;452148
Dilhara Fernando;4.5;0;26;2;5.38;14;3;0;1;0;452148
Ajantha Mendis;6;0;21;2;3.50;22;0;0;1;1;452148
Thisara Perera;1;0;16;0;16.00;1;1;1;1;0;452148
Suraj Randiv;5;0;23;3;4.60;13;0;1;0;0;452148
Jeevan Mendis;4;0;12;2;3.00;14;0;0;1;0;452148
Nuwan Kulasekara;9;1;47;1;5.22;32;6;1;0;0;452150
Thilan Thushara;9;1;57;3;6.33;28;7;0;4;1;452150
Thisara Perera;4;0;33;1;8.25;11;6;0;1;0;452150
Ajantha Mendis;10;0;54;0;5.40;28;3;2;0;0;452150
Jeevan Mendis;6;0;29;0;4.83;13;1;0;1;0;452150
Suraj Randiv;10;1;38;2;3.80;26;1;0;0;0;452150
Tillakaratne Dilshan;2;0;5;1;2.50;7;0;0;0;0;452150
Thilan Thushara;9.5;1;50;1;5.08;35;2;1;6;0;452151
Dilhara Fernando;9;0;37;0;4.11;31;2;1;0;1;452151
Thisara Perera;2;0;24;0;12.00;4;5;0;0;0;452151
Suraj Randiv;9;0;38;0;4.22;31;2;1;0;0;452151
Jeevan Mendis;8;0;42;0;5.25;15;1;0;1;0;452151
Tillakaratne Dilshan;8;0;35;1;4.38;18;1;0;0;0;452151
Chamara Kapugedera;2;0;8;0;4.00;5;0;0;0;0;452151
Nuwan Kulasekara;7;2;17;1;2.43;33;2;0;2;0;452152
Dilhara Fernando;9;0;36;3;4.00;35;3;0;4;0;452152
Ajantha Mendis;10;1;44;2;4.40;29;2;0;0;0;452152
Angelo Mathews;4;0;14;0;3.50;14;1;0;0;0;452152
Suraj Randiv;8;0;36;0;4.50;25;2;0;0;0;452152
Jeevan Mendis;9;0;36;2;4.00;26;1;0;1;0;452152
Tillakaratne Dilshan;2;0;14;0;7.00;3;1;0;1;0;452152
Nuwan Kulasekara;9;1;25;0;2.78;40;1;0;2;0;455231
Lasith Malinga;10;0;34;5;3.40;40;2;0;3;0;455231
Angelo Mathews;10;1;38;2;3.80;35;3;0;3;0;455231
Farveez Maharoof;8;0;53;0;6.63;23;3;2;1;0;455231
Muttiah Muralitharan;10;0;71;1;7.10;30;3;5;1;0;455231
Nuwan Kulasekara;6;0;39;1;6.50;21;7;0;2;0;455233
Lasith Malinga;8.2;0;35;2;4.20;31;3;0;3;0;455233
Tillakaratne Dilshan;10;0;37;3;3.70;36;1;0;3;0;455233
Muttiah Muralitharan;8;0;38;2;4.75;26;2;1;0;0;455233
Chanaka Welegedara;8;2;31;2;3.88;34;4;0;2;1;455233
Chanaka Welegedara;7.3;0;42;0;5.60;26;6;0;0;0;455236
Farveez Maharoof;10;1;42;5;4.20;36;5;0;1;0;455236
Angelo Mathews;6;0;37;1;6.17;18;5;0;0;0;455236
Rangana Herath;7;0;31;2;4.43;21;2;0;0;0;455236
Suraj Randiv;9;1;40;0;4.44;34;4;1;2;0;455236
Thilina Kandamby;3;0;14;0;4.67;9;1;0;0;0;455236
Nuwan Kulasekara;9;0;44;1;4.89;27;3;0;2;0;455237
Lasith Malinga;10;0;57;2;5.70;30;5;0;6;1;455237
Farveez Maharoof;6;0;41;0;6.83;18;5;1;0;0;455237
Angelo Mathews;3;1;16;0;5.33;11;3;0;0;0;455237
Muttiah Muralitharan;10;0;34;0;3.40;35;3;0;0;0;455237
Thilina Kandamby;7;0;37;2;5.29;14;2;0;0;0;455237
Tillakaratne Dilshan;5;0;30;0;6.00;13;3;0;1;0;455237
Lasith Malinga;10;1;35;3;3.50;40;1;0;4;3;456664
Nuwan Kulasekara;8.1;1;35;1;4.29;31;5;0;1;0;456664
Angelo Mathews;10;1;36;3;3.60;43;4;0;1;0;456664
Ajantha Mendis;10;0;42;1;4.20;33;1;1;1;0;456664
Rangana Herath;10;0;35;2;3.50;32;1;0;0;0;456664
Lasith Malinga;7;0;34;0;4.86;24;4;0;0;2;456663
Nuwan Kulasekara;5;0;23;0;4.60;18;2;0;1;0;456663
Angelo Mathews;7;1;32;2;4.57;29;4;1;0;1;456663
Dilhara Fernando;8;0;33;2;4.13;28;3;0;0;2;456663
Suraj Randiv;7.3;0;38;0;5.07;21;2;1;0;1;456663
Lasith Malinga;9;1;21;2;2.33;43;2;0;2;0;456666
Nuwan Kulasekara;9;2;31;2;3.44;39;4;0;1;0;456666
Angelo Mathews;8;3;20;1;2.50;38;3;0;1;0;456666
Thisara Perera;7.4;1;28;5;3.65;35;3;1;1;0;456666
Lasith Malinga;9;0;49;2;5.44;28;5;0;1;2;456668
Nuwan Kulasekara;9;0;47;0;5.22;37;7;1;2;0;456668
Angelo Mathews;10;0;48;1;4.80;33;5;0;2;2;456668
Thisara Perera;9;2;36;3;4.00;34;3;1;2;0;456668
Suraj Randiv;9.5;1;40;3;4.07;38;2;2;1;0;456668
Lasith Malinga;10;0;39;1;3.90;35;1;0;3;0;446957
