Name;Catches;Run Outs;Match_Id
Lakmal;1;0;434258
Samaraweera;2;0;434258
†Sangakkara;0;1;434258
Welegedara;1;0;434258
Thirimanne;1;0;434259
†Sangakkara;2;0;434259
Lakmal;1;0;434259
Kandamby;1;0;434259
Perera;1;0;434259
Thushara;0;1;434261
Randiv;1;0;434261
Tharanga;1;0;434261
Bandara;1;0;434261
Kulasekara;0;1;434261
†Sangakkara;1;1;434261
†Sangakkara;1;0;434262
Welegedara;1;0;434262
†Sangakkara;3;0;434264
Samaraweera;2;0;434264
sub (BMAJ Mendis);1;0;452147
Fernando;1;0;452147
Kulasekara;1;0;452148
†Chandimal;2;1;452148
BMAJ Mendis;1;0;452148
Dilshan;1;0;452148
Perera;1;1;452148
Fernando;0;1;452148
Perera;2;0;452150
BMAJ Mendis;1;0;452150
Kapugedera;2;0;452150
Dilshan;0;1;452150
Thushara;1;0;452150
†Chandimal;1;0;452151
†Chandimal;1;1;452152
Samaraweera;1;0;452152
Kapugedera;1;1;452152
Mathews;0;1;452152
Dilshan;2;1;452152
Tharanga;1;0;452152
Malinga;1;0;455231
†Sangakkara;3;1;455231
Dilshan;0;1;455231
Muralitharan;0;1;455231
Mathews;1;0;455231
†Sangakkara;2;2;455233
Jayawardene;1;0;455233
Kulasekara;1;0;455233
Randiv;1;0;455236
†Sangakkara;3;1;455236
Jayawardene;0;1;455236
Kapugedera;0;1;455236
Tharanga;0;1;455237
Kulasekara;1;1;455237
Jayawardene;1;0;455237
†Sangakkara;1;0;455237
Maharoof;1;0;455237
†Sangakkara;1;0;456664
Kapugedera;2;0;456664
Samaraweera;1;0;456664
Jayawardene;1;0;456664
Herath;1;0;456664
Mathews;1;0;456664
Dilshan;1;0;456664
Kulasekara;1;0;456663
†Sangakkara;1;0;456663
Tharanga;1;0;456663
†Sangakkara;4;0;456666
Silva;1;0;456666
Tharanga;1;0;456666
Kapugedera;0;1;456668
†Sangakkara;2;1;456668
Mathews;1;0;456668
Dilshan;1;0;456668
Perera;1;0;456668
Silva;1;0;446957
Dilshan;1;0;446957
†Sangakkara;3;0;446957
Silva;1;0;446958
Muralitharan;1;0;446958
Mathews;1;0;446958
†Sangakkara;0;1;446958
Jayawardene;0;1;446958
Randiv;0;1;446958
Perera;1;0;446958
Mathews;1;0;446959
Fernando;1;0;446959
†Sangakkara;1;0;464990
Kapugedera;2;1;464990
Muralitharan;0;1;464990
Samaraweera;1;0;464991
Herath;0;1;464991
Jayawardene;1;1;464991
†Sangakkara;0;1;464991
†Sangakkara;1;0;464992
Jayawardene;1;0;464992
Perera;1;0;464992
Mendis;1;0;464992
Samaraweera;2;0;464992
Mathews;1;0;464992
Dilshan;1;0;433560
†Sangakkara;3;1;433560
Jayawardene;1;0;433560
Tharanga;1;0;433560
†Sangakkara;1;2;433567
Jayawardene;1;1;433567
Herath;0;1;433567
Dilshan;2;0;433567
sub (CK Kapugedera);1;0;433567
Samaraweera;1;0;433571
Dilshan;1;0;433571
Silva;0;1;433571
Jayawardene;2;0;433583
†Sangakkara;1;1;433583
Perera;1;0;433583
Samaraweera;1;0;433583
Jayawardene;2;0;433594
†Sangakkara;1;1;433594
Muralitharan;1;0;433594
Dilshan;1;0;433594
Samaraweera;1;0;433603
Jayawardene;1;0;433603
Mathews;1;0;433603
†Sangakkara;3;0;433604
Tharanga;1;0;433604
Jayawardene;1;0;433604
†Sangakkara;1;0;433606
Dilshan;1;0;433606
†Sangakkara;1;0;474467
Lakmal;1;0;474467
Dilshan;1;0;474467
Kandamby;2;0;474467
Mathews;1;0;474468
Kulasekara;2;0;474468
Malinga;1;0;474468
†Sangakkara;0;2;474468
Lakmal;1;0;474468
Chandimal;1;0;474468
†Sangakkara;0;1;474469
Lakmal;1;0;474469
Dilshan;1;0;474469
Randiv;1;0;474469
Kulasekara;1;0;474469
†Sangakkara;2;2;474471
Kulasekara;1;1;474471
Mathews;1;0;474471
Dilshan;0;1;474471
Jayawardene;1;0;506208
†Chandimal;2;0;506208
BMAJ Mendis;1;0;506208
Jayawardene;1;0;516206
†Sangakkara;1;0;516207
Jayawardene;2;0;516208
Eranga;1;0;516208
sub (S Randiv);1;0;516208
Kulasekara;0;1;516208
Chandimal;1;0;516208
Mendis;1;0;516209
†Sangakkara;2;0;516209
Prasanna;1;0;516209
Tharanga;1;0;516210
sub (S Randiv);1;0;516210
†Sangakkara;2;0;516210
Jayawardene;1;0;516210
Kulasekara;1;0;530427
†Sangakkara;2;1;530428
Chandimal;1;0;530428
Perera;0;1;530428
Mendis;0;1;530428
Dilshan;0;1;530428
Jayawardene;1;0;530429
Perera;1;0;530429
Prasanna;0;1;530429
Malinga;0;1;530429
Mathews;1;0;530429
Chandimal;1;0;530430
†Sangakkara;2;0;530430
Mendis;1;1;530430
Fernando;0;1;530430
†Sangakkara;2;0;530431
Perera;1;0;530431
Chandimal;1;0;530431
†Sangakkara;2;0;514035
Jayawardene;0;1;514035
Mathews;1;0;514035
Mendis;1;0;514035
Tharanga;1;0;514036
Chandimal;1;0;514036
KMDN Kulasekara;0;1;514036
Malinga;1;0;514036
Mathews;0;1;514037
†Sangakkara;0;1;514037
KMDN Kulasekara;0;1;514037
Tharanga;1;1;514038
Dilshan;1;0;514038
†Sangakkara;2;0;514038
Chandimal;1;0;514039
Mathews;2;0;514039
Dilshan;0;1;514039
Perera;0;1;514039
Kulasekara;1;0;518957
Malinga;1;1;518957
Dilshan;1;0;518957
sub (SMSM Senanayake);1;0;518957
†Sangakkara;1;1;518958
Jayawardene;1;0;518958
Kulasekara;2;0;518958
Thirimanne;2;0;518958
Tharanga;1;0;518958
Kulasekara;0;1;518960
†Sangakkara;2;0;518960
Jayawardene;1;1;518960
Senanayake;1;0;518960
Mathews;0;2;518960
Maharoof;2;0;518961
Perera;0;2;518961
Kulasekara;0;2;518961
Mathews;1;0;518961
†Sangakkara;1;0;518961
Thirimanne;1;0;518961
Kulasekara;2;0;518963
Perera;2;0;518963
Thirimanne;1;0;518963
Malinga;1;0;518963
†Sangakkara;1;0;518963
sub (SMSM Senanayake);1;0;518963
Jayawardene;1;0;518964
†Sangakkara;1;1;518964
Maharoof;1;0;518964
Perera;1;0;518964
Dilshan;1;0;518966
Chandimal;0;1;518966
Mathews;0;1;518966
Perera;1;0;518967
†Sangakkara;2;1;518967
Dilshan;3;1;518967
Senanayake;1;0;518967
Herath;2;0;518968
Thirimanne;1;0;518968
†Sangakkara;1;0;518968
Jayawardene;1;0;518968
Dilshan;1;0;518969
Maharoof;0;1;518969
Herath;0;1;518969
†Sangakkara;2;0;518970
Herath;1;0;518970
Dilshan;0;1;518970
Jayawardene;1;0;518970
Maharoof;1;0;518970
sub (SMSM Senanayake);1;0;518970
Tharanga;1;0;535795
Jayawardene;1;0;535795
Thirimanne;1;0;535795
Chandimal;1;0;535796
Tharanga;2;0;535796
Maharoof;1;0;535796
Thirimanne;1;0;535799
Kapugedera;1;0;535799
†Sangakkara;1;2;562439
Mathews;0;1;562439
Perera;1;0;562440
†Sangakkara;4;0;562440
Tharanga;1;0;562440
†Sangakkara;1;0;562441
Kulasekara;2;0;562442
†Sangakkara;3;0;562442
Chandimal;1;0;562442
Jayawardene;1;0;562442
Perera;0;1;562442
Thirimanne;1;0;562442
Chandimal;1;0;562443
Thirimanne;1;1;562443
Perera;1;0;562443
Jayawardene;1;0;562443
Tharanga;1;0;562443
Perera;0;1;564781
sub (SMSM Senanayake);2;0;564781
Thirimanne;1;0;564781
†Sangakkara;4;1;564782
Perera;2;0;564782
Udana;0;1;564782
Udana;0;1;564783
sub (SMSM Senanayake);1;0;564783
Herath;1;0;564783
sub (SMSM Senanayake);1;0;564784
Malinga;1;0;564785
Perera;1;0;564785
Thirimanne;1;0;564785
†Chandimal;1;0;564785
†Sangakkara;1;0;582188
Jayawardene;1;0;582188
Mathews;1;0;582188
Perera;1;0;582188
Jayawardene;1;0;582189
Mendis;0;1;582189
Mathews;1;0;582189
Tharanga;1;0;582190
Kulasekara;0;1;582190
Mendis;0;1;582190
Chandimal;1;0;582190
†Sangakkara;1;0;582190
†Chandimal;2;1;573014
BMAJ Mendis;1;1;573014
BAW Mendis;1;0;573014
BMAJ Mendis;1;0;573015
Thirimanne;2;0;573015
Dilshan;0;1;573015
†MDKJ Perera;4;0;573015
Eranga;1;0;573016
Jayawardene;1;0;573016
†MDKJ Perera;2;0;573016
Dilshan;1;0;573016
Mendis;1;0;573016
†Chandimal;1;0;573017
Thirimanne;1;0;573017
NLTC Perera;1;0;573017
Kulasekara;1;0;573017
NLTC Perera;1;1;573018
Thirimanne;1;0;573018
Chandimal;0;1;602474
†Sangakkara;1;1;602474
MDKJ Perera;1;0;602474
Dilshan;1;0;602474
Chandimal;1;0;602476
†Sangakkara;2;0;602476
NLTC Perera;1;1;602476
Jayawardene;1;0;578617
†Sangakkara;1;0;578617
NLTC Perera;0;1;578617
Perera;1;0;578621
Jayawardene;1;0;578621
†Sangakkara;1;0;578621
†Sangakkara;2;0;578625
Kulasekara;1;1;578625
Eranga;1;0;578625
Dilshan;2;0;578625
†Sangakkara;0;1;566947
Chandimal;1;0;597923
Jayawardene;1;0;597923
Malinga;0;1;597923
Kulasekara;0;1;597923
Mathews;1;1;597925
Tharanga;1;0;597925
Malinga;2;1;597925
†Sangakkara;1;1;597925
Jayawardene;0;1;597925
Eranga;2;0;597927
Jayawardene;1;0;597927
Mendis;1;0;597927
Thirimanne;1;0;597927
†Sangakkara;1;0;597927
Malinga;1;0;597927
Jayawardene;1;0;597928
†Sangakkara;3;0;597929
Jayawardene;1;0;597929
sub (SMSM Senanayake);1;0;597929
†Sangakkara;2;1;635653
Chandimal;1;0;635653
Tharanga;1;0;635653
Perera;1;0;635653
Thirimanne;1;0;635653
†Sangakkara;2;0;635654
†Sangakkara;3;1;635655
Chandimal;0;1;635655
†Sangakkara;2;1;635656
Thirimanne;1;0;635656
Dilshan;1;0;635656
†Sangakkara;2;0;635657
Mathews;3;0;635657
Senanayake;1;0;668963
†Sangakkara;2;1;668963
Thirimanne;1;0;668963
Dilshan;1;0;668963
Herath;1;0;668965
†Sangakkara;0;1;668965
Senanayake;1;0;668965
Senanayake;1;0;657637
Chandimal;1;0;657637
NLTC Perera;0;1;657637
†Sangakkara;0;1;657637
Karunaratne;0;1;657639
†Sangakkara;0;1;657639
Chandimal;1;0;657639
Malinga;0;1;657641
Senanayake;1;0;657641
Karunaratne;1;0;657641
Senanayake;1;0;657643
Malinga;1;0;657645
Priyanjan;1;0;657645
Dilshan;2;0;657645
†Sangakkara;1;0;657645
Mendis;0;1;657645
Senanayake;0;1;657645
Mathews;2;1;690355
Malinga;0;2;690355
†Sangakkara;2;2;690355
Dilshan;1;0;690355
Priyanjan;1;0;690355
Vithanage;1;0;690355
Senanayake;0;1;690355
Senanayake;3;0;690357
†Sangakkara;2;0;690357
Vithanage;1;0;690357
MDKJ Perera;0;1;690357
Priyanjan;0;1;690357
NLTC Perera;1;0;690357
sub (AK Perera);1;0;690357
†Chandimal;1;0;690359
AK Perera;1;0;690359
Vithanage;0;1;690359
Senanayake;1;0;690359
Prasad;1;0;690359
Priyanjan;1;0;690359
Thirimanne;1;0;690359
Mathews;1;0;710291
de Silva;2;0;710291
Senanayake;1;0;710291
†Sangakkara;1;0;710291
Chandimal;1;0;710291
Thirimanne;1;0;710297
MDKJ Perera;1;0;710297
de Silva;1;0;710297
†Sangakkara;0;1;710297
de Silva;1;0;710303
†Sangakkara;1;0;710303
Thirimanne;1;0;710303
Mathews;1;0;710303
NLTC Perera;1;0;710303
Thirimanne;1;0;710309
Mathews;1;0;710309
Jayawardene;1;0;710309
NLTC Perera;1;0;710311
†Sangakkara;2;0;710311
MDKJ Perera;1;0;710311
Priyanjan;1;0;710311
Perera;1;0;706767
†Chandimal;1;1;706767
Senanayake;1;1;706767
†Sangakkara;1;0;667889
Malinga;1;0;667889
Chandimal;1;0;667889
†Sangakkara;2;0;667891
Chandimal;1;0;667891
Senanayake;1;0;667891
Kulasekara;1;0;667891
Jayawardene;1;0;667895
†Sangakkara;1;1;667895
Mendis;1;0;667895
Thirimanne;1;0;667895
Malinga;0;1;667895
Dilshan;1;0;667895
†Sangakkara;2;0;667897
Mendis;1;1;667897
Malinga;1;0;667897
Jayawardene;1;0;667897
Senanayake;0;1;667897
Perera;0;1;667897
Kulasekara;1;0;730083
Dilshan;1;0;730083
Senanayake;2;0;730085
†Sangakkara;3;0;730085
sub (NLTC Perera);1;0;730085
Kulasekara;1;0;730085
Senanayake;1;0;730087
Mendis;2;0;730087
Priyanjan;1;0;730087
Kulasekara;1;0;745159
Malinga;1;0;745159
†Sangakkara;1;0;745159
Priyanjan;1;0;745159
†Sangakkara;2;0;745161
Herath;2;0;745161
Kulasekara;2;0;745161
Mathews;1;0;745161
Perera;2;0;745163
Jayawardene;2;0;745163
Dilshan;0;1;745163
Malinga;1;0;745163
†Sangakkara;2;0;745163
Jayawardene;1;0;792289
Perera;2;0;792289
Jayawardene;1;0;792291
Priyanjan;1;0;792291
Randiv;1;0;792291
Jayawardene;1;0;792293
†Sangakkara;1;1;792293
Mathews;0;1;792293
Gamage;1;0;792293
Jayawardene;2;0;792295
Prasanna;0;1;792295
†Chandimal;0;1;792295
†Chandimal;0;2;792297
Eranga;0;1;792297
Mathews;1;0;792297
BMAJ Mendis;1;0;750663
Jayawardene;1;0;750663
