,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,fielding_consistency,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,success_rate,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,economy,total_score,total_wickets,total_balls,target,extras,match_number,bowling_contribution,batting_contribution,winning_probability,player_name
0,62.9666,32.0163,34,18,0,51,0,1008,3,1,0,1,44.023,28.0572,17,0.740741,46.72676124813931,51.59284693930233,4.365422098597742,0.8585989557861684,3.11767502947743,90.56829390150179,0.6719282703186584,0.0,0.0,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.0,0.18563566703145987,0.9769333650057852,Upul Tharanga
1,53.017,53.017,34,18,0,51,0,1008,3,1,0,1,17.3176,32.3246,17,0.875,43.388225909310684,51.96844868093066,3.8348323809430416,0.501142333623252,3.381280750972408,83.48955377848635,0.6693058734760835,0.0,0.0,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.0,0.17237236313499663,0.9696235477675248,Lahiru Thirimanne
2,55.6003,39.3634,34,18,0,51,0,1008,3,1,0,1,30.0559,24.3489,17,0.892473,30.611591278825564,34.698883016621835,3.1026710831548003,0.5924096017419049,3.7967619793122065,88.22068210138542,0.6659827120185422,441.988,24.4172,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,1.0,16.8818,80.4983,30.316240308387208,34.96259327082147,0.7539424100309007,5.20263014935246,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.1204400934541037,0.12161346119758061,0.24866362489737465,Thisara Perera
5,24.3925,24.3925,34,18,0,51,0,1008,3,1,0,1,17.5786,11.8216,17,0.888889,9.75282056423377,13.581606994988267,0.6756660084037177,0.26194815889912637,8.56562823239197,71.80903237615878,0.6723986313515202,0.0,0.0,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.0,0.038745919950781284,0.9764250890532804,Chamara Kapugedera
7,58.7808,22.7266,34,18,0,51,0,1008,3,1,0,1,21.9839,27.4652,17,0.860465,31.750694566292186,40.341271185623135,2.9115503862639627,0.39551525105016266,3.192202988301935,78.70524064598027,0.674154688765662,0.0,0.0,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.0,0.1261388807417185,0.9714723304043026,Dinesh Chandimal
18,40.9425,35.6938,34,18,0,51,0,1008,3,1,0,1,14.0415,23.2475,17,0.928571,2.874832543869388,6.287846679054853,0.05738674043236647,0.09318870403405655,7.007910432998799,45.720461878397984,0.7116515203432645,0.0,0.0,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.0,0.011421109501917246,0.9639239198494135,Niroshan Dickwella
19,17.6814,17.6814,34,18,0,51,0,1008,3,1,0,1,15.267,16.8161,17,0.0,5.234884780403853,7.3342657307099435,0.2678239472185681,0.19651114167980246,8.781515987788273,71.37571738755538,0.7272121437031691,79.9514,79.9514,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,1.0,39.1962,28.0594,40.81616203828999,46.97540486743031,0.9558378165374607,5.213302001778713,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.16215409035959732,0.02079710431635797,0.459828564245488,Dushmantha Chameera
20,29.9675,23.0997,34,18,0,51,0,1008,3,1,0,1,9.9821,22.0457,17,0.857143,2.831743679941695,5.459366188243178,0.08543333661600688,0.11618737135581365,8.823688064826268,51.869458510401714,0.6716403041546823,63.9646,10.3331,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,1.0,9.0913,31.699,17.872882605958196,21.149373527847196,0.6646311635292684,5.070471496214806,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.07100523117176552,0.01124992644143574,0.03221221771767275,Milinda Siriwardana
24,0.0,10.4209,34,18,0,51,0,1008,3,1,0,1,8.943,10.4875,17,0.0,2.705249863696895,6.6489407318948,0.03480160923521891,0.10520521621824026,9.101877393587776,40.6869300356353,0.7272121437031691,48.4599,22.1824,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,1.0,22.3806,28.4438,45.26312234255455,49.374870013381255,0.9308673019198318,5.50034327141977,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.1798209352316555,0.010747392918316943,0.2129203778503885,Jeffrey Vandersay
33,22.8727,22.8727,34,18,0,51,0,1008,3,1,0,1,7.44367,19.2596,17,0.882353,1.9632947815027881,4.630499428836633,0.05326434298851096,0.0996706639537074,9.829161786470072,42.399201461429534,0.6684888794755537,140.869,140.869,30.0,12.0,0.0,71.0,0.0,1010.0,3.0,1.0,34.3236,44.9196,41.238330098724816,47.67479914930108,0.9636975063192703,5.189953287846756,192.10009921621614,10,244.79837313382623,175.50673739391476,14.26,1120288,0.16383127592531674,0.007799760278873752,0.06679784376749733,Akila Dananjaya
