,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,bowling_contribution,economy,fielding_consistency
0,62.9666,26.0915,20,11,0,50,6,1009,3,2,1,1,34.4715,40.7923,14,15,3,0,1,0.053639846743295,93.33,261,3,269,261.0,24,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
1,74.1419,45.9018,20,11,0,50,6,1009,3,2,1,1,31.9185,59.914,104,122,12,0,2,0.3984674329501915,85.25,261,3,269,261.0,24,264.519,9.7462,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,28.0079,18.1202,16.0,18.0,0.0613026819923371,5.33,0.740741
2,72.1185,45.5833,20,11,0,50,6,1009,3,2,1,1,41.6504,42.9488,74,73,10,0,3,0.2835249042145594,101.37,261,3,269,261.0,24,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90678
3,33.3753,47.0303,20,11,0,50,6,1009,3,2,1,1,50.5071,29.1962,41,54,5,0,4,0.1570881226053639,75.93,261,3,269,261.0,24,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
4,24.5617,10.5895,20,11,0,50,6,1009,3,2,1,1,10.7207,10.5895,4,7,0,0,5,0.0153256704980842,57.14,261,3,269,261.0,24,0.0,0.0,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,22.8244,20.5623,20,11,0,50,6,1009,3,2,1,1,22.3991,22.8244,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,105.123,30.9399,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,30.2562,16.1213,51.0,60.0,0.1954022988505747,5.1,0.777778
6,0.0,0.0,20,11,0,50,6,1009,3,2,1,1,0.0,0.0,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,0.0,10.0911,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,10.2164,10.7817,21.0,30.0,0.0804597701149425,4.2,0.0
7,23.6093,0.2238,20,11,0,50,6,1009,3,2,1,1,5.44928,13.4704,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,288.64,36.1368,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,58.5641,44.1083,63.0,54.0,0.2413793103448276,7.0,0.8
8,0.0,4.4578,20,11,0,50,6,1009,3,2,1,1,4.4906,0.0,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,0.0,20.1244,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,19.6409,20.1245,39.0,48.0,0.1494252873563218,4.88,0.0
9,0.0,12.2085,20,11,0,50,6,1009,3,2,1,1,12.7989,0.0,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,0.0,18.8501,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,19.1685,10.7817,21.0,30.0,0.0804597701149425,4.2,0.0
10,38.8512,38.8512,20,11,0,50,6,1009,3,2,1,1,9.5933,13.4982,0,0,0,0,10,0.0,0.0,261,3,269,261.0,24,413.386,17.9419,26.0,9.0,0.0,39.0,4.0,1009.0,3.0,0.0,31.5971,31.7433,46.0,60.0,0.1762452107279693,4.6,0.918367
11,62.9666,26.0915,22,11,0,51,0,1010,3,2,1,1,34.4715,29.9183,30,48,4,0,1,0.1060070671378091,62.5,283,5,288,280.0,18,0.0,0.0,28.0,9.0,0.0,36.0,0.0,1010.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
