runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
0,4,0,0,1,62.9666,26.0915,30,5,0,35,0,1012,3,1,0,1,34.4715,29.9183,1
0,6,0,0,5,33.3753,47.0303,30,5,0,35,0,1012,3,1,0,1,50.5071,29.6167,1
0,8,0,0,11,23.6093,0.2238,30,5,0,35,0,1012,3,1,0,1,5.44928,7.6117,1
0,3,0,0,1,62.9666,26.0915,20,9,0,42,52,1015,3,2,1,1,34.4715,29.9183,1
0,0,0,0,10,0,0,14,21,1,90,63,1025,3,1,0,0,0.2566,7.15613,2
0,2,0,0,11,0,0,18,12,0,45,5,1023,3,1,0,0,0.2566,0.2238,2
0,2,0,0,2,74.1419,45.9018,25,4,11,100,57,1008,1,2,1,0,39.453,38.0494,2
0,2,0,0,5,75.4504,0,25,4,11,100,57,1008,1,2,1,0,28.2105,45.2291,2
0,1,0,0,6,75.4504,0,23,5,1,92,21,1010,3,2,1,0,28.2105,28.4227,2
0,1,0,0,1,62.9666,26.0915,27,2,3,82,37,1010,2,1,0,1,26.0712,29.9183,2
0,0,0,0,10,38.8512,0,27,9,2,77,55,1008,3,1,0,1,23.6153,18.8785,2
0,4,0,0,7,55.6003,20.5994,9,7,0,80,23,1023,3,2,1,0,8.32438,27.0232,3
0,2,0,0,9,38.8512,24.0802,9,7,0,80,23,1023,3,2,1,0,9.9574,28.3739,3
0,4,0,0,3,72.1185,32.2675,23,17,0,74,27,1018,3,1,0,1,16.2491,35.9733,3
0,3,0,0,4,60.1022,31.8842,23,17,0,74,27,1018,3,1,0,1,16.5141,31.1885,3
0,1,0,0,11,0,12.3618,26,3,0,82,12,1011,3,2,1,0,0.2566,8.4566,3
0,1,0,0,6,75.4504,25.5084,30,5,0,45,0,1008,3,1,0,0,24.8153,27.9644,3
0,2,0,0,11,19.7214,16.209,32,15,0,47,0,1006,3,1,0,1,0.2566,5.9602,3
0,0,0,0,11,23.6093,0,17,17,2,92,98,1015,3,2,0,1,6.63247,14.8703,4
0,4,0,0,2,74.1419,35.8553,17,20,1,66,78,1002,3,1,0,0,0.2566,34.9702,4
0,5,0,0,3,58.7808,0,17,20,1,66,78,1002,3,1,0,0,14.5998,36.1303,4
