runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
-0.363199,-0.467606,0.235732,-0.374074,-1.44039,0.781138,0.366192,-0.782267,-0.356903,-0.434734,-0.996731,-0.886163,-0.632936,0.347332,1.177341,1.821976,0.925549,0.510773,1.275369,1
2.834315,3.033588,3.185094,-0.374074,-1.109337,1.289194,1.749625,-0.782267,-0.356903,-0.434734,-0.996731,-0.886163,-0.632936,0.347332,1.177341,1.821976,0.925549,0.345574,3.00286,1
1.768477,1.430237,2.52968,-0.374074,-0.778285,1.197205,1.727383,-0.782267,-0.356903,-0.434734,-0.996731,-0.886163,-0.632936,0.347332,1.177341,1.821976,0.925549,0.975303,1.470192,1
0.596055,0.80853,0.891146,-0.374074,-0.447232,-0.564153,1.828433,-0.782267,-0.356903,-0.434734,-0.996731,-0.886163,-0.632936,0.347332,1.177341,1.821976,0.925549,1.548399,0.227756,1
-0.718479,-0.729377,-0.747389,-0.374074,-0.11618,-0.96484,-0.716376,-0.782267,-0.356903,-0.434734,-0.996731,-0.886163,-0.632936,0.347332,1.177341,1.821976,0.925549,-1.026086,-1.453209,1
0.205248,0.612201,0.563439,-0.374074,-1.44039,0.781138,0.366192,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,0.510773,0.292991,1
-0.078976,-0.173113,0.563439,-0.374074,-1.109337,0.328805,0.183485,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,0.165098,0.329472,1
1.271086,1.659287,0.563439,-0.374074,-0.778285,1.197205,1.727383,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,0.975303,1.105707,1
2.869843,2.510045,2.857387,-0.374074,-0.447232,-0.564153,1.828433,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,1.548399,0.265744,1
-0.576367,-0.598492,-0.419682,-0.374074,-0.11618,-2.081474,-0.603315,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,-0.891611,-0.93181,1
-0.718479,-0.663935,-0.747389,-0.374074,0.214873,-1.043822,-0.019935,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,-0.270404,-0.633817,1
0.418415,-0.467606,1.218852,0.821465,0.545926,0.446248,1.597876,-0.404615,-0.356903,-0.434734,-0.939441,-1.100907,-0.427386,0.347332,1.177341,1.821976,0.925549,1.127456,0.07075,1
3.331706,3.164473,5.151335,-0.374074,-1.44039,0.781138,0.366192,-0.026963,-1.089735,-0.434734,-0.996731,-1.100907,-0.016286,0.347332,1.177341,1.821976,0.925549,0.510773,1.275369,1
2.976427,2.86998,3.5128,-0.374074,-1.109337,0.650915,2.113216,-0.026963,-1.089735,-0.434734,-0.996731,-1.100907,-0.016286,0.347332,1.177341,1.821976,0.925549,0.652217,0.064562,1
-0.256615,-0.500327,-0.091975,-0.374074,-0.778285,1.197205,1.727383,-0.026963,-1.089735,-0.434734,-0.996731,-1.100907,-0.016286,0.347332,1.177341,1.821976,0.925549,0.975303,1.470192,1
-0.86059,-0.827542,-0.747389,-0.374074,-1.44039,0.781138,0.366192,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,0.510773,0.292991,1
0.311832,-0.402163,1.874266,-0.374074,-1.109337,1.289194,1.749625,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,0.345574,1.027571,1
1.555309,1.593844,2.201973,-0.374074,-0.778285,1.197205,1.727383,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,0.975303,1.105707,1
-0.682951,-0.533049,-0.419682,-0.374074,-0.447232,0.650915,2.113216,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,0.652217,1.021698,1
-0.86059,-0.762099,-0.747389,-0.374074,-0.11618,-0.564153,1.828433,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,1.548399,0.265744,1
-0.825062,-0.598492,-0.747389,-0.374074,0.214873,-2.081474,-0.603315,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-0.891611,-0.93181,1
-0.469783,-0.402163,-0.091975,-0.374074,0.545926,0.446248,1.597876,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,1.127456,0.07075,1
1.128974,1.528402,0.891146,-0.374074,0.876978,-1.043822,-0.019935,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-0.270404,-0.633817,1
0.134192,0.481316,0.235732,-0.374074,1.208031,-2.081474,0.066485,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-0.249756,-0.440449,1
-0.825062,-0.827542,-0.747389,-0.374074,1.539083,-2.081474,-1.144577,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-1.429221,-2.007158,1
-0.86059,-0.696656,-0.747389,-0.374074,1.870136,-1.008139,-1.440255,1.105993,-1.089735,-0.434734,-1.856084,-1.100907,-0.016286,0.347332,-0.848992,-0.548609,0.925549,-1.367187,-1.722229,1
-0.86059,-0.860263,-0.747389,-0.374074,-1.44039,0.781138,0.366192,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.510773,0.292991,1
0.880279,0.80853,1.874266,-0.374074,-1.109337,1.289194,1.749625,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.345574,1.027571,1
1.093446,0.710366,1.874266,-0.374074,-0.778285,1.197205,1.727383,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.975303,1.105707,1
1.661893,1.692009,0.891146,-0.374074,-0.447232,0.650915,2.113216,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,0.652217,1.021698,1
0.098664,0.383151,-0.091975,-0.374074,-0.11618,-0.564153,1.828433,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,1.548399,0.265744,1
-0.221087,-0.10767,-0.747389,-0.374074,0.214873,-2.081474,-0.603315,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,-0.891611,-0.93181,1
-0.256615,0.023216,-0.419682,-0.374074,0.545926,-1.043822,-0.019935,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,-0.270404,-0.633817,1
-0.647423,-0.762099,-0.419682,-0.374074,0.876978,0.446248,1.597876,-0.782267,-0.60118,-0.434734,-1.455053,0.760207,0.600365,0.347332,1.177341,1.821976,0.925549,1.127456,0.07075,1
-0.825062,-0.892985,-0.747389,-0.374074,-1.44039,0.781138,0.366192,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,0.47365,0.292991,2
1.306614,1.790173,0.563439,0.821465,-1.109337,1.289194,1.749625,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,2.793213,1.027571,2
-0.18556,-0.173113,-0.091975,-0.374074,-0.778285,-0.564153,1.828433,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.365317,0.265744,2
1.804005,2.150109,-0.091975,2.017004,-0.447232,1.348681,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,1.299371,1.676198,2
-0.150032,0.612201,-0.747389,-0.374074,-0.11618,-0.972533,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.702024,-0.55175,2
-0.682951,-0.79482,-0.419682,-0.374074,0.214873,-0.96484,-0.716376,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.577604,0.356664,2
0.276304,-0.205835,-0.091975,0.821465,0.545926,0.446248,1.597876,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,0.60665,0.07075,2
-0.18556,-0.500327,-0.419682,0.821465,0.876978,-0.315206,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,0.187124,-0.704365,2
-0.825062,-0.892985,-0.747389,-0.374074,1.208031,-1.043822,-0.019935,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-1.18495,-0.633817,2
-0.86059,-0.958428,-0.747389,-0.374074,1.539083,-2.081474,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-1.703193,-1.763386,2
-0.789534,-0.892985,-0.747389,-0.374074,1.870136,-1.184892,-1.455884,-1.915224,0.864484,0.071889,1.294876,1.153904,2.655867,0.347332,-0.848992,-0.548609,-1.079956,-0.666706,-0.871633,2
0.560527,0.252266,1.218852,-0.374074,-1.44039,0.781138,0.366192,-1.915224,0.131652,-0.434734,0.435523,1.547602,2.450316,0.347332,1.177341,-0.548609,0.925549,0.47365,2.099062,2
1.271086,0.514037,1.546559,0.821465,-1.109337,1.289194,1.749625,-1.915224,0.131652,-0.434734,0.435523,1.547602,2.450316,0.347332,1.177341,-0.548609,0.925549,2.793213,6.809055,2
