economy,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season
4.6,60,1,413.386,17.9419,26,9,0,39,4,1009,3,2,0,1,31.5971,31.7433,1
4.88,48,0,0.0,20.1244,26,9,0,39,4,1009,3,2,0,1,19.6409,20.1245,1
5.33,18,1,264.519,9.7462,26,9,0,39,4,1009,3,2,0,1,28.0079,18.1202,1
7.0,54,2,288.64,36.1368,26,9,0,39,4,1009,3,2,0,1,58.5641,44.1083,1
5.1,60,2,105.123,30.9399,26,9,0,39,4,1009,3,2,0,1,30.2562,16.1213,1
4.2,30,0,0.0,18.8501,26,9,0,39,4,1009,3,2,0,1,19.1685,10.7817,1
4.2,30,0,0.0,10.0911,26,9,0,39,4,1009,3,2,0,1,10.2164,10.7817,1
6.6,60,5,0.0,20.1244,28,9,0,36,0,1010,3,2,0,1,19.6409,20.5927,1
6.0,48,0,288.64,36.1368,28,9,0,36,0,1010,3,2,0,1,58.5641,45.2125,1
6.2,60,2,0.0,25.6873,28,9,0,36,0,1010,3,2,0,1,25.5441,21.458,1
3.6,60,0,105.123,30.9399,28,9,0,36,0,1010,3,2,0,1,30.2562,53.84,1
5.5,24,0,0.0,18.8501,28,9,0,36,0,1010,3,2,0,1,19.1685,18.8668,1
6.0,12,0,0.0,8.4375,28,9,0,36,0,1010,3,2,0,1,8.8007,5.0307,1
4.5,36,2,441.988,19.0567,28,9,0,36,0,1010,3,2,0,1,48.9939,85.9906,1
4.8,60,2,413.386,17.9419,30,7,0,30,0,1013,3,2,0,1,31.5971,31.7433,1
7.44,54,1,0.0,25.6873,30,7,0,30,0,1013,3,2,0,1,25.5441,23.4307,1
4.0,60,2,105.123,30.9399,30,7,0,30,0,1013,3,2,0,1,30.2562,16.1213,1
3.2,60,2,441.988,19.0567,30,7,0,30,0,1013,3,2,0,1,48.9939,51.752,1
4.4,60,0,0.0,20.1396,30,7,0,30,0,1013,3,2,0,1,20.4327,21.5387,1
17.0,6,0,0.0,8.4375,30,7,0,30,0,1013,3,2,0,1,8.8007,4.2857,1
9.0,34,0,0.0,20.1244,24,3,0,57,0,1012,3,1,1,1,19.6409,20.5927,1
7.5,60,0,288.64,36.1368,24,3,0,57,0,1012,3,1,1,1,58.5641,45.2125,1
5.5,36,1,0.0,25.6873,24,3,0,57,0,1012,3,1,1,1,25.5441,21.458,1
3.17,36,0,105.123,30.9399,24,3,0,57,0,1012,3,1,1,1,30.2562,53.84,1
6.4,30,1,441.988,19.0567,24,3,0,57,0,1012,3,1,1,1,48.9939,85.9906,1
4.8,60,4,413.386,17.9419,26,5,0,33,17,1014,3,2,0,1,31.5971,72.3546,1
5.3,60,3,0.0,20.1244,26,5,0,33,17,1014,3,2,0,1,19.6409,20.5927,1
4.33,36,0,0.0,25.6873,26,5,0,33,17,1014,3,2,0,1,25.5441,21.458,1
5.22,54,1,105.123,30.9399,26,5,0,33,17,1014,3,2,0,1,30.2562,53.84,1
5.88,50,1,441.988,19.0567,26,5,0,33,17,1014,3,2,0,1,48.9939,85.9906,1
3.6,30,1,264.519,9.7462,26,5,0,33,17,1014,3,2,0,1,28.0079,51.7822,1
3.78,54,1,413.386,17.9419,13,18,3,91,69,1023,3,1,0,0,24.2838,72.3546,2
6.82,51,0,58.5243,0.0,13,18,3,91,69,1023,3,1,0,0,17.7668,22.1115,2
6.4,60,1,183.552,0.0,13,18,3,91,69,1023,3,1,0,0,15.2018,27.6534,2
5.67,54,1,105.123,30.9399,13,18,3,91,69,1023,3,1,0,0,11.2107,53.84,2
5.0,42,0,441.988,19.0567,13,18,3,91,69,1023,3,1,0,0,18.8779,85.9906,2
3.0,24,0,413.386,17.9419,12,18,0,85,70,1026,2,2,0,1,24.2838,29.9097,2
5.38,29,2,58.5243,0.0,12,18,0,85,70,1026,2,2,0,1,17.7668,16.4044,2
3.5,36,2,183.552,0.0,12,18,0,85,70,1026,2,2,0,1,15.2018,12.7384,2
16.0,6,0,441.988,19.0567,12,18,0,85,70,1026,2,2,0,1,18.8779,17.7583,2
4.6,30,3,105.123,30.9399,12,18,0,85,70,1026,2,2,0,1,11.2107,21.1845,2
3.0,24,2,122.804,0.0,12,18,0,85,70,1026,2,2,0,1,4.5233,17.01,2
5.22,54,1,413.386,17.9419,20,5,0,47,7,1023,3,2,0,1,20.4915,72.3546,2
6.33,54,3,0.0,25.6873,20,5,0,47,7,1023,3,2,0,1,15.1481,21.458,2
8.25,24,1,441.988,19.0567,20,5,0,47,7,1023,3,2,0,1,16.9057,85.9906,2
5.4,60,0,183.552,0.0,20,5,0,47,7,1023,3,2,0,1,24.4245,27.6534,2
4.83,36,0,122.804,0.0,20,5,0,47,7,1023,3,2,0,1,27.8866,34.7477,2
3.8,60,2,105.123,30.9399,20,5,0,47,7,1023,3,2,0,1,31.6447,53.84,2
2.5,12,1,264.519,9.7462,20,5,0,47,7,1023,3,2,0,1,14.8218,51.7822,2
5.08,59,1,0.0,25.6873,20,12,0,40,4,1020,3,1,0,0,15.1481,22.1714,2
4.11,54,0,58.5243,0.0,20,12,0,40,4,1020,3,1,0,0,15.9834,16.4044,2
12.0,12,0,441.988,19.0567,20,12,0,40,4,1020,3,1,0,0,16.9057,17.7583,2
4.22,54,0,105.123,30.9399,20,12,0,40,4,1020,3,1,0,0,31.6447,21.1845,2
5.25,48,0,122.804,0.0,20,12,0,40,4,1020,3,1,0,0,27.8866,17.01,2
4.38,48,1,264.519,9.7462,20,12,0,40,4,1020,3,1,0,0,14.8218,9.65158,2
4.0,12,0,0.0,0.0,20,12,0,40,4,1020,3,1,0,0,4.1979,4.4447,2
2.43,42,1,413.386,17.9419,23,3,0,46,9,1020,3,2,0,1,20.4915,29.9097,2
4.0,54,3,58.5243,0.0,23,3,0,46,9,1020,3,2,0,1,15.9834,16.4044,2
4.4,60,2,183.552,0.0,23,3,0,46,9,1020,3,2,0,1,24.4245,12.7384,2
3.5,24,0,354.802,0.0,23,3,0,46,9,1020,3,2,0,1,7.8393,11.8636,2
4.5,48,0,105.123,30.9399,23,3,0,46,9,1020,3,2,0,1,31.6447,21.1845,2
