catches,run_outs,dropped_catches,missed_run_outs,fielding_consistency,fielding_temp,fielding_wind,fielding_rain,fielding_humidity,fielding_cloud,fielding_pressure,fielding_viscosity,fielding_inning,fielding_session,toss,season,success_rate
1,0,0,0,0.8,26,9,0,39,4,1009,3,2,0,1,1,1.0
2,0,0,0,0.857143,26,9,0,39,4,1009,3,2,0,1,1,1.0
0,0,1,0,0.918367,26,9,0,39,4,1009,3,2,0,1,1,0.0
0,1,1,1,0.90678,26,9,0,39,4,1009,3,2,0,1,1,0.3333333333333333
1,0,0,0,0.0,26,9,0,39,4,1009,3,2,0,1,1,1.0
1,0,0,0,0.875,28,9,0,36,0,1010,3,2,0,1,1,1.0
0,0,1,0,0.740741,28,9,0,36,0,1010,3,2,0,1,1,0.0
2,0,0,0,0.90678,28,9,0,36,0,1010,3,2,0,1,1,1.0
0,0,1,0,0.777778,28,9,0,36,0,1010,3,2,0,1,1,0.0
1,0,0,0,0.8,28,9,0,36,0,1010,3,2,0,1,1,1.0
1,0,0,0,0.0,28,9,0,36,0,1010,3,2,0,1,1,1.0
1,0,0,0,0.892473,28,9,0,36,0,1010,3,2,0,1,1,1.0
0,1,0,0,0.0,30,7,0,30,0,1013,3,2,0,1,1,1.0
0,0,2,0,0.792208,30,7,0,30,0,1013,3,2,0,1,1,0.0
1,0,0,0,0.777778,30,7,0,30,0,1013,3,2,0,1,1,1.0
1,0,0,0,0.740741,30,7,0,30,0,1013,3,2,0,1,1,1.0
1,0,0,0,0.0,30,7,0,30,0,1013,3,2,0,1,1,1.0
0,1,0,1,0.918367,30,7,0,30,0,1013,3,2,0,1,1,0.5
1,1,1,0,0.90678,30,7,0,30,0,1013,3,2,0,1,1,0.6666666666666666
0,0,1,0,0.740741,24,3,0,57,0,1012,3,1,1,1,1,0.0
0,0,1,0,0.740741,24,3,0,57,0,1012,3,1,1,1,1,0.0
1,0,0,0,0.90678,24,3,0,57,0,1012,3,1,1,1,1,1.0
1,0,0,0,0.0,24,3,0,57,0,1012,3,1,1,1,1,1.0
3,0,0,0,0.90678,26,5,0,33,17,1014,3,2,0,1,1,1.0
0,0,0,1,0.777778,26,5,0,33,17,1014,3,2,0,1,1,0.0
2,0,0,0,0.857143,26,5,0,33,17,1014,3,2,0,1,1,1.0
1,0,0,0,0.75,13,18,3,91,69,1023,3,1,0,0,2,1.0
1,0,0,0,0.0,13,18,3,91,69,1023,3,1,0,0,2,1.0
1,0,0,0,0.918367,12,18,0,85,70,1026,2,2,0,1,2,1.0
2,1,0,0,0.860465,12,18,0,85,70,1026,2,2,0,1,2,1.0
1,0,0,0,0.75,12,18,0,85,70,1026,2,2,0,1,2,1.0
1,0,0,0,0.740741,12,18,0,85,70,1026,2,2,0,1,2,1.0
1,1,0,0,0.892473,12,18,0,85,70,1026,2,2,0,1,2,1.0
0,1,0,0,0.0,12,18,0,85,70,1026,2,2,0,1,2,1.0
2,0,0,0,0.892473,20,5,0,47,7,1023,3,2,0,1,2,1.0
0,0,0,1,0.857143,20,5,0,47,7,1023,3,2,0,1,2,0.0
1,0,0,0,0.75,20,5,0,47,7,1023,3,2,0,1,2,1.0
2,0,0,0,0.888889,20,5,0,47,7,1023,3,2,0,1,2,1.0
0,1,0,0,0.740741,20,5,0,47,7,1023,3,2,0,1,2,1.0
1,0,0,0,0.0,20,5,0,47,7,1023,3,2,0,1,2,1.0
0,0,0,1,0.888889,20,12,0,40,4,1020,3,1,0,0,2,0.0
0,0,0,1,0.740741,20,12,0,40,4,1020,3,1,0,0,2,0.0
1,0,0,1,0.860465,20,12,0,40,4,1020,3,1,0,0,2,0.5
1,1,0,0,0.860465,23,3,0,46,9,1020,3,2,0,1,2,1.0
1,0,0,0,0.857143,23,3,0,46,9,1020,3,2,0,1,2,1.0
1,1,0,0,0.888889,23,3,0,46,9,1020,3,2,0,1,2,1.0
0,1,0,0,0.743902,23,3,0,46,9,1020,3,2,0,1,2,1.0
2,1,0,0,0.740741,23,3,0,46,9,1020,3,2,0,1,2,1.0
1,0,0,0,0.740741,23,3,0,46,9,1020,3,2,0,1,2,1.0
1,0,0,1,0.731707,24,3,6,99,34,1011,2,1,1,1,2,0.5
0,0,0,1,0.727273,24,3,6,99,34,1011,2,1,1,1,2,0.0
3,1,0,1,0.90678,24,3,6,99,34,1011,2,1,1,1,2,0.8
0,1,0,0,0.740741,24,3,6,99,34,1011,2,1,1,1,2,1.0
0,1,0,0,0.0,24,3,6,99,34,1011,2,1,1,1,2,1.0
1,0,0,0,0.743902,24,3,6,99,34,1011,2,1,1,1,2,1.0
2,2,0,0,0.90678,24,3,8,99,57,1010,1,1,1,1,2,1.0
1,0,0,0,0.792208,24,3,8,99,57,1010,1,1,1,1,2,1.0
1,0,0,0,0.918367,24,3,8,99,57,1010,1,1,1,1,2,1.0
1,0,0,0,0.777778,27,5,4,91,51,1009,2,2,0,1,2,1.0
3,1,0,0,0.90678,27,5,4,91,51,1009,2,2,0,1,2,1.0
0,1,0,0,0.792208,27,5,4,91,51,1009,2,2,0,1,2,1.0
0,1,0,0,0.888889,27,5,4,91,51,1009,2,2,0,1,2,1.0
0,1,0,0,0.740741,27,5,10,95,60,1008,1,2,0,0,2,1.0
1,1,0,0,0.918367,27,5,10,95,60,1008,1,2,0,0,2,1.0
1,0,0,0,0.792208,27,5,10,95,60,1008,1,2,0,0,2,1.0
1,0,0,1,0.90678,27,5,10,95,60,1008,1,2,0,0,2,0.5
0,0,1,0,0.0,27,5,10,95,60,1008,1,2,0,0,2,0.0
1,0,1,0,0.727273,27,5,10,95,60,1008,1,2,0,0,2,0.5
1,0,0,0,0.90678,27,8,1,74,29,1010,3,2,0,0,2,1.0
2,0,0,0,0.888889,27,8,1,74,29,1010,3,2,0,0,2,1.0
1,0,0,0,0.857143,27,8,1,74,29,1010,3,2,0,0,2,1.0
1,0,0,0,0.792208,27,8,1,74,29,1010,3,2,0,0,2,1.0
1,0,0,0,0.882353,27,8,1,74,29,1010,3,2,0,0,2,1.0
1,0,0,0,0.743902,27,8,1,74,29,1010,3,2,0,0,2,1.0
1,0,0,0,0.740741,27,8,1,74,29,1010,3,2,0,0,2,1.0
1,0,0,0,0.918367,24,4,3,95,47,1010,2,1,1,1,2,1.0
1,0,0,0,0.90678,24,4,3,95,47,1010,2,1,1,1,2,1.0
1,0,0,0,0.740741,24,4,3,95,47,1010,2,1,1,1,2,1.0
4,0,0,0,0.90678,28,3,11,89,66,1010,1,2,0,0,2,1.0
