total_score,total_balls,runs,balls,fours,sixes,strike_rate,match_id,batting_position,player_name,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue,opposition,season,result
261,269,14,15,3,0,93.33,434258,1,Upul Tharanga,62.9666,26.0915,20,11,0,50,6,1009,Excellent,2,night,1,34.4715,40.7923,1,1
261,269,104,122,12,0,85.25,434258,2,Tillakaratne Dilshan,74.1419,45.9018,20,11,0,50,6,1009,Excellent,2,night,1,31.9185,59.914,1,1
261,269,74,73,10,0,101.37,434258,3,Kumar Sangakkara,72.1185,45.5833,20,11,0,50,6,1009,Excellent,2,night,1,41.6504,42.9488,1,1
261,269,41,54,5,0,75.93,434258,4,Thilan Samaraweera,33.3753,47.0303,20,11,0,50,6,1009,Excellent,2,night,1,50.5071,29.1962,1,1
261,269,4,7,0,0,57.14,434258,5,Chamara Silva,24.5617,10.5895,20,11,0,50,6,1009,Excellent,2,night,1,10.7207,10.5895,1,1
283,288,30,48,4,0,62.5,434259,1,Upul Tharanga,62.9666,26.0915,22,11,0,51,0,1010,Excellent,2,night,1,34.4715,29.9183,1,1
283,288,22,24,4,0,91.67,434259,2,Lahiru Thirimanne,53.017,23.4752,22,11,0,51,0,1010,Excellent,2,night,1,29.1294,30.3221,1,1
283,288,60,80,4,0,75.0,434259,3,Kumar Sangakkara,72.1185,45.5833,22,11,0,51,0,1010,Excellent,2,night,1,41.6504,38.9143,1,1
283,288,105,106,11,0,99.06,434259,4,Thilan Samaraweera,33.3753,47.0303,22,11,0,51,0,1010,Excellent,2,night,1,50.5071,29.6167,1,1
283,288,8,11,1,0,72.73,434259,5,Thilina Kandamby,15.8255,12.2085,22,11,0,51,0,1010,Excellent,2,night,1,12.7989,16.3609,1,1
283,288,4,9,0,0,44.44,434259,6,Suraj Randiv,22.8244,20.5623,22,11,0,51,0,1010,Excellent,2,night,1,22.3991,19.6594,1,1
283,288,36,15,6,1,240.0,434259,7,Thisara Perera,55.6003,43.7288,22,11,0,51,0,1010,Excellent,2,night,1,44.0018,27.4583,1,1
252,257,118,126,18,0,93.65,434261,1,Upul Tharanga,62.9666,26.0915,24,5,0,50,0,1012,Excellent,2,night,1,34.4715,40.7923,1,1
252,257,108,117,13,0,92.31,434261,2,Mahela Jayawardene,60.1022,51.1083,24,5,0,50,0,1012,Excellent,2,night,1,36.6574,27.3898,1,1
252,257,17,14,2,0,121.43,434261,3,Kumar Sangakkara,72.1185,45.5833,24,5,0,50,0,1012,Excellent,2,night,1,41.6504,42.9488,1,1
213,277,0,4,0,0,0.0,434262,1,Upul Tharanga,62.9666,26.0915,30,5,0,35,0,1012,Excellent,1,day,1,34.4715,29.9183,1,0
213,277,33,17,8,0,194.12,434262,2,Tillakaratne Dilshan,74.1419,45.9018,30,5,0,35,0,1012,Excellent,1,day,1,31.9185,38.0494,1,0
213,277,68,78,9,0,87.18,434262,3,Kumar Sangakkara,72.1185,45.5833,30,5,0,35,0,1012,Excellent,1,day,1,41.6504,38.9143,1,0
213,277,5,13,1,0,38.46,434262,4,Mahela Jayawardene,60.1022,51.1083,30,5,0,35,0,1012,Excellent,1,day,1,36.6574,37.9844,1,0
213,277,0,6,0,0,0.0,434262,5,Thilan Samaraweera,33.3753,47.0303,30,5,0,35,0,1012,Excellent,1,day,1,50.5071,29.6167,1,0
213,277,1,11,0,0,9.09,434262,6,Thilina Kandamby,15.8255,12.2085,30,5,0,35,0,1012,Excellent,1,day,1,12.7989,16.3609,1,0
213,277,11,17,2,0,64.71,434262,7,Thisara Perera,55.6003,43.7288,30,5,0,35,0,1012,Excellent,1,day,1,44.0018,27.4583,1,0
213,277,56,76,5,0,73.68,434262,8,Suraj Randiv,22.8244,20.5623,30,5,0,35,0,1012,Excellent,1,day,1,22.3991,19.6594,1,0
213,277,28,44,3,0,63.64,434262,9,Thilan Thushara,0.0,21.7998,30,5,0,35,0,1012,Excellent,1,day,1,22.7182,21.7998,1,0
213,277,1,4,0,0,25.0,434262,10,Chanaka Welegedara,0.0,4.4578,30,5,0,35,0,1012,Excellent,1,day,1,4.4906,4.4578,1,0
213,277,0,8,0,0,0.0,434262,11,Suranga Lakmal,23.6093,0.2238,30,5,0,35,0,1012,Excellent,1,day,1,5.44928,7.6117,1,0
249,291,0,3,0,0,0.0,434264,1,Upul Tharanga,62.9666,26.0915,20,9,0,42,52,1015,Excellent,2,night,1,34.4715,29.9183,1,1
249,291,49,54,8,0,90.74,434264,2,Tillakaratne Dilshan,74.1419,45.9018,20,9,0,42,52,1015,Excellent,2,night,1,31.9185,38.0494,1,1
249,291,55,51,8,0,107.84,434264,3,Kumar Sangakkara,72.1185,45.5833,20,9,0,42,52,1015,Excellent,2,night,1,41.6504,38.9143,1,1
249,291,71,81,5,0,87.65,434264,4,Mahela Jayawardene,60.1022,51.1083,20,9,0,42,52,1015,Excellent,2,night,1,36.6574,37.9844,1,1
249,291,27,41,2,0,65.85,434264,5,Thilan Samaraweera,33.3753,47.0303,20,9,0,42,52,1015,Excellent,2,night,1,50.5071,29.6167,1,1
249,291,18,26,0,0,69.23,434264,6,Thilina Kandamby,15.8255,12.2085,20,9,0,42,52,1015,Excellent,2,night,1,12.7989,16.3609,1,1
249,291,17,30,1,0,56.67,434264,7,Suraj Randiv,22.8244,20.5623,20,9,0,42,52,1015,Excellent,2,night,1,22.3991,19.6594,1,1
249,291,6,6,1,0,100.0,434264,8,Thisara Perera,55.6003,43.7288,20,9,0,42,52,1015,Excellent,2,night,1,44.0018,27.4583,1,1
242,299,1,2,0,0,50.0,452147,1,Upul Tharanga,62.9666,26.0915,14,21,1,90,63,1025,Excellent,1,day,0,33.8978,29.9183,2,0
242,299,61,84,4,1,72.62,452147,2,Tillakaratne Dilshan,74.1419,45.9018,14,21,1,90,63,1025,Excellent,1,day,0,69.7446,38.0494,2,0
242,299,19,24,2,0,79.17,452147,3,Thilan Samaraweera,33.3753,47.0303,14,21,1,90,63,1025,Excellent,1,day,0,20.9323,29.6167,2,0
242,299,75,95,2,2,78.95,452147,4,Angelo Mathews,75.4504,25.5084,14,21,1,90,63,1025,Excellent,1,day,0,46.6586,45.2291,2,0
242,299,20,48,0,0,41.67,452147,5,Chamara Kapugedera,24.3925,27.5998,14,21,1,90,63,1025,Excellent,1,day,0,15.7288,20.5678,2,0
242,299,5,5,1,0,100.0,452147,6,Chamara Silva,24.5617,10.5895,14,21,1,90,63,1025,Excellent,1,day,0,17.6516,30.6231,2,0
242,299,32,23,2,1,139.13,452147,7,Thisara Perera,55.6003,43.7288,14,21,1,90,63,1025,Excellent,1,day,0,35.9532,27.4583,2,0
242,299,19,14,1,1,135.71,452147,8,Nuwan Kulasekara,38.8512,24.0802,14,21,1,90,63,1025,Excellent,1,day,0,29.4698,18.8785,2,0
242,299,1,2,0,0,50.0,452147,9,Suraj Randiv,22.8244,20.5623,14,21,1,90,63,1025,Excellent,1,day,0,8.2656,19.6594,2,0
