score,wickets,overs,balls,rpo,target,inning,result,opposition_id,date,match_id,batting_session,bowling_session,venue_id,extras,toss,season_id,match_number,batting_temp,batting_feels,batting_wind,batting_gust,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,bowling_temp,bowling_feels,bowling_wind,bowling_gust,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity
261,3,44.5,269,5.82,261,2,1,1,1/4/2010,434258,night,day,1,24,1,1,2937,20,20,11,23,0,50,6,1009,Excellent,26,26,9,10,0,39,4,1009,Excellent
283,5,48,288,5.89,280,2,1,2,1/5/2010,434259,night,day,1,18,1,1,2938,22,25,11,21,0,51,0,1010,Excellent,28,27,9,11,0,36,0,1010,Excellent
252,1,42.5,257,5.88,250,2,1,1,1/8/2010,434261,night,day,1,9,1,1,2940,24,25,5,11,0,50,0,1012,Excellent,30,29,7,8,0,30,0,1013,Excellent
213,10,46.1,277,4.61,NULL,1,0,2,1/10/2010,434262,day,night,1,10,1,1,2941,30,29,5,5,0,35,0,1012,Excellent,24,25,3,6,0,57,0,1012,Excellent
249,6,48.3,291,5.13,246,2,1,2,1/13/2010,434264,night,day,1,6,1,1,2943,20,20,9,20,0,42,52,1015,Excellent,26,25,5,6,0,33,17,1014,Excellent
242,10,49.5,299,4.85,NULL,1,0,2,5/30/2010,452147,day,day,2,7,0,2,2983,14,12,21,31,1,90,63,1025,Excellent,13,11,18,26,3,91,69,1023,Excellent
119,1,15.2,92,7.76,119,2,1,3,6/1/2010,452148,day,day,2,9,1,2,2985,14,13,15,17,0,75,74,1024,Excellent,12,10,18,22,0,85,70,1026,Good
270,4,48.2,290,5.58,269,2,1,2,6/5/2010,452150,day,day,3,6,1,2,2988,22,22,8,9,0,38,3,1021,Excellent,20,20,5,6,0,47,7,1023,Excellent
236,10,47.5,287,4.93,NULL,1,0,3,6/7/2010,452151,day,day,3,9,0,2,2989,18,18,12,13,0,45,5,1023,Excellent,20,20,12,14,0,40,4,1020,Excellent
203,1,34.4,208,5.85,200,2,1,3,6/9/2010,452152,day,day,3,7,1,2,2990,24,25,4,5,0,39,4,1018,Excellent,23,24,3,3,0,46,9,1020,Excellent
242,9,50,300,4.84,NULL,1,1,4,6/15/2010,455231,day,night,4,11,1,2,2991,27,32,3,6,5,88,48,1010,Good,24,27,3,6,6,99,34,1011,Good
312,4,50,300,6.24,NULL,1,1,1,6/18/2010,455233,day,night,4,13,1,2,2995,27,31,2,4,7,91,56,1009,Good,24,27,3,5,8,99,57,1010,Average
211,3,37.3,225,5.62,210,2,1,2,6/22/2010,455236,night,day,4,16,1,2,2999,25,28,4,8,6,99,54,1010,Good,27,33,5,8,4,91,51,1009,Good
187,10,44.4,268,4.18,269,2,0,2,6/24/2010,455237,night,day,4,18,0,2,3001,25,28,4,6,11,100,57,1008,Average,27,32,5,10,10,95,60,1008,Average
195,7,40.5,245,4.77,193,2,1,5,8/13/2010,456664,night,day,4,13,0,2,3031,23,26,5,10,1,92,21,1010,Excellent,27,30,8,12,1,74,29,1010,Excellent
170,10,46.1,277,3.68,NULL,1,0,2,8/16/2010,456663,day,night,4,11,1,2,3032,27,31,2,3,3,82,37,1010,Good,24,27,4,7,3,95,47,1010,Good
