batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
62.9666,26.4254,27,13,0,86,23,1010,3,2,1,0,30.7026,40.7923,20
53.017,53.017,27,13,0,86,23,1010,3,2,1,0,38.4293,31.198,20
55.6003,30.2481,27,13,0,86,23,1010,3,2,1,0,28.2778,28.2395,20
0,0,27,13,0,86,23,1010,3,2,1,0,0,0,20
0,0,27,13,0,86,23,1010,3,2,1,0,0,0,20
23.6093,16.2374,27,13,0,86,23,1010,3,2,1,0,5.80232,13.4704,20
75.4504,36.1573,27,13,0,86,23,1010,3,2,1,0,44.097,49.4372,20
24.3925,24.3925,27,13,0,86,23,1010,3,2,1,0,24.3925,57.162,20
38.8512,38.8512,27,13,0,86,23,1010,3,2,1,0,20.2876,13.4982,20
58.7808,58.7808,27,13,0,86,23,1010,3,2,1,0,39.512,25.1925,20
31.4101,31.4101,27,13,0,86,23,1010,3,2,1,0,45.4385,13.1735,20
35.5758,10.8469,27,13,0,86,23,1010,3,2,1,0,16.9584,19.761,20
26.6919,26.6919,27,13,0,86,23,1010,3,2,1,0,27.4188,25.91,20
33.2246,33.2246,27,13,0,86,23,1010,3,2,1,0,33.2246,33.2246,20
13.5961,13.5961,27,13,0,86,23,1010,3,2,1,0,9.65222,13.5961,20
24.9177,24.9177,27,13,0,86,23,1010,3,2,1,0,11.3283,5.71563,20
28.3833,28.3833,27,13,0,86,23,1010,3,2,1,0,16.6388,23.1065,20
12.3153,12.3153,27,13,0,86,23,1010,3,2,1,0,7.18013,0.6714,20
50.1772,30.4913,27,13,0,86,23,1010,3,2,1,0,35.2199,32.5809,20
27.4905,27.4905,27,13,0,86,23,1010,3,2,1,0,15.5775,28.9153,20
21.7189,21.7189,27,13,0,86,23,1010,3,2,1,0,21.7189,18.8415,20
20.5773,20.5773,27,13,0,86,23,1010,3,2,1,0,20.5773,31.787,20
0,0,27,13,0,86,23,1010,3,2,1,0,0,0,20
40.9425,27.4428,27,13,0,86,23,1010,3,2,1,0,32.8637,23.927,20
17.6814,7.149,27,13,0,86,23,1010,3,2,1,0,17.6814,8.2328,20
29.9675,29.9675,27,13,0,86,23,1010,3,2,1,0,26.0396,23.0997,20
26.8548,26.8548,27,13,0,86,23,1010,3,2,1,0,20.9267,28.0977,20
36.6786,36.6786,27,13,0,86,23,1010,3,2,1,0,10.8113,20.0408,20
21.4743,11.1555,27,13,0,86,23,1010,3,2,1,0,17.731,33.8394,20
12.1097,12.1097,27,13,0,86,23,1010,3,2,1,0,12.1097,12.1097,20
42.0114,14.2087,27,13,0,86,23,1010,3,2,1,0,39.8244,34.154,20
33.1031,24.6616,27,13,0,86,23,1010,3,2,1,0,37.6255,26.9792,20
31.1971,24.7374,27,13,0,86,23,1010,3,2,1,0,24.0505,15.6412,20
23.747,22.5688,27,13,0,86,23,1010,3,2,1,0,26.0588,24.1428,20
8.8224,3.9093,27,13,0,86,23,1010,3,2,1,0,13.6086,3.9093,20
28.35,28.35,27,13,0,86,23,1010,3,2,1,0,27.382,24.6924,20
29.7883,29.7883,27,13,0,86,23,1010,3,2,1,0,29.7883,23.6162,20
9.12361,8.19506,27,13,0,86,23,1010,3,2,1,0,9.12361,8.00706,20
9.00736,12.6159,27,13,0,86,23,1010,3,2,1,0,9.00736,0.2238,20
22.1746,22.1746,27,13,0,86,23,1010,3,2,1,0,32.8014,23.7148,20
22.8727,20.1611,27,13,0,86,23,1010,3,2,1,0,22.8542,14.6339,20
16.4921,16.4921,27,13,0,86,23,1010,3,2,1,0,20.0995,16.4921,20
17.658,17.658,27,13,0,86,23,1010,3,2,1,0,42.0857,17.658,20
17.6372,17.6372,27,13,0,86,23,1010,3,2,1,0,17.6372,17.6372,20
0,0,27,13,0,86,23,1010,3,2,1,0,0.2566,0.2238,20
22.7797,22.7797,27,13,0,86,23,1010,3,2,1,0,22.7797,22.7797,20
