batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,player_name,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,economy,deliveries,wickets_taken,runs_conceded
62.9666,9.1411,29,30,0,77,6,1009,3,2,1,0,62.9666,28.0572,21,3,2,2,0,0,150.0,Upul Tharanga,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.017,53.017,29,30,0,77,6,1009,3,2,1,0,14.4936,32.3246,21,0,0,0,0,1,0.0,Lahiru Thirimanne,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.6003,31.0477,29,30,0,77,6,1009,3,2,1,0,55.6003,24.3489,21,3,2,0,0,0,150.0,Thisara Perera,441.988,34.274,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,441.988,80.4983,1.0,1.0,0.0,20.0
23.6093,23.6093,29,30,0,77,6,1009,3,2,1,0,23.6093,15.9986,21,0,0,0,0,2,0.0,Suranga Lakmal,288.64,288.64,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,288.64,52.63,1.0,1.0,0.0,20.0
75.4504,75.4504,29,30,0,77,6,1009,3,2,1,0,75.4504,38.4666,21,3,2,2,0,1,150.0,Angelo Mathews,354.802,354.802,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,354.802,73.4666,1.0,1.0,0.0,20.0
24.3925,24.3925,29,30,0,77,6,1009,3,2,1,0,24.3925,11.8216,21,0,0,0,0,2,0.0,Chamara Kapugedera,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.8512,38.8512,29,30,0,77,6,1009,3,2,1,0,38.8512,20.2064,21,1,0,0,0,0,0.0,Nuwan Kulasekara,413.386,413.386,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,413.386,57.8118,1.0,1.0,0.0,20.0
58.7808,23.1378,29,30,0,77,6,1009,3,2,1,0,58.7808,27.4652,21,3,2,1,0,0,150.0,Dinesh Chandimal,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.4101,31.4101,29,30,0,77,6,1009,3,2,1,0,31.4101,18.6501,21,1,0,0,0,0,0.0,Jeevan Mendis,122.804,122.804,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,122.804,22.9061,1.0,1.0,0.0,20.0
35.5758,19.5525,29,30,0,77,6,1009,3,2,1,0,35.5758,17.3991,21,1,0,0,0,0,0.0,Lasith Malinga,594.115,44.6399,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,594.115,92.8711,1.0,1.0,0.0,20.0
26.6919,26.6919,29,30,0,77,6,1009,3,2,1,0,26.6919,17.366,21,1,0,0,0,2,0.0,Dimuth Karunaratne,0.0,0.0,31.0,31.0,0.0,65.0,9.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
