,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_inning,bowling_session,toss,venue,opposition,season,runs_conceded,deliveries,wickets_taken,econ,player_name
0,441.988,20.5512,28,15,0,77,44,1008,3,2,0,0,46.4186,51.752,20,46.0328070729711,45.64971525054501,1.2579264369121061,6.050351922721558,9
1,31.9636,0.0,28,15,0,77,44,1008,3,2,0,0,0.0,23.4307,20,36.1222154639728,34.536201452107825,1.2065203621672589,6.275539395506076,11
2,29.6395,0.0,28,15,0,77,44,1008,3,2,0,0,0.0,20.1245,20,35.851438222526575,34.44615316853406,1.2417858961833323,6.244779447002439,12
3,288.64,26.011,28,15,0,77,44,1008,3,2,0,0,19.2161,44.1083,20,40.94750848197611,40.72980480660615,1.2963164313814943,6.032070422591564,13
4,354.802,0.0,28,15,0,77,44,1008,3,2,0,0,61.955,23.0954,20,46.30661135008538,46.017313711938435,1.263890429033917,6.037720277192786,14
5,413.386,0.0,28,15,0,77,44,1008,3,2,0,0,33.4576,31.7433,20,42.139200244066494,41.53044490108223,1.6013797838869446,6.087948300737091,16
6,122.804,0.0,28,15,0,77,44,1008,3,2,0,0,38.9943,0.0,20,40.71580851094448,40.861246357902026,1.2732862537815426,5.9786441393857155,20
7,594.115,13.7658,28,15,0,77,44,1008,3,2,0,0,60.7292,34.5052,20,46.87590562557286,47.64934077422776,1.6639203419742055,5.902609127082838,22
8,68.0699,0.0,28,15,0,77,44,1008,3,2,0,0,12.8313,9.75353,20,37.13581341687328,36.484099425647806,1.31566228159009,6.107177757130111,27
9,62.9346,0.0,28,15,0,77,44,1008,3,2,0,0,20.2162,0.0,20,37.58689051280587,37.48511788807283,1.3429733466967486,6.016290084780354,28
10,160.701,33.7397,28,15,0,77,44,1008,3,2,0,0,17.8201,11.7109,20,38.17784622165187,39.81064598121038,1.4114170981202914,5.753915106979805,29
11,186.993,0.0,28,15,0,77,44,1008,3,2,0,0,23.4576,32.0391,20,40.67002552432998,39.19572147803908,1.195302120785325,6.225683415030428,31
12,158.92,32.8064,28,15,0,77,44,1008,3,2,0,0,24.9134,18.5291,20,39.94084932623742,41.13007852917098,1.2473759322782374,5.826516858883683,32
13,35.1569,0.0,28,15,0,77,44,1008,3,2,0,0,16.6398,14.2316,20,38.17995321719953,37.155912550528605,1.1448312632866549,6.165363829825736,37
14,38.9435,0.0,28,15,0,77,44,1008,3,2,0,0,0.0,19.9272,20,35.82689677139984,34.467202571453704,1.2652294159815485,6.236693569278335,39
15,41.7387,0.0,28,15,0,77,44,1008,3,2,0,0,0.0,0.0,20,34.179945659512185,33.97148094939147,1.5157549294090529,6.036818773446693,40
16,79.9514,20.0186,28,15,0,77,44,1008,3,2,0,0,5.21963,9.37722,20,35.873993926142155,36.49205185116502,1.4093693199982564,5.898379308314536,42
17,63.9646,0.0,28,15,0,77,44,1008,3,2,0,0,27.1061,11.0747,20,39.6674398136179,38.94511979488363,1.1343695187526956,6.1112827521196875,44
18,70.8099,0.0,28,15,0,77,44,1008,3,2,0,0,46.7076,11.6607,20,43.03131844354443,42.32837447295292,0.928686440198532,6.099641525951913,45
19,39.0088,5.8954,28,15,0,77,44,1008,3,2,0,0,0.0,11.8319,20,35.17928837309063,34.64119662392847,1.3584466879550383,6.093199739316823,46
20,50.2655,27.1251,28,15,0,77,44,1008,3,2,0,0,25.4529,15.0427,20,39.82125578917137,40.46548913406746,1.0445860390999704,5.904476625586558,47
21,48.4599,0.0,28,15,0,77,44,1008,3,2,0,0,0.0,0.0,20,34.17397901168749,33.99028861037977,1.5309438002941735,6.032425214757069,48
22,30.0292,12.5537,28,15,0,77,44,1008,3,2,0,0,5.5442,9.22043,20,35.93440909797325,35.92474893148778,1.3027041568960507,6.0016134002501555,50
23,92.2034,20.839,28,15,0,77,44,1008,3,2,0,0,24.9738,21.9744,20,40.253006281297466,40.27268881834447,1.0661861624260063,5.997067610190749,51
24,39.5303,7.6689,28,15,0,77,44,1008,3,2,0,0,22.5813,17.5782,20,39.485742999822584,38.76013298863956,1.0408587755926761,6.112323145753246,53
25,42.2495,20.0175,28,15,0,77,44,1008,3,2,0,0,11.9028,21.6727,20,38.0546348885071,37.83912554013036,1.100534500240095,6.03417246228085,54
26,73.8808,19.0921,28,15,0,77,44,1008,3,2,0,0,0.0,23.0978,20,36.123937038823236,35.870434532967714,1.2854467926912942,6.042403027867844,56
27,87.0907,20.8634,28,15,0,77,44,1008,3,2,0,0,12.1068,13.7674,20,37.39996303205627,37.853990687428826,1.2956408304149032,5.9280349077398595,58
28,52.6447,18.5565,28,15,0,77,44,1008,3,2,0,0,19.6481,26.3492,20,39.73873741869961,39.216049712598966,0.9836885005020684,6.079970477893298,60
29,39.3799,0.0,28,15,0,77,44,1008,3,2,0,0,14.2384,26.7034,20,38.79849333338576,37.072556104472106,1.0277458808131248,6.279333945690158,61
30,140.869,24.6319,28,15,0,77,44,1008,3,2,0,0,25.2212,24.9356,20,40.50928953486238,40.7693999139127,1.1332232430352978,5.9617197634108585,62
31,38.8559,14.9142,28,15,0,77,44,1008,3,2,0,0,21.4134,0.0,20,37.863012840025284,38.57951221062671,1.25996110584761,5.8885678958267285,63
32,37.3169,14.085,28,15,0,77,44,1008,3,2,0,0,9.00853,6.05095,20,36.2587602033559,36.55527930458168,1.3186040966896198,5.951330843555291,70
33,62.0616,22.1548,28,15,0,77,44,1008,3,2,0,0,21.1532,13.5422,20,38.941058472207565,39.40689635781563,1.1417431603610366,5.9290726351989385,72
