,batting_consistency,batting_form,batting_temp,batting_wind,batting_humidity,batting_cloud,batting_pressure,venue,opposition,season
0,19.7214,25.4584,24,1,89,53,1010,2.56331,32.3852,11
1,50.1772,11.9432,24,27,79,2,1014,29.3207,18.5282,9
2,53.017,27.8325,27,28,80,39,1009,24.789,26.5756,10
3,35.5758,14.8543,26,24,81,14,1010,11.5921,22.6286,6
4,60.1022,51.1083,26,4,91,37,1010,34.1429,30.5283,2
5,75.4504,37.4367,29,11,36,0,1012,72.0645,27.9644,17
6,75.4504,0.0,29,16,77,22,1009,44.097,49.4372,20
7,23.6093,5.71563,22,14,48,10,1023,16.9889,11.2803,13
8,55.6003,25.4193,26,24,81,14,1010,33.593,27.4583,6
9,29.7883,29.6726,25,15,59,0,1016,13.0924,34.4142,17
10,38.8512,12.509,17,18,74,88,1018,12.9586,24.6084,11
11,38.8512,18.3955,29,13,36,47,1013,21.7079,18.8785,5
12,62.9666,41.4826,28,26,79,26,1010,37.8024,24.5258,4
13,0.0,0.0,25,13,55,13,1010,0.2566,9.8822,15
14,19.8964,14.4518,29,6,71,19,1010,32.5381,17.7086,9
15,23.6093,15.5404,26,12,70,6,1009,7.74727,12.9016,18
16,53.017,30.9292,21,29,62,3,1014,19.583,24.4113,13
17,53.017,19.4613,26,18,86,27,1011,24.789,43.3932,11
18,55.6003,30.2481,18,16,52,14,1010,47.3858,27.4572,19
19,60.1022,31.9317,27,16,79,80,1012,32.6521,29.3352,6
20,27.4905,0.0,24,6,44,4,1012,28.3439,28.9153,9
21,0.0,0.0,21,2,67,46,1015,14.0396,9.8822,15
22,28.35,0.0,27,6,41,17,1016,21.6242,24.0992,19
23,74.1419,19.8603,28,12,48,0,1014,28.4451,33.4671,5
24,42.0114,30.9679,33,9,57,21,1012,35.8268,34.154,15
25,58.7808,26.6489,29,11,40,6,1009,26.7752,26.6371,5
26,58.7808,33.0939,28,18,73,33,1009,39.512,26.6371,6
27,53.017,30.6952,20,16,61,2,1003,24.926,22.2579,7
28,19.8964,7.149,28,17,74,28,1007,27.6254,17.5966,8
29,24.3925,0.0,22,8,38,3,1021,24.3457,20.5678,2
30,35.5758,0.0,27,6,89,70,1009,16.9584,22.6286,16
31,53.017,19.3758,24,6,44,4,1012,29.1294,31.198,9
32,22.8727,20.1611,22,3,91,40,1013,26.0047,48.3031,19
33,38.8512,24.9136,26,3,84,40,1010,26.9593,24.6084,9
34,0.0,0.0,21,2,67,46,1015,21.6242,26.7075,15
35,74.1419,39.2092,27,6,79,63,1009,44.7208,40.629,9
36,0.0,0.0,27,12,89,65,1009,13.5707,13.2099,16
37,19.8964,7.149,22,12,77,19,1009,8.76638,17.5966,8
38,72.1185,27.4201,24,1,89,53,1010,35.104,45.8996,11
39,62.9666,29.3046,27,25,81,19,1009,37.8024,29.9183,6
40,53.017,34.819,34,15,39,0,1009,25.3378,32.3246,17
