,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,deliveries,wickets_taken,bowling_contribution,economy
0,75.4504,29.2227,28,18,0,73,33,1009,3,1,0,1,44.097,45.2291,0,1,0,0,1,0.0557768924302788,41.18,251,8,300,251.0,15,354.802,26.4832,27.0,12.0,0.0,83.0,35.0,1011.0,3.0,1.0,61.955,82.1064,1,0,0.0717131474103585,2
1,74.1419,32.3313,23,14,0,57,68,1008,3,1,0,1,52.2736,59.914,3,3,2,0,0,0.4849397590361445,110.27,332,1,300,332.0,14,264.519,38.7514,19.0,11.0,0.0,76.0,29.0,1010.0,3.0,1.0,20.9627,18.1202,1,1,0.1054216867469879,2
2,22.7797,22.7797,24,17,0,61,11,1013,3,1,0,0,56.777,30.4284,2,1,1,2,2,0.4126984126984127,136.84,189,10,236,189.0,14,62.0616,62.0616,22.0,21.0,0.0,71.0,6.0,1014.0,3.0,0.0,5.1716,30.6138,0,0,0.0793650793650793,2
3,53.017,19.3758,28,19,3,79,22,1008,2,2,0,0,38.4293,26.5756,0,0,0,0,2,0.0655021834061135,57.69,229,10,243,305.0,11,0.0,0.0,29.0,18.0,10.0,71.0,25.0,1009.0,1.0,0.0,0.0,0.0,0,0,0.0,0
4,29.7883,29.7883,23,60,0,60,55,1008,3,1,0,0,21.6242,28.8279,0,0,0,0,2,0.0552486187845303,111.11,181,10,291,181.0,17,73.8808,73.8808,22.0,55.0,0.0,64.0,18.0,1010.0,3.0,0.0,9.9382,71.099,1,0,0.1049723756906077,2
5,27.4905,27.4905,26,25,0,82,10,1011,3,1,0,1,35.9189,27.6902,0,0,0,0,2,0.0096774193548387,42.86,310,9,300,310.0,25,35.1569,35.1569,26.0,20.0,0.0,84.0,26.0,1011.0,3.0,1.0,6.8532,9.7684,0,0,0.0548387096774193,2
6,60.1022,20.895,26,9,0,46,2,1014,3,2,0,0,7.2146,37.9844,0,0,0,0,1,0.0079681274900398,40.0,251,10,259,405.0,16,0.0,0.0,29.0,10.0,0.0,42.0,0.0,1013.0,3.0,0.0,0.0,0.0,0,0,0.0,0
7,29.7883,29.7883,23,15,0,80,2,1011,3,2,0,1,19.8436,28.8279,0,0,0,0,1,0.0967741935483871,75.0,186,10,227,308.0,6,73.8808,73.8808,28.0,19.0,0.0,63.0,1.0,1011.0,3.0,0.0,15.2488,71.099,1,0,0.1989247311827957,2
8,38.8512,38.8512,20,9,0,42,52,1015,3,2,1,1,9.5933,18.8785,0,0,0,0,2,0.0,0.0,249,6,291,246.0,6,413.386,17.9419,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,31.5971,72.3546,1,1,0.1927710843373494,2
9,55.6003,39.3634,29,13,0,27,0,1011,3,2,0,0,44.0018,33.6222,1,0,0,1,2,0.193069306930693,150.0,202,5,269,199.0,7,441.988,24.4172,27.0,9.0,0.0,39.0,0.0,1014.0,3.0,0.0,48.9939,17.7583,1,1,0.1633663366336633,2
10,42.0114,30.9679,25,4,6,82,51,1006,2,1,0,0,17.257,19.2246,0,1,0,0,0,0.0805084745762711,39.58,236,8,300,236.0,22,0.0,0.0,24.0,4.0,0.0,86.0,34.0,1008.0,3.0,0.0,0.0,0.0,0,0,0.0,0
11,31.1971,31.1971,29,8,1,79,23,1011,3,1,0,1,24.0505,26.6605,0,0,0,0,2,0.0519125683060109,126.67,366,6,300,366.0,15,92.2034,92.2034,27.0,9.0,1.0,87.0,40.0,1012.0,3.0,1.0,24.9738,18.0033,0,0,0.0491803278688524,2
12,36.6786,19.6047,22,15,0,68,7,1010,3,2,1,0,31.9642,29.0593,1,2,0,0,0,0.1319018404907975,69.35,326,10,294,372.0,23,39.0088,6.8645,25.0,17.0,0.0,53.0,6.0,1010.0,3.0,0.0,6.1454,6.5204,0,0,0.0306748466257668,2
13,40.9425,40.9425,19,17,0,59,19,1015,3,2,0,1,24.4031,30.3805,1,1,1,0,0,0.2019704433497537,124.24,203,10,249,300.0,15,0.0,0.0,18.0,15.0,0.0,63.0,13.0,1015.0,3.0,0.0,0.0,0.0,0,0,0.0,0
14,31.1971,31.1971,30,13,0,29,5,1012,3,1,0,0,24.0074,23.233,1,1,0,0,1,0.1688311688311688,75.0,231,10,282,231.0,7,92.2034,92.2034,33.0,16.0,0.0,19.0,0.0,1008.0,3.0,0.0,11.6075,36.7886,0,0,0.0909090909090909,2
15,31.4101,31.4101,21,10,0,40,9,1014,3,1,0,1,23.8846,15.8399,0,0,0,0,2,0.0434782608695652,120.0,276,10,297,276.0,16,122.804,122.804,22.0,16.0,0.0,37.0,4.0,1015.0,3.0,0.0,15.6661,26.3442,1,0,0.144927536231884,2
16,17.6814,19.5664,21,29,0,62,3,1014,3,1,0,1,19.3632,9.25659,0,0,0,0,2,0.0769230769230769,75.0,117,10,166,117.0,7,79.9514,13.7202,19.0,28.0,0.0,64.0,2.0,1013.0,3.0,0.0,14.3771,33.6601,0,0,0.3504273504273504,2
17,72.1185,47.3499,26,18,0,67,11,1007,3,1,0,1,35.104,40.4249,0,0,0,0,0,0.0262172284644194,77.78,267,10,296,267.0,13,0.0,0.0,22.0,14.0,0.0,86.0,14.0,1009.0,3.0,0.0,0.0,0.0,0,0,0.0,0
18,38.8512,24.9136,15,4,1,87,39,1009,3,2,1,0,38.8512,15.1969,0,0,0,0,2,0.0,0.0,222,4,290,220.0,18,413.386,30.6181,16.0,11.0,1.0,79.0,71.0,1010.0,3.0,0.0,10.3555,50.6218,1,0,0.0990990990990991,2
19,42.0114,23.417,27,20,2,83,80,1008,3,1,0,1,39.8244,26.2645,1,1,1,0,1,0.1270903010033444,88.37,299,8,300,299.0,25,0.0,0.0,26.0,16.0,0.0,88.0,74.0,1010.0,3.0,0.0,0.0,0.0,0,0,0.0,0
20,35.5758,4.49621,13,19,0,60,82,1028,3,2,0,1,0.2566,13.3835,0,0,0,0,2,0.0,0.0,233,10,277,332.0,11,594.115,49.0152,14.0,20.0,0.0,61.0,79.0,1029.0,3.0,0.0,25.9967,51.0771,1,0,0.3605150214592275,2
21,62.9666,42.961,33,12,0,55,0,1005,3,2,1,0,32.5883,40.7923,0,0,1,0,0,0.2177419354838709,168.75,124,10,212,262.0,1,0.0,0.0,38.0,14.0,0.0,41.0,0.0,1004.0,3.0,0.0,0.0,0.0,0,0,0.0,0
22,27.4905,27.4905,28,25,2,73,68,1009,3,1,0,0,35.9189,27.6902,1,0,2,0,2,0.1418181818181818,260.0,275,7,270,275.0,13,0.0,0.0,27.0,21.0,0.0,79.0,100.0,1009.0,3.0,0.0,0.0,0.0,0,0,0.0,0
23,60.1022,22.2231,29,6,0,71,19,1010,3,1,0,0,34.1429,30.5283,1,1,2,0,0,0.2180094786729857,100.0,211,8,198,211.0,14,0.0,0.0,27.0,4.0,9.0,90.0,25.0,1007.0,1.0,0.0,0.0,0.0,0,0,0.0,0
