batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,player_name,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,econ
62.9666,26.4254,27,13,0,86,23,1010,3,2,1,0,30.7026,40.7923,20,50,48.43,5.72,0.8,1.95,103.2417923,Upul Tharanga,0,0,28,15,0,77,44,1008,3,0,0,0,0,0,0,0
53.017,53.017,27,13,0,86,23,1010,3,2,1,0,38.4293,31.198,20,50.16,54.66,4.84,1.61,3.54,91.76728869,Lahiru Thirimanne,0,0,28,15,0,77,44,1008,3,0,0,0,0,0,0,0
55.6003,30.2481,27,13,0,86,23,1010,3,2,1,0,28.2778,28.2395,20,22.03,21.61,1.98,0.57,6.45,101.9435447,Thisara Perera,441.988,20.5512,28,15,0,77,44,1008,3,0,46.4186,51.752,48.44,40.49,1.07,7.178068659
23.6093,16.2374,27,13,0,86,23,1010,3,2,1,0,5.80232,13.4704,20,2.23,7.18,0.04,0.03,9.07,31.05849582,Suranga Lakmal,288.64,26.011,28,15,0,77,44,1008,3,0,19.2161,44.1083,41.19,43.65,1.18,5.66185567
75.4504,36.1573,27,13,0,86,23,1010,3,2,1,0,44.097,49.4372,20,50.29,44.77,4.75,2.58,4.72,112.3296851,Angelo Mathews,354.802,354.802,28,15,0,77,44,1008,3,0,61.955,23.0954,37.95,33.44,1.46,6.809210526
24.3925,24.3925,27,13,0,86,23,1010,3,2,1,0,24.3925,57.162,20,30.52,39.88,2.19,0.79,7,76.52958877,Chamara Kapugedera,0,0,28,15,0,77,44,1008,3,0,0,0,0,0,0,0
38.8512,38.8512,27,13,0,86,23,1010,3,2,1,0,20.2876,13.4982,20,17.13,19.28,1.6,0.25,7.44,88.84854772,Nuwan Kulasekara,413.386,413.386,28,15,0,77,44,1008,3,0,33.4576,31.7433,43.19,42.43,1.77,6.107471129
58.7808,58.7808,27,13,0,86,23,1010,3,2,1,0,39.512,25.1925,20,61.68,62.02,5.95,1.69,4.18,99.45178975,Dinesh Chandimal,0,0,28,15,0,77,44,1008,3,0,0,0,0,0,0,0
31.4101,31.4101,27,13,0,86,23,1010,3,2,1,0,45.4385,13.1735,20,24.43,29.56,3.38,2.85,6.64,82.64546685,Jeevan Mendis,122.804,122.804,28,15,0,77,44,1008,3,0,38.9943,122.804,48.9,37.96,0.39,7.72918862
35.5758,10.8469,27,13,0,86,23,1010,3,2,1,0,16.9584,19.761,20,8.73,16.06,0.45,0.16,8.51,54.35865504,Lasith Malinga,594.115,13.7658,28,15,0,77,44,1008,3,0,60.7292,34.5052,41.56,42.13,1.05,5.918822692
